energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
135.2,0.3,27.2,0.6,,336.4,,201.2,E3,,,2.66,,41,46,Nb,,0,,(1/2)-,3.7,,1,m,222,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
201,0.2,30,1.2,,201.01,,0.0,M1+E2,-0.35,,0.0370,,41,46,Nb,,3.9,0.1,(9/2)+,2.6,,1,m,156,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
201.2,0.2,96.4,0,,201.2,,0.0,(M1+E2),-0.35,,0.0370,,41,46,Nb,,0,,(1/2)-,3.7,,1,m,222,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
242.4,2.3,0.6,0,,1911,,1669,,,,,,41,46,Nb,,3.9,0.1,(9/2)+,2.6,,1,m,156,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
269,1,1.8,0.18,,,,,,,,,,41,46,Nb,,3.9,0.1,(9/2)+,2.6,,1,m,156,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
322.8,2.3,0.6,0,,523.8,,201.01,,,,,,41,46,Nb,,3.9,0.1,(9/2)+,2.6,,1,m,156,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
381.3,2.3,,,,1669,,1287.5,,,,,,41,46,Nb,,3.9,0.1,(9/2)+,2.6,,1,m,156,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
388.7,2.3,,,,589.3,,201.01,,,,,,41,46,Nb,,3.9,0.1,(9/2)+,2.6,,1,m,156,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
461.7,2.3,0.6,0,,1749,,1287.5,,,,,,41,46,Nb,,3.9,0.1,(9/2)+,2.6,,1,m,156,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
466.5,2.3,0.6,0,,1284.0,,817.5,,,,,,41,46,Nb,,3.9,0.1,(9/2)+,2.6,,1,m,156,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
470,2.3,2.1,0,,1287.5,,817.5,,,,,,41,46,Nb,,3.9,0.1,(9/2)+,2.6,,1,m,156,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
470.6,0.2,20.7,1.2,,470.58,,0.0,,,,,,41,46,Nb,,3.9,0.1,(9/2)+,2.6,,1,m,156,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
600,0.5,2.85,0.45,,801.1,,201.01,,,,,,41,46,Nb,,3.9,0.1,(9/2)+,2.6,,1,m,156,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
616.6,0.2,9.3,0.9,,817.54,,201.01,,,,,,41,46,Nb,,3.9,0.1,(9/2)+,2.6,,1,m,156,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
797,2.3,1.5,0,,1884.4,,1087.9,,,,,,41,46,Nb,,3.9,0.1,(9/2)+,2.6,,1,m,156,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
801,0.6,1.2,0.36,,801.1,,0.0,,,,,,41,46,Nb,,3.9,0.1,(9/2)+,2.6,,1,m,156,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
887,1.5,2.16,0.66,,1087.9,,201.01,,,,,,41,46,Nb,,3.9,0.1,(9/2)+,2.6,,1,m,156,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
983,1.5,1.44,0.42,,,,,,,,,,41,46,Nb,,3.9,0.1,(9/2)+,2.6,,1,m,156,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
1066.8,0.5,11.1,1.2,,1884.4,,817.5,,,,,,41,46,Nb,,3.9,0.1,(9/2)+,2.6,,1,m,156,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
1083,0.7,2.1,0.6,,1884.4,,801.1,,,,,,41,46,Nb,,3.9,0.1,(9/2)+,2.6,,1,m,156,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
1168,1.5,1.08,0.33,,,,,,,,,,41,46,Nb,,3.9,0.1,(9/2)+,2.6,,1,m,156,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
1285,1.4,1.2,0.36,,,,,,,,,,41,46,Nb,,3.9,0.1,(9/2)+,2.6,,1,m,156,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
1295.4,2.3,0.6,0,,1884.4,,589.3,,,,,,41,46,Nb,,3.9,0.1,(9/2)+,2.6,,1,m,156,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
1304.6,2.3,1.5,0,,1505.6,,201.01,,,,,,41,46,Nb,,3.9,0.1,(9/2)+,2.6,,1,m,156,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
1360.1,2.3,0.6,0,,1949,,589.3,,,,,,41,46,Nb,,3.9,0.1,(9/2)+,2.6,,1,m,156,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
1559,1.5,0.9,0.27,,,,,,,,,,41,46,Nb,,3.9,0.1,(9/2)+,2.6,,1,m,156,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
1683.2,0.3,0.72,0.3,,1884.4,,201.01,,,,,,41,46,Nb,,3.9,0.1,(9/2)+,2.6,,1,m,156,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
1718.7,2.3,0.6,0,,1919.7,,201.01,,,,,,41,46,Nb,,3.9,0.1,(9/2)+,2.6,,1,m,156,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
1858.3,2.3,0.6,0,,2059.3,,201.01,,,,,,41,46,Nb,,3.9,0.1,(9/2)+,2.6,,1,m,156,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
1868.4,2.3,0.6,0,,2069.4,,201.01,,,,,,41,46,Nb,,3.9,0.1,(9/2)+,2.6,,1,m,156,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
1884.2,0.3,9.9,0.9,,1884.4,,0.0,,,,,,41,46,Nb,,3.9,0.1,(9/2)+,2.6,,1,m,156,6,EC+B+,100,,5473,8,40,47,Zr,27-Jul-2015,T.D. Johnson and W.D. Kulp(a),2025-02-24
