energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
49.2,0.2,,,,,,,,,,,,60,96,Nd,,0,,0+,5.26,,20,s,5.26,0.2,B-,100,,3964.7,18,61,95,Pm,1-Mar-2012,C. W. REICH,2025-02-24
60.1,0.2,,,,,,,,,,,,60,96,Nd,,0,,0+,5.26,,20,s,5.26,0.2,B-,100,,3964.7,18,61,95,Pm,1-Mar-2012,C. W. REICH,2025-02-24
69.7,0.2,,,,,,,,,,,,60,96,Nd,,0,,0+,5.26,,20,s,5.26,0.2,B-,100,,3964.7,18,61,95,Pm,1-Mar-2012,C. W. REICH,2025-02-24
73.5,0.2,,,,,,,,,,,,60,96,Nd,,0,,0+,5.26,,20,s,5.26,0.2,B-,100,,3964.7,18,61,95,Pm,1-Mar-2012,C. W. REICH,2025-02-24
83.6,0.2,,,,,,,,,,,,60,96,Nd,,0,,0+,5.26,,20,s,5.26,0.2,B-,100,,3964.7,18,61,95,Pm,1-Mar-2012,C. W. REICH,2025-02-24
84.7,0.1,,,,,,,,,,,,60,96,Nd,,0,,0+,5.26,,20,s,5.26,0.2,B-,100,,3964.7,18,61,95,Pm,1-Mar-2012,C. W. REICH,2025-02-24
88.6,0.2,,,,,,,,,,,,60,96,Nd,,0,,0+,5.26,,20,s,5.26,0.2,B-,100,,3964.7,18,61,95,Pm,1-Mar-2012,C. W. REICH,2025-02-24
105.3,0.1,,,,,,,,,,,,60,96,Nd,,0,,0+,5.26,,20,s,5.26,0.2,B-,100,,3964.7,18,61,95,Pm,1-Mar-2012,C. W. REICH,2025-02-24
108.7,0.1,,,,,,,,,,,,60,96,Nd,,0,,0+,5.26,,20,s,5.26,0.2,B-,100,,3964.7,18,61,95,Pm,1-Mar-2012,C. W. REICH,2025-02-24
112.1,0.2,,,,,,,,,,,,60,96,Nd,,0,,0+,5.26,,20,s,5.26,0.2,B-,100,,3964.7,18,61,95,Pm,1-Mar-2012,C. W. REICH,2025-02-24
126.5,0.2,,,,,,,,,,,,60,96,Nd,,0,,0+,5.26,,20,s,5.26,0.2,B-,100,,3964.7,18,61,95,Pm,1-Mar-2012,C. W. REICH,2025-02-24
129.8,0.1,,,,,,,,,,,,60,96,Nd,,0,,0+,5.26,,20,s,5.26,0.2,B-,100,,3964.7,18,61,95,Pm,1-Mar-2012,C. W. REICH,2025-02-24
142.4,0.2,,,,,,,,,,,,60,96,Nd,,0,,0+,5.26,,20,s,5.26,0.2,B-,100,,3964.7,18,61,95,Pm,1-Mar-2012,C. W. REICH,2025-02-24
144.2,0.1,,,,,,,,,,,,60,96,Nd,,0,,0+,5.26,,20,s,5.26,0.2,B-,100,,3964.7,18,61,95,Pm,1-Mar-2012,C. W. REICH,2025-02-24
150.3,0.1,,,5,150.3,26.7,0,M3,,,20.5,,60,96,Nd,,0,,0+,5.26,,20,s,5.26,0.2,B-,100,,3964.7,18,61,95,Pm,1-Mar-2012,C. W. REICH,2025-02-24
151.8,0.3,,,,,,,,,,,,60,96,Nd,,0,,0+,5.26,,20,s,5.26,0.2,B-,100,,3964.7,18,61,95,Pm,1-Mar-2012,C. W. REICH,2025-02-24
157.2,0.1,,,,,,,,,,,,60,96,Nd,,0,,0+,5.26,,20,s,5.26,0.2,B-,100,,3964.7,18,61,95,Pm,1-Mar-2012,C. W. REICH,2025-02-24
160.9,0.1,,,,,,,,,,,,60,96,Nd,,0,,0+,5.26,,20,s,5.26,0.2,B-,100,,3964.7,18,61,95,Pm,1-Mar-2012,C. W. REICH,2025-02-24
162.8,0.1,,,,,,,,,,,,60,96,Nd,,0,,0+,5.26,,20,s,5.26,0.2,B-,100,,3964.7,18,61,95,Pm,1-Mar-2012,C. W. REICH,2025-02-24
168.7,0.1,,,,168.7,26.7,0,,,,,,60,96,Nd,,0,,0+,5.26,,20,s,5.26,0.2,B-,100,,3964.7,18,61,95,Pm,1-Mar-2012,C. W. REICH,2025-02-24
178.3,0.1,,,,,,,,,,,,60,96,Nd,,0,,0+,5.26,,20,s,5.26,0.2,B-,100,,3964.7,18,61,95,Pm,1-Mar-2012,C. W. REICH,2025-02-24
189.6,0.1,,,,358.4,,168.7,,,,,,60,96,Nd,,0,,0+,5.26,,20,s,5.26,0.2,B-,100,,3964.7,18,61,95,Pm,1-Mar-2012,C. W. REICH,2025-02-24
195.5,0.2,,,,,,,,,,,,60,96,Nd,,0,,0+,5.26,,20,s,5.26,0.2,B-,100,,3964.7,18,61,95,Pm,1-Mar-2012,C. W. REICH,2025-02-24
196.5,0.2,,,,,,,,,,,,60,96,Nd,,0,,0+,5.26,,20,s,5.26,0.2,B-,100,,3964.7,18,61,95,Pm,1-Mar-2012,C. W. REICH,2025-02-24
198.5,0.1,,,,,,,,,,,,60,96,Nd,,0,,0+,5.26,,20,s,5.26,0.2,B-,100,,3964.7,18,61,95,Pm,1-Mar-2012,C. W. REICH,2025-02-24
238.4,0.2,,,,,,,,,,,,60,96,Nd,,0,,0+,5.26,,20,s,5.26,0.2,B-,100,,3964.7,18,61,95,Pm,1-Mar-2012,C. W. REICH,2025-02-24
269.9,0.1,,,,,,,,,,,,60,96,Nd,,0,,0+,5.26,,20,s,5.26,0.2,B-,100,,3964.7,18,61,95,Pm,1-Mar-2012,C. W. REICH,2025-02-24
273.9,0.1,,,,,,,,,,,,60,96,Nd,,0,,0+,5.26,,20,s,5.26,0.2,B-,100,,3964.7,18,61,95,Pm,1-Mar-2012,C. W. REICH,2025-02-24
319.1,0.1,,,,,,,,,,,,60,96,Nd,,0,,0+,5.26,,20,s,5.26,0.2,B-,100,,3964.7,18,61,95,Pm,1-Mar-2012,C. W. REICH,2025-02-24
