energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
150.6,0.2,78,10,0.000000000347,150.62,0.0454,0,[M1+E2],,,0.006,,10,20,Ne,,0,,0+,7.18,,22,ms,0.00718,0.00022,B-,100,,14810,250,11,19,Na,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
365.5,0.5,9,2,,516.1,0.000000000347,150.62,[M1+E2],,,,,10,20,Ne,,0,,0+,7.18,,22,ms,0.00718,0.00022,B-,100,,14810,250,11,19,Na,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
410,0.5,6.3,1,,926.0,,516.1,[M1+E2],,,,,10,20,Ne,,0,,0+,7.18,,22,ms,0.00718,0.00022,B-,100,,14810,250,11,19,Na,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
775,1,1.4,0.5,,926.0,0.000000000347,150.62,,,,,,10,20,Ne,,0,,0+,7.18,,22,ms,0.00718,0.00022,B-,100,,14810,250,11,19,Na,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
1597,1,5,1,,2113.6,,516.1,,,,,,10,20,Ne,,0,,0+,7.18,,22,ms,0.00718,0.00022,B-,100,,14810,250,11,19,Na,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
1963,1,5,1,,2113.6,0.000000000347,150.62,,,,,,10,20,Ne,,0,,0+,7.18,,22,ms,0.00718,0.00022,B-,100,,14810,250,11,19,Na,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
2114,1,4,1,,2113.6,0.0454,0,,,,,,10,20,Ne,,0,,0+,7.18,,22,ms,0.00718,0.00022,B-,100,,14810,250,11,19,Na,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
1.041,,0.006577525418331119,0.005552753318944984,,,,,,,,,,10,20,Ne,,0,,0+,7.18,,22,ms,0.00718,0.00022,B-,100,,14810,250,11,19,Na,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
1.041,,0.0033078375328787196,0.002792528059250695,,,,,,,,,,10,20,Ne,,0,,0+,7.18,,22,ms,0.00718,0.00022,B-,100,,14810,250,11,19,Na,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24

