energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
179,1,1.8,0.4,,1955,,1776,,,,,,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-02-24
256,1,2.7,0.4,,,,,,,,,,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-02-24
278,1,1.3,0.4,,,,,,,,,,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-02-24
293,1,4.7,0.5,,293,0.4698,0,,,,,,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-02-24
335,1,1.4,0.4,,,,,,,,,,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-02-24
543,1,1.4,0.4,,3412,,2869,,,,,,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-02-24
801,1,2.2,0.4,,1955,,1154,,,,,,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-02-24
829,1,1,1,,2605,,1776,,,,,,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-02-24
830,1,10.8,1.2,,1776,,946,,,,,,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-02-24
860,1,4.2,0.5,,1154,,293,,,,,,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-02-24
946,1,37.9,1.1,,946,0.4698,0,,,,,,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-02-24
1009,1,3.5,0.5,,1955,,946,,,,,,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-02-24
1045,1,0.9,0.3,,,,,,,,,,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-02-24
1093,1,3.1,0.5,,2869,,1776,,,,,,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-02-24
1133,1,3,0.5,,2909,,1776,,,,,,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-02-24
1154,1,5.4,0.5,,1154,0.4698,0,,,,,,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-02-24
1451,1,2.6,0.4,,,,,,,,,,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-02-24
1542,1,0.9,0.4,,,,,,,,,,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-02-24
1552,1,1.6,0.5,,,,,,,,,,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-02-24
1636,1,2,0.4,,3412,,1776,,,,,,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-02-24
1708,1,0.8,0.4,,,,,,,,,,28,49,Ni,,0,,(9/2+),158.9,,42,ms,0.1589,0.0042,B-,100,,11510,400,29,48,Cu,30-SEP-2020,BALRAJ SINGH,2025-02-24
