energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
25,,,,0.109,1254.4,,1229.6,,,,,,102,150,No,,1254.6,1.5,(8-),109,,3,ms,0.109,0.003,IT,100,,,,102,150,No,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-02-24
46,,,,,46.0,2.46,0,,,,,,102,150,No,,1254.6,1.5,(8-),109,,3,ms,0.109,0.003,IT,100,,,,102,150,No,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-02-24
107,,,,0.109,1254.4,,1147.3,,,,,,102,150,No,,1254.6,1.5,(8-),109,,3,ms,0.109,0.003,IT,100,,,,102,150,No,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-02-24
107,,,,,153.2,,46.0,,,,,,102,150,No,,1254.6,1.5,(8-),109,,3,ms,0.109,0.003,IT,100,,,,102,150,No,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-02-24
108,,,,,1073.5,,965.8,,,,,,102,150,No,,1254.6,1.5,(8-),109,,3,ms,0.109,0.003,IT,100,,,,102,150,No,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-02-24
133,,,,,1147.3,,1014.3,,,,,,102,150,No,,1254.6,1.5,(8-),109,,3,ms,0.109,0.003,IT,100,,,,102,150,No,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-02-24
156,,,,,1229.6,,1073.5,,,,,,102,150,No,,1254.6,1.5,(8-),109,,3,ms,0.109,0.003,IT,100,,,,102,150,No,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-02-24
167,,,,,320.1,,153.2,,,,,,102,150,No,,1254.6,1.5,(8-),109,,3,ms,0.109,0.003,IT,100,,,,102,150,No,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-02-24
224,,,,,544.4,,320.1,,,,,,102,150,No,,1254.6,1.5,(8-),109,,3,ms,0.109,0.003,IT,100,,,,102,150,No,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-02-24
277,,,,,821.4,,544.4,,,,,,102,150,No,,1254.6,1.5,(8-),109,,3,ms,0.109,0.003,IT,100,,,,102,150,No,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-02-24
328,,,,,1149.4,,821.4,,,,,,102,150,No,,1254.6,1.5,(8-),109,,3,ms,0.109,0.003,IT,100,,,,102,150,No,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-02-24
685,,,,,1229.6,,544.4,,,,,,102,150,No,,1254.6,1.5,(8-),109,,3,ms,0.109,0.003,IT,100,,,,102,150,No,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-02-24
710,,,,0.109,1254.4,,544.4,,,,,,102,150,No,,1254.6,1.5,(8-),109,,3,ms,0.109,0.003,IT,100,,,,102,150,No,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-02-24
827,,,,,1147.3,,320.1,,,,,,102,150,No,,1254.6,1.5,(8-),109,,3,ms,0.109,0.003,IT,100,,,,102,150,No,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-02-24
861,,,,,1014.3,,153.2,,,,,,102,150,No,,1254.6,1.5,(8-),109,,3,ms,0.109,0.003,IT,100,,,,102,150,No,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-02-24
883,,,,,929.0,,46.0,,,,,,102,150,No,,1254.6,1.5,(8-),109,,3,ms,0.109,0.003,IT,100,,,,102,150,No,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-02-24
910,,,,,1229.6,,320.1,(E1),,,,,102,150,No,,1254.6,1.5,(8-),109,,3,ms,0.109,0.003,IT,100,,,,102,150,No,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-02-24
920,,,,,1073.5,,153.2,,,,,,102,150,No,,1254.6,1.5,(8-),109,,3,ms,0.109,0.003,IT,100,,,,102,150,No,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-02-24
920,,,,,965.8,,46.0,,,,,,102,150,No,,1254.6,1.5,(8-),109,,3,ms,0.109,0.003,IT,100,,,,102,150,No,1-Jan-2021,A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN,2025-02-24

