energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
44.63,0.1,0.018328,0.0011113523293717433,,44.63,,0,E2,,,741,,93,143,Np,,0,,6(-),1.55E+5,,1,Y,4891323526061.76,31556925974.592,B-,12,0.1,480,50,94,142,Pu,1-Apr-2022,Shaofei Zhu,2025-02-24
44.63,0.1,0.16,0.07,,44.63,,0,E2,,,741,,93,143,Np,,57,51,1(-),22.5,,4,h,81000,1440,B-,49,1,480,50,94,142,Pu,1-Apr-2022,Shaofei Zhu,2025-02-24
45.243,0.002,,,,45.2431,739063206324944.6,0,E2,,,589,,93,143,Np,,57,51,1(-),22.5,,4,h,81000,1440,EC,51,1,934,50,92,144,U,1-Apr-2022,Shaofei Zhu,2025-02-24
45.243,0.002,0.1264,0.03185215848258953,,45.243,739063206324944.6,0,E2,,,589,,93,143,Np,,0,,6(-),1.55E+5,,1,Y,4891323526061.76,31556925974.592,EC,87.8,0.2,934,50,92,144,U,1-Apr-2022,Shaofei Zhu,2025-02-24
56.6,0.8,0.0005056,0.000016,,744.2,0.00000000378,687.55,[E2],,,199,,93,143,Np,,0,,6(-),1.55E+5,,1,Y,4891323526061.76,31556925974.592,EC,87.8,0.2,934,50,92,144,U,1-Apr-2022,Shaofei Zhu,2025-02-24
102.82,0.02,0.9164,0.06953589001371882,,147.45,,44.63,[E2],,,13.87,,93,143,Np,,0,,6(-),1.55E+5,,1,Y,4891323526061.76,31556925974.592,B-,12,0.1,480,50,94,142,Pu,1-Apr-2022,Shaofei Zhu,2025-02-24
103.4,,0.0080264,0.000254,,847.6,,744.2,(E2),,,11.41,,93,143,Np,,0,,6(-),1.55E+5,,1,Y,4891323526061.76,31556925974.592,EC,87.8,0.2,934,50,92,144,U,1-Apr-2022,Shaofei Zhu,2025-02-24
104.237,0.004,,,,149.480,,45.2431,E2,,,10.99,,93,143,Np,,57,51,1(-),22.5,,4,h,81000,1440,EC,51,1,934,50,92,144,U,1-Apr-2022,Shaofei Zhu,2025-02-24
104.237,0.004,7.268,0.390840120765512,,149.480,,45.243,E2,,,10.99,,93,143,Np,,0,,6(-),1.55E+5,,1,Y,4891323526061.76,31556925974.592,EC,87.8,0.2,934,50,92,144,U,1-Apr-2022,Shaofei Zhu,2025-02-24
158.35,0.02,4.266,0.25914173727904194,,305.80,,147.45,E2,,,2.139,,93,143,Np,,0,,6(-),1.55E+5,,1,Y,4891323526061.76,31556925974.592,B-,12,0.1,480,50,94,142,Pu,1-Apr-2022,Shaofei Zhu,2025-02-24
