energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
109.894,0.005,2.54,0.1,,109.89,,0.0,,,,,,8,11,O,,0,,5/2+,26.88,,5,s,26.88,0.05,B-,100,,4820.3,26,9,10,F,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-02-24
197.142,0.004,95.9,2.1,,197.143,,0.0,,,,,,8,11,O,,0,,5/2+,26.88,,5,s,26.88,0.05,B-,100,,4820.3,26,9,10,F,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-02-24
1149,,0.0005,0,,1346.,,197.143,,,,,,8,11,O,,0,,5/2+,26.88,,5,s,26.88,0.05,B-,100,,4820.3,26,9,10,F,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-02-24
1236,,0.017,0.002,,1346.,,109.89,,,,,,8,11,O,,0,,5/2+,26.88,,5,s,26.88,0.05,B-,100,,4820.3,26,9,10,F,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-02-24
1356.843,0.008,50.4,1.1,,1554.038,,197.143,,,,,,8,11,O,,0,,5/2+,26.88,,5,s,26.88,0.05,B-,100,,4820.3,26,9,10,F,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-02-24
1444.085,0.01,2.64,0.06,,1554.038,,109.89,,,,,,8,11,O,,0,,5/2+,26.88,,5,s,26.88,0.05,B-,100,,4820.3,26,9,10,F,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-02-24
1553.97,0.008,1.39,0.03,,1554.038,,0.0,,,,,,8,11,O,,0,,5/2+,26.88,,5,s,26.88,0.05,B-,100,,4820.3,26,9,10,F,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-02-24
2353.98,0.26,0.00181,0.00023,,3908.17,,1554.038,,,,,,8,11,O,,0,,5/2+,26.88,,5,s,26.88,0.05,B-,100,,4820.3,26,9,10,F,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-02-24
2582.517,0.033,0.0189,0.0005,,2779.849,,197.143,,,,,,8,11,O,,0,,5/2+,26.88,,5,s,26.88,0.05,B-,100,,4820.3,26,9,10,F,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-02-24
3710.64,0.2,0.0011,0.00015,,3908.17,,197.143,,,,,,8,11,O,,0,,5/2+,26.88,,5,s,26.88,0.05,B-,100,,4820.3,26,9,10,F,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-02-24
3797.87,0.2,0.00133,0.00014,,3908.17,,109.89,,,,,,8,11,O,,0,,5/2+,26.88,,5,s,26.88,0.05,B-,100,,4820.3,26,9,10,F,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-02-24
3907.74,0.2,0.00384,0.00017,,3908.17,,0.0,,,,,,8,11,O,,0,,5/2+,26.88,,5,s,26.88,0.05,B-,100,,4820.3,26,9,10,F,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-02-24
4180.063,0.041,0.0792,0.0017,,4377.700,,197.143,,,,,,8,11,O,,0,,5/2+,26.88,,5,s,26.88,0.05,B-,100,,4820.3,26,9,10,F,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2025-02-24

