energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
41.18,0.07,0.0005,0.0004,0.000000000059,180.070,0.00000000008,138.946,[M1 E2],,,1.5E2,,76,117,Os,,0,,3/2-,29.830,,18,h,107388,64.8,B-,100,,1141.9,24,77,116,Ir,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
61.564,0.006,,,,,,,,,,,,76,117,Os,,0,,3/2-,29.830,,18,h,107388,64.8,B-,100,,1141.9,24,77,116,Ir,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
65.87,0.06,0.002328,0.00003,0.00000000008,138.946,0.00000000609,73.037,,,,,,76,117,Os,,0,,3/2-,29.830,,18,h,107388,64.8,B-,100,,1141.9,24,77,116,Ir,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
73.029,0.015,3.0652,0.3514269340844552,0.00000000609,73.037,,0.0,M1+E2,-0.558,5,6.10,,76,117,Os,,0,,3/2-,29.830,,18,h,107388,64.8,B-,100,,1141.9,24,77,116,Ir,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
80.234,0.007,0.0000162,0.0000013,909792,80.234,,0.0,M4,,,2.11E4,,76,117,Os,,0,,3/2-,29.830,,18,h,107388,64.8,B-,100,,1141.9,24,77,116,Ir,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
96.815,0.015,0.093896,0.0022864164100180875,0.000000000034,557.396,0.000000000017,460.552,M1+E2,0.171,19,6.68,,76,117,Os,,0,,3/2-,29.830,,18,h,107388,64.8,B-,100,,1141.9,24,77,116,Ir,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
96.969,0.015,0.0003492,0.00007773036729618612,,695.142,0.0000000000028,598.212,,,,,,76,117,Os,,0,,3/2-,29.830,,18,h,107388,64.8,B-,100,,1141.9,24,77,116,Ir,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
98.681,0.01,0.0164124,0.000441900724145141,0.000000000017,460.552,0.000000000036,361.858,(M1),,,6.36,,76,117,Os,,0,,3/2-,29.830,,18,h,107388,64.8,B-,100,,1141.9,24,77,116,Ir,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
107.07,0.07,0.55872,0.031864111473568504,0.000000000059,180.070,0.00000000609,73.037,M1+E2,0.164,8,4.99,,76,117,Os,,0,,3/2-,29.830,,18,h,107388,64.8,B-,100,,1141.9,24,77,116,Ir,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
136,,0.0004268,0.00011652986741604059,,695.142,0.00000000000108,559.293,[M1 E2],,,2.0,,76,117,Os,,0,,3/2-,29.830,,18,h,107388,64.8,B-,100,,1141.9,24,77,116,Ir,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
138.92,0.03,3.81792,0.0704615753442967,0.00000000008,138.946,,0.0,M1+E2,-0.329,12,2.28,,76,117,Os,,0,,3/2-,29.830,,18,h,107388,64.8,B-,100,,1141.9,24,77,116,Ir,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
142.135,0.006,0.066736,0.001447237368229552,,740.348,0.0000000000028,598.212,(M1),,,2.24,,76,117,Os,,0,,3/2-,29.830,,18,h,107388,64.8,B-,100,,1141.9,24,77,116,Ir,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
154.751,0.024,0.0003104,0.00008157812451877035,,516.585,0.000000000036,361.858,,,,,,76,117,Os,,0,,3/2-,29.830,,18,h,107388,64.8,B-,100,,1141.9,24,77,116,Ir,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
154.8,0.009,0.0268496,0.0006116660526790742,0.000000000015,712.197,0.000000000034,557.396,M1+E2,0.26,3,1.70,,76,117,Os,,0,,3/2-,29.830,,18,h,107388,64.8,B-,100,,1141.9,24,77,116,Ir,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
176.907,0.016,0.0011252,0.0000145,,740.348,,563.429,,,,,,76,117,Os,,0,,3/2-,29.830,,18,h,107388,64.8,B-,100,,1141.9,24,77,116,Ir,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
180.061,0.01,0.167228,0.0037787353704645684,0.000000000059,180.070,,0.0,M1+E2,-0.48,2,1.028,,76,117,Os,,0,,3/2-,29.830,,18,h,107388,64.8,B-,100,,1141.9,24,77,116,Ir,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
181.38,0.12,0.0001552,0.00003885151219708185,,740.348,0.00000000000108,559.293,,,,,,76,117,Os,,0,,3/2-,29.830,,18,h,107388,64.8,B-,100,,1141.9,24,77,116,Ir,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
181.785,0.01,0.179644,0.00418966454504415,0.000000000036,361.858,0.000000000059,180.070,M1+E2,0.149,11,1.107,,76,117,Os,,0,,3/2-,29.830,,18,h,107388,64.8,B-,100,,1141.9,24,77,116,Ir,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
