energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
452,,,,,452,,0.0,,,,,,15,11,P,,0,,(3)+,43.7,,6,ms,0.0437,0.0006,ECP,36.8,2,12600,196,13,12,Al,1-Feb-2008,R.B. FIRESTONE,2025-02-24
493,,,,,945,,452,,,,,,15,11,P,,0,,(3)+,43.7,,6,ms,0.0437,0.0006,ECP,36.8,2,12600,196,13,12,Al,1-Feb-2008,R.B. FIRESTONE,2025-02-24
845,,,,,1790,,945,,,,,,15,11,P,,0,,(3)+,43.7,,6,ms,0.0437,0.0006,ECP,36.8,2,12600,196,13,12,Al,1-Feb-2008,R.B. FIRESTONE,2025-02-24
945,,,,,945,,0.0,,,,,,15,11,P,,0,,(3)+,43.7,,6,ms,0.0437,0.0006,ECP,36.8,2,12600,196,13,12,Al,1-Feb-2008,R.B. FIRESTONE,2025-02-24
970.5,0.1,1.3,0.5,,3756.95,,2786.31,,,,,,15,11,P,,0,,(3)+,43.7,,6,ms,0.0437,0.0006,EC+B+,100,,18114,196,14,12,Si,1-Feb-2016,M.S. Basunia and A.M. Hurst,2025-02-24
988.9,0.1,5.2,1.1,,2786.31,,1797.27,,,,,,15,11,P,,0,,(3)+,43.7,,6,ms,0.0437,0.0006,EC+B+,100,,18114,196,14,12,Si,1-Feb-2016,M.S. Basunia and A.M. Hurst,2025-02-24
1400.5,0.2,2.8,0.7,,4186.85,,2786.31,,,,,,15,11,P,,0,,(3)+,43.7,,6,ms,0.0437,0.0006,EC+B+,100,,18114,196,14,12,Si,1-Feb-2016,M.S. Basunia and A.M. Hurst,2025-02-24
1612,,,,,1612,,0.0,,,,,,15,11,P,,0,,(3)+,43.7,,6,ms,0.0437,0.0006,ECP,36.8,2,12600,196,13,12,Al,1-Feb-2008,R.B. FIRESTONE,2025-02-24
1741.6,0.7,0.18,0.06,,5928.5,,4186.9,,,,,,15,11,P,,0,,(3)+,43.7,,6,ms,0.0437,0.0006,EC+B+,100,,18114,196,14,12,Si,1-Feb-2016,M.S. Basunia and A.M. Hurst,2025-02-24
1790,,,,,1790,,0.0,,,,,,15,11,P,,0,,(3)+,43.7,,6,ms,0.0437,0.0006,ECP,36.8,2,12600,196,13,12,Al,1-Feb-2008,R.B. FIRESTONE,2025-02-24
1797.2,0.1,52,11,,1797.27,,0.0,,,,,,15,11,P,,0,,(3)+,43.7,,6,ms,0.0437,0.0006,EC+B+,100,,18114,196,14,12,Si,1-Feb-2016,M.S. Basunia and A.M. Hurst,2025-02-24
1960.1,0.2,1.3,0.3,,3756.95,,1797.27,,,,,,15,11,P,,0,,(3)+,43.7,,6,ms,0.0437,0.0006,EC+B+,100,,18114,196,14,12,Si,1-Feb-2016,M.S. Basunia and A.M. Hurst,2025-02-24
2044.8,,1.4,0.4,,3842.2,,1797.27,,,,,,15,11,P,,0,,(3)+,43.7,,6,ms,0.0437,0.0006,EC+B+,100,,18114,196,14,12,Si,1-Feb-2016,M.S. Basunia and A.M. Hurst,2025-02-24
2341.8,0.1,1.3,0.5,,4139.18,,1797.27,,,,,,15,11,P,,0,,(3)+,43.7,,6,ms,0.0437,0.0006,EC+B+,100,,18114,196,14,12,Si,1-Feb-2016,M.S. Basunia and A.M. Hurst,2025-02-24
511,,189.06,,,,,,,,,,,15,11,P,,0,,(3)+,43.7,,6,ms,0.0437,0.0006,EC+B+,100,,18114,196,14,12,Si,1-Feb-2016,M.S. Basunia and A.M. Hurst,2025-02-24
0.118,,0.00000318390875,0.0000007644271690832047,,,,,,,,,,15,11,P,,0,,(3)+,43.7,,6,ms,0.0437,0.0006,EC+B+,100,,18114,196,14,12,Si,1-Feb-2016,M.S. Basunia and A.M. Hurst,2025-02-24
1.74,,0.00009494946478957348,0.00001025357939090593,,,,,,,,,,15,11,P,,0,,(3)+,43.7,,6,ms,0.0437,0.0006,EC+B+,100,,18114,196,14,12,Si,1-Feb-2016,M.S. Basunia and A.M. Hurst,2025-02-24
1.74,,0.00004782604541450816,0.000005170179971852521,,,,,,,,,,15,11,P,,0,,(3)+,43.7,,6,ms,0.0437,0.0006,EC+B+,100,,18114,196,14,12,Si,1-Feb-2016,M.S. Basunia and A.M. Hurst,2025-02-24
1.836,,0.0000041404897959183675,0.0000006191464145127082,,,,,,,,,,15,11,P,,0,,(3)+,43.7,,6,ms,0.0437,0.0006,EC+B+,100,,18114,196,14,12,Si,1-Feb-2016,M.S. Basunia and A.M. Hurst,2025-02-24
1.836,,0.0000041404897959183675,0.0000006191464145127082,,,,,,,,,,15,11,P,,0,,(3)+,43.7,,6,ms,0.0437,0.0006,EC+B+,100,,18114,196,14,12,Si,1-Feb-2016,M.S. Basunia and A.M. Hurst,2025-02-24

