energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
41.4,,,,,1168.9,,1128.2,,,,,,91,147,Pa,,0,,(3-),2.28,,10,m,136.8,6,B-,100,,3586,16,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
45.02,,,,,45.0,1.4099634525447706e17,0.0,,,,,,91,147,Pa,,0,,(3-),2.28,,10,m,136.8,6,B-,100,,3586,16,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
68.1,,,,,1128.2,,1060.0,,,,,,91,147,Pa,,0,,(3-),2.28,,10,m,136.8,6,B-,100,,3586,16,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
68.8,,,,,1128.2,,1059.5,,,,,,91,147,Pa,,0,,(3-),2.28,,10,m,136.8,6,B-,100,,3586,16,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
103.4,,,,,148.6,,45.0,,,,,,91,147,Pa,,0,,(3-),2.28,,10,m,136.8,6,B-,100,,3586,16,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
109.4,,,,,1168.9,,1059.5,,,,,,91,147,Pa,,0,,(3-),2.28,,10,m,136.8,6,B-,100,,3586,16,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
114.8,,,,,,,,,,,,,91,147,Pa,,0,,(3-),2.28,,10,m,136.8,6,B-,100,,3586,16,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
115.23,,,,,,,,,,,,,91,147,Pa,,0,,(3-),2.28,,10,m,136.8,6,B-,100,,3586,16,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
115.55,,,,,,,,,,,,,91,147,Pa,,0,,(3-),2.28,,10,m,136.8,6,B-,100,,3586,16,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
130.7,,,,,1128.2,,997.6,,,,,,91,147,Pa,,0,,(3-),2.28,,10,m,136.8,6,B-,100,,3586,16,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
142.64,,,,,,,,,,,,,91,147,Pa,,0,,(3-),2.28,,10,m,136.8,6,B-,100,,3586,16,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
154.4,,,,,,,,,,,,,91,147,Pa,,0,,(3-),2.28,,10,m,136.8,6,B-,100,,3586,16,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
158.7,,,,,307.3,,148.6,,,,,,91,147,Pa,,0,,(3-),2.28,,10,m,136.8,6,B-,100,,3586,16,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
164.5,,,,,,,,,,,,,91,147,Pa,,0,,(3-),2.28,,10,m,136.8,6,B-,100,,3586,16,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
171.1,,,,,1168.9,,997.6,,,,,,91,147,Pa,,0,,(3-),2.28,,10,m,136.8,6,B-,100,,3586,16,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
178.2,,,,,1128.2,,949.9,,,,,,91,147,Pa,,0,,(3-),2.28,,10,m,136.8,6,B-,100,,3586,16,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
189.4,,,,,,,,,,,,,91,147,Pa,,0,,(3-),2.28,,10,m,136.8,6,B-,100,,3586,16,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
193.3,,,,,,,,,,,,,91,147,Pa,,0,,(3-),2.28,,10,m,136.8,6,B-,100,,3586,16,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
