energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
35,4,,,15.6,334,,299.5,[E3],,,6.58E4,,82,105,Pb,,33,13,(13/2+),18.3,,3,s,18.3,0.3,EC+B+,88,2,7458,10,81,106,Tl,1-Nov-2008,M. S. Basunia,2025-02-24
193,0.3,,,,871.8,,677.5,,,,,,82,105,Pb,,33,13,(13/2+),18.3,,3,s,18.3,0.3,EC+B+,88,2,7458,10,81,106,Tl,1-Nov-2008,M. S. Basunia,2025-02-24
299.5,0.3,,,,299.33,,0.0,M1+E2,2.0,4,0.168,,82,105,Pb,,0,,(3/2-),15.2,,3,s,15.2,0.3,EC+B+,90.5,2,7458,10,81,106,Tl,1-Nov-2008,M. S. Basunia,2025-02-24
299.5,0.3,,,,299.5,,0.0,M1+E2,2.0,4,0.168,,82,105,Pb,,33,13,(13/2+),18.3,,3,s,18.3,0.3,EC+B+,88,2,7458,10,81,106,Tl,1-Nov-2008,M. S. Basunia,2025-02-24
309.4,0.3,,,,,,,,,,,,82,105,Pb,,0,,(3/2-),15.2,,3,s,15.2,0.3,EC+B+,90.5,2,7458,10,81,106,Tl,1-Nov-2008,M. S. Basunia,2025-02-24
309.4,0.3,,,,,,,,,,,,82,105,Pb,,33,13,(13/2+),18.3,,3,s,18.3,0.3,EC+B+,88,2,7458,10,81,106,Tl,1-Nov-2008,M. S. Basunia,2025-02-24
331.4,0.3,,,0.00000000069,1058.8,,727.4,(E1),,,0.0228,,82,105,Pb,,33,13,(13/2+),18.3,,3,s,18.3,0.3,EC+B+,88,2,7458,10,81,106,Tl,1-Nov-2008,M. S. Basunia,2025-02-24
343.5,0.3,,,,1072.6,,727.4,,,,,,82,105,Pb,,33,13,(13/2+),18.3,,3,s,18.3,0.3,EC+B+,88,2,7458,10,81,106,Tl,1-Nov-2008,M. S. Basunia,2025-02-24
343.5,0.3,,,,677.5,15.6,334,,,,,,82,105,Pb,,33,13,(13/2+),18.3,,3,s,18.3,0.3,EC+B+,88,2,7458,10,81,106,Tl,1-Nov-2008,M. S. Basunia,2025-02-24
393.4,0.3,,,,727.4,15.6,334,(M1+E2),-0.4,AP,0.1695,,82,105,Pb,,33,13,(13/2+),18.3,,3,s,18.3,0.3,EC+B+,88,2,7458,10,81,106,Tl,1-Nov-2008,M. S. Basunia,2025-02-24
448.7,0.3,,,,747.87,,299.3,[M1 E2],,,0.08,,82,105,Pb,,0,,(3/2-),15.2,,3,s,15.2,0.3,EC+B+,90.5,2,7458,10,81,106,Tl,1-Nov-2008,M. S. Basunia,2025-02-24
493.6,0.3,,,,,,,,,,,,82,105,Pb,,33,13,(13/2+),18.3,,3,s,18.3,0.3,EC+B+,88,2,7458,10,81,106,Tl,1-Nov-2008,M. S. Basunia,2025-02-24
493.6,0.3,,,,,,,,,,,,82,105,Pb,,0,,(3/2-),15.2,,3,s,15.2,0.3,EC+B+,90.5,2,7458,10,81,106,Tl,1-Nov-2008,M. S. Basunia,2025-02-24
617.2,0.3,,,,,,,,,,,,82,105,Pb,,0,,(3/2-),15.2,,3,s,15.2,0.3,EC+B+,90.5,2,7458,10,81,106,Tl,1-Nov-2008,M. S. Basunia,2025-02-24
617.2,0.3,,,,,,,,,,,,82,105,Pb,,33,13,(13/2+),18.3,,3,s,18.3,0.3,EC+B+,88,2,7458,10,81,106,Tl,1-Nov-2008,M. S. Basunia,2025-02-24
645.4,0.3,,,,,,,,,,,,82,105,Pb,,0,,(3/2-),15.2,,3,s,15.2,0.3,EC+B+,90.5,2,7458,10,81,106,Tl,1-Nov-2008,M. S. Basunia,2025-02-24
645.4,0.3,,,,,,,,,,,,82,105,Pb,,33,13,(13/2+),18.3,,3,s,18.3,0.3,EC+B+,88,2,7458,10,81,106,Tl,1-Nov-2008,M. S. Basunia,2025-02-24
747.7,0.3,,,,747.87,,0.0,[E2],,,0.01141,,82,105,Pb,,0,,(3/2-),15.2,,3,s,15.2,0.3,EC+B+,90.5,2,7458,10,81,106,Tl,1-Nov-2008,M. S. Basunia,2025-02-24
865.8,0.3,,,,,,,,,,,,82,105,Pb,,33,13,(13/2+),18.3,,3,s,18.3,0.3,EC+B+,88,2,7458,10,81,106,Tl,1-Nov-2008,M. S. Basunia,2025-02-24
865.8,0.3,,,,,,,,,,,,82,105,Pb,,0,,(3/2-),15.2,,3,s,15.2,0.3,EC+B+,90.5,2,7458,10,81,106,Tl,1-Nov-2008,M. S. Basunia,2025-02-24

