energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
209.3,0.5,2.224391,0.134472,,475.12,,265.40,,,,,,46,51,Pd,,0,,(5/2+),3.10,,9,m,186,5.4,EC+B+,100,,4792,36,45,52,Rh,19-Nov-2009,N. NICA,2025-02-24
265.3,0.1,56.03,0,,265.40,1842,0.0,(M1+E2),,,0.034,,46,51,Pd,,0,,(5/2+),3.10,,9,m,186,5.4,EC+B+,100,,4792,36,45,52,Rh,19-Nov-2009,N. NICA,2025-02-24
354.4,0.5,1.199042,0.084045,,2113.32,,1759.59,,,,,,46,51,Pd,,0,,(5/2+),3.10,,9,m,186,5.4,EC+B+,100,,4792,36,45,52,Rh,19-Nov-2009,N. NICA,2025-02-24
475.2,0.1,26.72631,1.40075,,475.12,1842,0.0,,,,,,46,51,Pd,,0,,(5/2+),3.10,,9,m,186,5.4,EC+B+,100,,4792,36,45,52,Rh,19-Nov-2009,N. NICA,2025-02-24
556.4,0.5,0.313768,0.016809,,,,,,,,,,46,51,Pd,,0,,(5/2+),3.10,,9,m,186,5.4,EC+B+,100,,4792,36,45,52,Rh,19-Nov-2009,N. NICA,2025-02-24
583,0.5,1.361529,0.123266,,1058.07,,475.12,,,,,,46,51,Pd,,0,,(5/2+),3.10,,9,m,186,5.4,EC+B+,100,,4792,36,45,52,Rh,19-Nov-2009,N. NICA,2025-02-24
590.7,0.5,2.01708,0.22412,,,,,,,,,,46,51,Pd,,0,,(5/2+),3.10,,9,m,186,5.4,EC+B+,100,,4792,36,45,52,Rh,19-Nov-2009,N. NICA,2025-02-24
614.4,0.5,0.476255,0.022412,,1619.1,,1004.7,,,,,,46,51,Pd,,0,,(5/2+),3.10,,9,m,186,5.4,EC+B+,100,,4792,36,45,52,Rh,19-Nov-2009,N. NICA,2025-02-24
658.5,0.5,1.496001,0.078442,,2187.2,,1528.7,,,,,,46,51,Pd,,0,,(5/2+),3.10,,9,m,186,5.4,EC+B+,100,,4792,36,45,52,Rh,19-Nov-2009,N. NICA,2025-02-24
685.5,0.5,1.753739,0.134472,,,,,,,,,,46,51,Pd,,0,,(5/2+),3.10,,9,m,186,5.4,EC+B+,100,,4792,36,45,52,Rh,19-Nov-2009,N. NICA,2025-02-24
745.7,0.5,1.159821,0.106457,,1004.7,2772,258.76,,,,,,46,51,Pd,,0,,(5/2+),3.10,,9,m,186,5.4,EC+B+,100,,4792,36,45,52,Rh,19-Nov-2009,N. NICA,2025-02-24
792.7,0.1,13.83941,0.72839,,1058.07,,265.40,,,,,,46,51,Pd,,0,,(5/2+),3.10,,9,m,186,5.4,EC+B+,100,,4792,36,45,52,Rh,19-Nov-2009,N. NICA,2025-02-24
862.7,0.5,1.00854,0.16809,,3091.3,,2229.7,,,,,,46,51,Pd,,0,,(5/2+),3.10,,9,m,186,5.4,EC+B+,100,,4792,36,45,52,Rh,19-Nov-2009,N. NICA,2025-02-24
896.6,0.5,0.633139,0.078442,,,,,,,,,,46,51,Pd,,0,,(5/2+),3.10,,9,m,186,5.4,EC+B+,100,,4792,36,45,52,Rh,19-Nov-2009,N. NICA,2025-02-24
933.7,0.5,2.46532,0.22412,,1199.2,,265.40,,,,,,46,51,Pd,,0,,(5/2+),3.10,,9,m,186,5.4,EC+B+,100,,4792,36,45,52,Rh,19-Nov-2009,N. NICA,2025-02-24
940.3,0.3,3.75401,0.22412,,1415.5,,475.12,,,,,,46,51,Pd,,0,,(5/2+),3.10,,9,m,186,5.4,EC+B+,100,,4792,36,45,52,Rh,19-Nov-2009,N. NICA,2025-02-24
947.4,0.5,0.498667,0.084045,,,,,,,,,,46,51,Pd,,0,,(5/2+),3.10,,9,m,186,5.4,EC+B+,100,,4792,36,45,52,Rh,19-Nov-2009,N. NICA,2025-02-24
