energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
76.073,0.01,0.0000000117,0.000000002,0.00000000125,197.298,0.000000000798,121.223,M1+E2,0.66,3,4.53,,61,86,Pm,,0,,7/2+,2.6234,,4,Y,82786439.60174465,12622.7703898368,B-,100,,224.06,29,62,85,Sm,9-Mar-2022,N. Nica and B. Singh,2025-02-24
121.22,0.017,0.00285,0.00011,0.000000000798,121.223,3.3860581570737213e18,0.0,M1+E2,-0.33,3,0.996,,61,86,Pm,,0,,7/2+,2.6234,,4,Y,82786439.60174465,12622.7703898368,B-,100,,224.06,29,62,85,Sm,9-Mar-2022,N. Nica and B. Singh,2025-02-24
197.299,0.012,0.00000034,0.00000006,0.00000000125,197.298,3.3860581570737213e18,0.0,E2,,,0.218,,61,86,Pm,,0,,7/2+,2.6234,,4,Y,82786439.60174465,12622.7703898368,B-,100,,224.06,29,62,85,Sm,9-Mar-2022,N. Nica and B. Singh,2025-02-24
6.354,,0.000378538013061342,0.000019709771553563417,,,,,,,,,,61,86,Pm,,0,,7/2+,2.6234,,4,Y,82786439.60174465,12622.7703898368,B-,100,,224.06,29,62,85,Sm,9-Mar-2022,N. Nica and B. Singh,2025-02-24
39.522,,0.0006100173958733125,0.000025540128760405532,,,,,,,,,,61,86,Pm,,0,,7/2+,2.6234,,4,Y,82786439.60174465,12622.7703898368,B-,100,,224.06,29,62,85,Sm,9-Mar-2022,N. Nica and B. Singh,2025-02-24
40.117,,0.0011041038839335973,0.00004595571503188258,,,,,,,,,,61,86,Pm,,0,,7/2+,2.6234,,4,Y,82786439.60174465,12622.7703898368,B-,100,,224.06,29,62,85,Sm,9-Mar-2022,N. Nica and B. Singh,2025-02-24
45.523,,0.0003451406360692291,0.000014849104193811505,,,,,,,,,,61,86,Pm,,0,,7/2+,2.6234,,4,Y,82786439.60174465,12622.7703898368,B-,100,,224.06,29,62,85,Sm,9-Mar-2022,N. Nica and B. Singh,2025-02-24
45.998,,0.00043418692017509024,0.000018600290714817933,,,,,,,,,,61,86,Pm,,0,,7/2+,2.6234,,4,Y,82786439.60174465,12622.7703898368,B-,100,,224.06,29,62,85,Sm,9-Mar-2022,N. Nica and B. Singh,2025-02-24
46.575,,0.00008904628410586111,0.000004201802023574092,,,,,,,,,,61,86,Pm,,0,,7/2+,2.6234,,4,Y,82786439.60174465,12622.7703898368,B-,100,,224.06,29,62,85,Sm,9-Mar-2022,N. Nica and B. Singh,2025-02-24

