energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
5.61,0.13,,,,5.61,930,0,,,,,,84,117,Po,,423.41,0.22,13/2+,8.96,,12,m,537.6,7.2,IT,42.6,,,,84,117,Po,20-Sep-2022,F.G. KONDEV,2025-02-24
95.26,0.15,0.1,,,1474.6,,1379.4,M1(+E2),,,10.0,,84,117,Po,,423.41,0.22,13/2+,8.96,,12,m,537.6,7.2,EC+B+,55,,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
188.6,0.3,2.16,0.1,,1274.45,0.00000000026,1086.21,M1+E2,0.53,8,1.43,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
195.9,0.3,0.119,0.018,0.00000000026,1086.21,,890.24,E1,,,0.0841,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
217.6,0.3,0.1,,,1719.15,,1501.89,M1(+E2),1.7,LT,0.83,,84,117,Po,,423.41,0.22,13/2+,8.96,,12,m,537.6,7.2,EC+B+,55,,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
240.1,0.2,19.8,0.8,0.00000000026,1086.21,3510,846.35,E2+M1,3.0,4,0.303,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
271.91,0.2,1.1,,0.0000000051,1746.5,,1474.6,E1,,,0.0383,,84,117,Po,,423.41,0.22,13/2+,8.96,,12,m,537.6,7.2,EC+B+,55,,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
296.1,0.3,0.54,0.05,,1186.59,,890.24,[M1],,,0.481,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
411.86,0.2,5.2,,,1379.4,,967.49,M1+E2,-0.023,17,0.1966,,84,117,Po,,423.41,0.22,13/2+,8.96,,12,m,537.6,7.2,EC+B+,55,,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
417.8,0.2,7.28,0.09,537.6,423.41,,5.61,M4,,,4.84,,84,117,Po,,423.41,0.22,13/2+,8.96,,12,m,537.6,7.2,IT,42.6,,,,84,117,Po,20-Sep-2022,F.G. KONDEV,2025-02-24
428.2,0.3,3.86,0.18,,1274.45,3510,846.35,(E2),,,0.0451,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
506.8,0.4,1.2,0.07,,,,,,,,,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
516.7,0.5,0.6,0.05,,,,,,,,,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
530.1,0.3,3.1,0.14,,1616.3,0.00000000026,1086.21,M1+E2,1.4,4,0.052,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
532.4,0.6,0.5,,,2034.3,,1501.89,,,,,,84,117,Po,,423.41,0.22,13/2+,8.96,,12,m,537.6,7.2,EC+B+,55,,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
534.2,0.3,1.7,,,1501.89,,967.49,[E1],,,0.00865,,84,117,Po,,423.41,0.22,13/2+,8.96,,12,m,537.6,7.2,EC+B+,55,,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
537.5,0.2,3.9,,,1501.89,,964.40,[E1],,,0.00854,,84,117,Po,,423.41,0.22,13/2+,8.96,,12,m,537.6,7.2,EC+B+,55,,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
537.5,0.2,1.31,0.15,,1441.71,,904.23,M1,,,0.0968,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
540.1,0.3,1.4,,,1504.40,,964.40,,,,,,84,117,Po,,423.41,0.22,13/2+,8.96,,12,m,537.6,7.2,EC+B+,55,,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
543.4,0.3,1.06,0.07,,1817.86,,1274.45,,,,,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
551.9,0.3,2.25,0.1,,1441.71,,890.24,M1(+E2),0.7,LT,0.079,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
566.6,0.3,0.43,0.06,,1470.87,,904.23,M1(+E2),0.9,LT,0.071,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
583.6,0.3,1.61,0.1,,1858.02,,1274.45,M1+E2,1.0,8,0.050,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
593.3,0.2,4.41,0.21,,1483.54,,890.24,M1(+E2),0.33,LT,0.0720,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
624.7,0.3,0.74,0.05,,2065.82,,1441.71,[E1],,,0.00631,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
636.5,0.2,0.53,0.06,,1483.54,3510,846.35,[E1],,,0.00609,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
650.9,0.3,0.43,0.06,,,,,,,,,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
697.6,0.2,0.7,,,1665.1,,967.49,,,,,,84,117,Po,,423.41,0.22,13/2+,8.96,,12,m,537.6,7.2,EC+B+,55,,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
731.7,0.2,1.09,0.09,,1817.86,0.00000000026,1086.21,,,,,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
754.6,0.2,1.1,,,1719.15,,964.40,E1,,,0.00438,,84,117,Po,,423.41,0.22,13/2+,8.96,,12,m,537.6,7.2,EC+B+,55,,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
771.8,0.2,1.37,0.1,,1858.02,0.00000000026,1086.21,E0+M1,,,0.10,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
779.4,0.3,1.15,0.09,,2053.59,,1274.45,(M1),,,0.0366,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
791.4,0.2,4.28,0.21,,2065.82,,1274.45,M1(+E2),0.4,LE,0.0335,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
798.5,0.3,0.3,,,1762.9,,964.40,,,,,,84,117,Po,,423.41,0.22,13/2+,8.96,,12,m,537.6,7.2,EC+B+,55,,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
809.9,0.4,0.5,0.06,,,,,,,,,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
846.3,0.3,35.3,0.9,3510,846.35,6180,0,M4,,,0.292,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
874.6,0.2,1.46,0.1,,1778.92,,904.23,,,,,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
889.2,0.5,1.67,0.19,,1778.92,,890.24,,,,,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
890.1,0.2,28,1,,890.24,6180,0,E2,,,0.00880,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
904.2,0.2,15.3,0.6,,904.23,6180,0,M1+E2,0.5,4,0.022,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
918.7,0.3,0.44,0.06,,,,,,,,,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
926.5,0.3,0.53,0.06,,,,,,,,,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
944.2,0.4,0.48,0.07,,1848.16,,904.23,,,,,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
964.3,0.2,13.3,,,964.40,6180,0,M1(+E2),-0.04,7,0.02109,,84,117,Po,,423.41,0.22,13/2+,8.96,,12,m,537.6,7.2,EC+B+,55,,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
967.4,0.2,15.7,,,967.49,6180,0,E2,,,0.00746,,84,117,Po,,423.41,0.22,13/2+,8.96,,12,m,537.6,7.2,EC+B+,55,,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
967.4,0.2,0.94,0.12,,2053.59,0.00000000026,1086.21,(E2),,,0.00746,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
971.4,0.3,1.67,0.1,,1817.86,3510,846.35,,,,,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
979.7,0.3,1.37,0.1,,2065.82,0.00000000026,1086.21,[M1],,,0.02026,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
1023,0.2,0.67,0.07,,1927.32,,904.23,,,,,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
1031.2,0.2,0.61,0.07,,,,,,,,,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
1039.7,0.2,0.66,0.08,,1944.24,,904.23,,,,,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
1054.7,0.3,0.88,0.08,,1944.24,,890.24,,,,,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
1160.6,0.5,0.57,0.07,,2434.9,,1274.45,,,,,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
1175.3,0.2,3.25,0.17,,2065.82,,890.24,(E1),,,1.97E-3,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
1181.3,0.5,0.33,0.06,,2455.5,,1274.45,,,,,,84,117,Po,,0,,3/2-,15.50,,22,m,930,13.2,EC+B+,98.87,0.03,4908,13,83,118,Bi,20-Sep-2022,F.G. KONDEV,2025-02-24
