energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
41.5,0.4,28.372,5.274513152889089,,41.5,,0.0,M1(+E2),0.15,LT,3.1,,59,76,Pr,,358.06,0.06,(11/2-),105,,10,us,0.000105,0.00001,IT,100,,,,59,76,Pr,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-02-24
82.64,0.07,,,0.00000000053,82.67,,0.0,M1+E2,0.4,LT,2.19,,59,76,Pr,,0,,3/2(+),24,,1,m,1440,60,EC+B+,100,,3680,16,58,77,Ce,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-02-24
112.4,0.4,10.496,1.2625371281669304,0.000105,357.6,,245.3,M2,,,8.2,,59,76,Pr,,358.06,0.06,(11/2-),105,,10,us,0.000105,0.00001,IT,100,,,,59,76,Pr,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-02-24
203.8,0.3,96.76,10.125655534334555,,245.3,,41.5,M1,,,0.1762,,59,76,Pr,,358.06,0.06,(11/2-),105,,10,us,0.000105,0.00001,IT,100,,,,59,76,Pr,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-02-24
213.45,0.06,,,,296.09,0.00000000053,82.67,M1,,,0.1429,,59,76,Pr,,0,,3/2(+),24,,1,m,1440,60,EC+B+,100,,3680,16,58,77,Ce,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-02-24
213.45,0.06,,,,296.12,0.00000000053,82.67,,,,,,59,76,Pr,,0,,3/2(+),24,,1,m,1440,60,EC+B+,100,,3680,16,58,77,Ce,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-02-24
245.6,1,8.2,0.75,,245.3,,0.0,(E2),,,0.0963,,59,76,Pr,,358.06,0.06,(11/2-),105,,10,us,0.000105,0.00001,IT,100,,,,59,76,Pr,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-02-24
296.12,0.05,,,,296.12,,0.0,M1(+E2),0.9,LT,0.0576,,59,76,Pr,,0,,3/2(+),24,,1,m,1440,60,EC+B+,100,,3680,16,58,77,Ce,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-02-24
296.12,0.05,,,,296.09,,0.0,E2,,,0.0508,,59,76,Pr,,0,,3/2(+),24,,1,m,1440,60,EC+B+,100,,3680,16,58,77,Ce,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-02-24
316.6,0.1,2.46,0.5410073936648185,0.000105,357.6,,41.5,E3,,,0.1603,,59,76,Pr,,358.06,0.06,(11/2-),105,,10,us,0.000105,0.00001,IT,100,,,,59,76,Pr,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-02-24
324.9,0.2,,,,620.93,,296.12,M1 E2,,,0.042,,59,76,Pr,,0,,3/2(+),24,,1,m,1440,60,EC+B+,100,,3680,16,58,77,Ce,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-02-24
324.9,0.2,,,,620.93,,296.09,M1 E2,,,0.042,,59,76,Pr,,0,,3/2(+),24,,1,m,1440,60,EC+B+,100,,3680,16,58,77,Ce,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-02-24
400.7,0.5,,,,696.5,,296.12,[M1 E2],,,0.024,,59,76,Pr,,0,,3/2(+),24,,1,m,1440,60,EC+B+,100,,3680,16,58,77,Ce,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-02-24
400.7,0.5,,,,696.5,,296.09,[M1 E2],,,0.024,,59,76,Pr,,0,,3/2(+),24,,1,m,1440,60,EC+B+,100,,3680,16,58,77,Ce,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-02-24
484.3,0.3,,,,780.29,,296.09,M1 E2,,,0.014,,59,76,Pr,,0,,3/2(+),24,,1,m,1440,60,EC+B+,100,,3680,16,58,77,Ce,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-02-24
484.3,0.3,,,,780.29,,296.12,M1 E2,,,0.014,,59,76,Pr,,0,,3/2(+),24,,1,m,1440,60,EC+B+,100,,3680,16,58,77,Ce,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-02-24
538.2,0.2,,,,620.93,0.00000000053,82.67,M1(+E2),0.7,LT,0.0123,,59,76,Pr,,0,,3/2(+),24,,1,m,1440,60,EC+B+,100,,3680,16,58,77,Ce,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-02-24
593.1,0.3,,,,,,,,,,,,59,76,Pr,,0,,3/2(+),24,,1,m,1440,60,EC+B+,100,,3680,16,58,77,Ce,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-02-24
613.8,0.2,,,,696.5,0.00000000053,82.67,M1(+E2),0.7,LT,0.0088,,59,76,Pr,,0,,3/2(+),24,,1,m,1440,60,EC+B+,100,,3680,16,58,77,Ce,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-02-24
620.9,0.2,,,,620.93,,0.0,E2(+M1),1.2,GT,0.0067,,59,76,Pr,,0,,3/2(+),24,,1,m,1440,60,EC+B+,100,,3680,16,58,77,Ce,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-02-24
697.5,0.2,,,,780.29,0.00000000053,82.67,M1 E2,,,0.0057,,59,76,Pr,,0,,3/2(+),24,,1,m,1440,60,EC+B+,100,,3680,16,58,77,Ce,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-02-24
697.5,0.2,,,,696.5,,0.0,M1 E2,,,0.0057,,59,76,Pr,,0,,3/2(+),24,,1,m,1440,60,EC+B+,100,,3680,16,58,77,Ce,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-02-24
720.6,0.8,,,,1016.83,,296.09,M1(+E2),1,LT,0.0058,,59,76,Pr,,0,,3/2(+),24,,1,m,1440,60,EC+B+,100,,3680,16,58,77,Ce,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-02-24
724.4,0.6,,,,806.90,0.00000000053,82.67,,,,,,59,76,Pr,,0,,3/2(+),24,,1,m,1440,60,EC+B+,100,,3680,16,58,77,Ce,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-02-24
747,1,,,,1367.4,,620.93,,,,,,59,76,Pr,,0,,3/2(+),24,,1,m,1440,60,EC+B+,100,,3680,16,58,77,Ce,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2025-02-24
