energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
65,,,,,,,,,,,,,78,99,Pt,,0,,5/2-,10.0,,4,s,10,0.4,EC+B+,94.3,0.5,6677,25,77,100,Ir,30-Aug-2019,F.G. KONDEV,2025-02-24
71.8,0.2,,,,157.20,,85.40,,,,,,78,99,Pt,,0,,5/2-,10.0,,4,s,10,0.4,EC+B+,94.3,0.5,6677,25,77,100,Ir,30-Aug-2019,F.G. KONDEV,2025-02-24
75,,,,,,,,,,,,,78,99,Pt,,0,,5/2-,10.0,,4,s,10,0.4,EC+B+,94.3,0.5,6677,25,77,100,Ir,30-Aug-2019,F.G. KONDEV,2025-02-24
85.4,0.2,,,,85.40,29.8,0.0,,,,,,78,99,Pt,,0,,5/2-,10.0,,4,s,10,0.4,EC+B+,94.3,0.5,6677,25,77,100,Ir,30-Aug-2019,F.G. KONDEV,2025-02-24
90,,,,,,,,,,,,,78,99,Pt,,0,,5/2-,10.0,,4,s,10,0.4,EC+B+,94.3,0.5,6677,25,77,100,Ir,30-Aug-2019,F.G. KONDEV,2025-02-24
91.8,0.2,0.0005,0.0001,,91.8,22.4,0.0,M1+E2,0.30,16,7.35,,78,99,Pt,,0,,5/2-,10.0,,4,s,10,0.4,A,5.7,0.5,5642.9,27,76,97,Os,15-AUG-2015,J. Tuli,2025-02-24
148,0.2,,,,148.00,29.8,0.0,,,,,,78,99,Pt,,0,,5/2-,10.0,,4,s,10,0.4,EC+B+,94.3,0.5,6677,25,77,100,Ir,30-Aug-2019,F.G. KONDEV,2025-02-24
157.2,0.2,,,,157.20,29.8,0.0,,,,,,78,99,Pt,,0,,5/2-,10.0,,4,s,10,0.4,EC+B+,94.3,0.5,6677,25,77,100,Ir,30-Aug-2019,F.G. KONDEV,2025-02-24
183.4,0.2,,,,331.4,,148.00,,,,,,78,99,Pt,,0,,5/2-,10.0,,4,s,10,0.4,EC+B+,94.3,0.5,6677,25,77,100,Ir,30-Aug-2019,F.G. KONDEV,2025-02-24
223.1,0.2,,,,223.10,29.8,0.0,,,,,,78,99,Pt,,0,,5/2-,10.0,,4,s,10,0.4,EC+B+,94.3,0.5,6677,25,77,100,Ir,30-Aug-2019,F.G. KONDEV,2025-02-24
10.393,,0.0009208738,0.00017265119023608726,,,,,,,,,,78,99,Pt,,0,,5/2-,10.0,,4,s,10,0.4,A,5.7,0.5,5642.9,27,76,97,Os,15-AUG-2015,J. Tuli,2025-02-24
61.486,,0.00078799648036632,0.0001721787859426027,,,,,,,,,,78,99,Pt,,0,,5/2-,10.0,,4,s,10,0.4,A,5.7,0.5,5642.9,27,76,97,Os,15-AUG-2015,J. Tuli,2025-02-24
63,,0.0013579122529145614,0.0002966488297773541,,,,,,,,,,78,99,Pt,,0,,5/2-,10.0,,4,s,10,0.4,A,5.7,0.5,5642.9,27,76,97,Os,15-AUG-2015,J. Tuli,2025-02-24
71.496,,0.0004543291146243116,0.00009949202916771649,,,,,,,,,,78,99,Pt,,0,,5/2-,10.0,,4,s,10,0.4,A,5.7,0.5,5642.9,27,76,97,Os,15-AUG-2015,J. Tuli,2025-02-24
72.338,,0.0005815412667191189,0.00012732953509525372,,,,,,,,,,78,99,Pt,,0,,5/2-,10.0,,4,s,10,0.4,A,5.7,0.5,5642.9,27,76,97,Os,15-AUG-2015,J. Tuli,2025-02-24
73.364,,0.00012721215209480724,0.000027950234719121897,,,,,,,,,,78,99,Pt,,0,,5/2-,10.0,,4,s,10,0.4,A,5.7,0.5,5642.9,27,76,97,Os,15-AUG-2015,J. Tuli,2025-02-24

