energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
16.22,,,,,16.22+X,1500,0.0+X,,,,,,94,152,Pu,,0,,0+,10.84,,2,d,936576,1728,B-,100,,401,14,95,151,Am,1-Jan-2011,E. BROWNE and  J. K. TULI,2025-02-24
27.58,0.02,3.525,0.4006320007188642,0.0000000043,43.81+X,,16.22,(E1),,,3.90,,94,152,Pu,,0,,0+,10.84,,2,d,936576,1728,B-,100,,401,14,95,151,Am,1-Jan-2011,E. BROWNE and  J. K. TULI,2025-02-24
43.81,0.02,25,1.6007810593582121,0.0000000043,43.81+X,1500,0.0+X,(E1),,,1.175,,94,152,Pu,,0,,0+,10.84,,2,d,936576,1728,B-,100,,401,14,95,151,Am,1-Jan-2011,E. BROWNE and  J. K. TULI,2025-02-24
66.6,0.02,0.255,0.02025561650505854,,299.37+X,,232.77,[E1 M1],,,10,,94,152,Pu,,0,,0+,10.84,,2,d,936576,1728,B-,100,,401,14,95,151,Am,1-Jan-2011,E. BROWNE and  J. K. TULI,2025-02-24
75.64,0.02,0.18,0.0260161488310626,,299.37+X,,223.74,[E1 M1],,,7,,94,152,Pu,,0,,0+,10.84,,2,d,936576,1728,B-,100,,401,14,95,151,Am,1-Jan-2011,E. BROWNE and  J. K. TULI,2025-02-24
149.42,0.03,0.0575,0.04755565160945647,,223.74+X,,74.34,[E1 M1],,,5,,94,152,Pu,,0,,0+,10.84,,2,d,936576,1728,B-,100,,401,14,95,151,Am,1-Jan-2011,E. BROWNE and  J. K. TULI,2025-02-24
158.42,0.03,0.035,0.00762954782408499,,232.77+X,,74.34,[E1 M1],,,4,,94,152,Pu,,0,,0+,10.84,,2,d,936576,1728,B-,100,,401,14,95,151,Am,1-Jan-2011,E. BROWNE and  J. K. TULI,2025-02-24
179.94,0.02,9.7,0.6133261774944878,,223.74+X,0.0000000043,43.81,(M1),,,5.46,,94,152,Pu,,0,,0+,10.84,,2,d,936576,1728,B-,100,,401,14,95,151,Am,1-Jan-2011,E. BROWNE and  J. K. TULI,2025-02-24
189,0.04,0.0475,0.007736924453553879,,232.77+X,0.0000000043,43.81,[E1 M1],,,2.4,,94,152,Pu,,0,,0+,10.84,,2,d,936576,1728,B-,100,,401,14,95,151,Am,1-Jan-2011,E. BROWNE and  J. K. TULI,2025-02-24
216.55,0.04,0.1125,0.018069310999592653,,232.77+X,,16.22,[E1 M1],,,1.7,,94,152,Pu,,0,,0+,10.84,,2,d,936576,1728,B-,100,,401,14,95,151,Am,1-Jan-2011,E. BROWNE and  J. K. TULI,2025-02-24
223.75,0.02,23.5,1.9864792976520043,,223.74+X,1500,0.0+X,(E1),,,0.0811,,94,152,Pu,,0,,0+,10.84,,2,d,936576,1728,B-,100,,401,14,95,151,Am,1-Jan-2011,E. BROWNE and  J. K. TULI,2025-02-24
232.75,0.03,0.08,0.012903100402616418,,232.77+X,1500,0.0+X,[E1 M1],,,1.4,,94,152,Pu,,0,,0+,10.84,,2,d,936576,1728,B-,100,,401,14,95,151,Am,1-Jan-2011,E. BROWNE and  J. K. TULI,2025-02-24
255.54,0.03,0.23,0.01977093826807418,,299.37+X,0.0000000043,43.81,[E1 M1],,,1.0,,94,152,Pu,,0,,0+,10.84,,2,d,936576,1728,B-,100,,401,14,95,151,Am,1-Jan-2011,E. BROWNE and  J. K. TULI,2025-02-24
299.34,0.06,0.03,0.007595393340703298,,299.37+X,1500,0.0+X,[E1 M1],,,0.7,,94,152,Pu,,0,,0+,10.84,,2,d,936576,1728,B-,100,,401,14,95,151,Am,1-Jan-2011,E. BROWNE and  J. K. TULI,2025-02-24
18.078,,41.723125022,2.6226577302525995,,,,,,,,,,94,152,Pu,,0,,0+,10.84,,2,d,936576,1728,B-,100,,401,14,95,151,Am,1-Jan-2011,E. BROWNE and  J. K. TULI,2025-02-24
102.031,,12.723928508756813,0.7951292938246372,,,,,,,,,,94,152,Pu,,0,,0+,10.84,,2,d,936576,1728,B-,100,,401,14,95,151,Am,1-Jan-2011,E. BROWNE and  J. K. TULI,2025-02-24
106.468,,20.03137359690934,1.2492926943555127,,,,,,,,,,94,152,Pu,,0,,0+,10.84,,2,d,936576,1728,B-,100,,401,14,95,151,Am,1-Jan-2011,E. BROWNE and  J. K. TULI,2025-02-24
120.157,,7.424535143950993,0.4793277364519613,,,,,,,,,,94,152,Pu,,0,,0+,10.84,,2,d,936576,1728,B-,100,,401,14,95,151,Am,1-Jan-2011,E. BROWNE and  J. K. TULI,2025-02-24
121.688,,10.023122444333842,0.646026731878232,,,,,,,,,,94,152,Pu,,0,,0+,10.84,,2,d,936576,1728,B-,100,,401,14,95,151,Am,1-Jan-2011,E. BROWNE and  J. K. TULI,2025-02-24
123.677,,2.5985873003828477,0.17182284545945511,,,,,,,,,,94,152,Pu,,0,,0+,10.84,,2,d,936576,1728,B-,100,,401,14,95,151,Am,1-Jan-2011,E. BROWNE and  J. K. TULI,2025-02-24

