energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
45,,,,0.000000644,1709,,1664.5,,,,,,88,126,Ra,,1865.2,1.1,8+,67.8,,15,us,0.0000678,0.0000015,A,0.09,0.07,7272.6,26,86,124,Rn,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
45.5,,,,0.0000678,1865.2,,1819.71,E2,,,414,,88,126,Ra,,1865.2,1.1,8+,67.8,,15,us,0.0000678,0.0000015,IT,99.91,,,,88,126,Ra,1-May-2021,Shaofei Zhu and E. A. McCutchan,2025-02-24
180.4,0.1,,,,1819.71,,1639.30,E2,,,0.856,,88,126,Ra,,1865.2,1.1,8+,67.8,,15,us,0.0000678,0.0000015,IT,99.91,,,,88,126,Ra,1-May-2021,Shaofei Zhu and E. A. McCutchan,2025-02-24
203,0.5,,,,1664.5,,1461.5,,,,,,88,126,Ra,,1865.2,1.1,8+,67.8,,15,us,0.0000678,0.0000015,A,0.09,0.07,7272.6,26,86,124,Rn,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
257,0.1,,,,1639.30,,1382.30,E2,,,0.2472,,88,126,Ra,,1865.2,1.1,8+,67.8,,15,us,0.0000678,0.0000015,IT,99.91,,,,88,126,Ra,1-May-2021,Shaofei Zhu and E. A. McCutchan,2025-02-24
642.8,0.9,0.2,0.1,,642.8,8640,0.0,E2,,,,,88,126,Ra,,0,,0+,2.438,,20,s,2.438,0.02,A,99.941,0.004,7272.6,26,86,124,Rn,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
643.7,0.7,,,,643.7,,0.0,,,,,,88,126,Ra,,1865.2,1.1,8+,67.8,,15,us,0.0000678,0.0000015,A,0.09,0.07,7272.6,26,86,124,Rn,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
817.8,0.5,,,,1461.5,,643.7,,,,,,88,126,Ra,,1865.2,1.1,8+,67.8,,15,us,0.0000678,0.0000015,A,0.09,0.07,7272.6,26,86,124,Rn,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
1382.3,0.1,,,,1382.30,2.444,0.0,E2,,,0.00493,,88,126,Ra,,1865.2,1.1,8+,67.8,,15,us,0.0000678,0.0000015,IT,99.91,,,,88,126,Ra,1-May-2021,Shaofei Zhu and E. A. McCutchan,2025-02-24
14.088,,0.00134629968,0.0005304018331660324,,,,,,,,,,88,126,Ra,,0,,0+,2.438,,20,s,2.438,0.02,A,99.941,0.004,7272.6,26,86,124,Rn,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
81.07,,0.000820800287020093,0.0004106113920351279,,,,,,,,,,88,126,Ra,,0,,0+,2.438,,20,s,2.438,0.02,A,99.941,0.004,7272.6,26,86,124,Rn,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
83.789,,0.0013540090515013082,0.0006773299884073967,,,,,,,,,,88,126,Ra,,0,,0+,2.438,,20,s,2.438,0.02,A,99.941,0.004,7272.6,26,86,124,Rn,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
94.878,,0.000469561107180757,0.00023499144982678738,,,,,,,,,,88,126,Ra,,0,,0+,2.438,,20,s,2.438,0.02,A,99.941,0.004,7272.6,26,86,124,Rn,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
96.054,,0.0006198206614785993,0.00031017982842263594,,,,,,,,,,88,126,Ra,,0,,0+,2.438,,20,s,2.438,0.02,A,99.941,0.004,7272.6,26,86,124,Rn,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24
97.53,,0.00015025955429784224,0.0000752339065553826,,,,,,,,,,88,126,Ra,,0,,0+,2.438,,20,s,2.438,0.02,A,99.941,0.004,7272.6,26,86,124,Rn,31-Mar-2014,M. SHAMSUZZOHA BASUNIA,2025-02-24

