energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
163.4,0.3,0.13332,0.031010482098800075,,2456.44,,2292.87,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
205.2,0.6,0.1212,0.060896305306644014,,4714.64,,4509.26,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
213.429,0.011,7.7568,0.5721902131284665,0.0000000043,213.431,445.38,0,E2,,,0.0639,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
219.16,0.06,3.1916,0.240863529825501,0.0000000003,432.604,0.0000000043,213.431,M1 E2,,,0.039,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
351.74,0.11,0.07676,0.008928964105650779,,3954.94,,3603.18,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
393.5,,0.0194,0.001,,1778.1,,1384.5,(M1),,,0.00463,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-N,1.39,0.07,2176,9,38,54,Sr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
404.99,0.18,0.06262,0.010565036677645754,,3603.18,,3198.14,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
432.61,0.03,20.2,1.4213022197970422,0.0000000003,432.604,445.38,0,M1 E2,,,0.0047,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
473.8,0.6,0.03232,0.014230235416183387,,4097.43,,3623.70,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
569.8,,0.0429,0.0022,,1384.5,,814.7,(M1+E2),0.21,2,0.00196,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-N,1.39,0.07,2176,9,38,54,Sr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
595.87,0.13,0.25654,0.03661318888051135,,2869.07,,2273.00,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
602.6,0.4,0.20402,0.0377367142183842,,4620.20,,4017.60,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
610.1,0.4,0.20402,0.0377367142183842,,3866.86,,3256.40,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
661.64,0.11,0.3232,0.062676630413576,,4509.26,,3847.62,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
709.95,0.05,6.2216,0.5406989550572481,,1142.55,0.0000000003,432.604,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
721.99,0.17,0.05858,0.008584660738782867,,3954.94,,3233.01,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
768.36,0.23,0.13332,0.02317948230655724,,1910.86,,1142.55,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
776.4,0.4,0.0606,0.0204215572373901,,3233.01,,2456.44,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
793.65,0.06,1.2524,0.08669694342939663,,1779.78,,986.12,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
814.7,,1.38,0.07,,814.7,,0.0,E2,,,0.000950,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-N,1.39,0.07,2176,9,38,54,Sr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
822.41,0.22,0.19594,0.03568368815018986,,1808.48,,986.12,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
831.2,0.3,0.07272,0.016556134814623855,,4620.20,,3789.19,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
859.05,0.18,0.09696,0.013035888922509275,,6272.70,,5413.6,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
867.74,0.16,0.08484,0.010938464243210743,,3847.62,,2979.92,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
901.08,0.18,0.12726,0.01734461299654737,,2770.69,,1869.64,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
905.6,0.3,0.07676,0.016600771066429414,,2054.02,,1148.20,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
910.91,0.14,0.16564,0.019943730844553635,,4714.64,,3803.73,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
929.04,0.09,0.49288,0.04212594924746504,,1142.55,0.0000000043,213.431,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
934.7,0.1,0.37168,0.03373897449538145,,1148.20,0.0000000043,213.431,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
963.5,,0.0235,0.0012,,1778.1,,814.7,(E2+M1),1.7,14,0.000625,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-N,1.39,0.07,2176,9,38,54,Sr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
981.1,0.3,0.1515,0.03514947510276647,,3867.40,,2886.45,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
986.05,0.06,7.8982,0.5622250439103544,,986.12,445.38,0,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
990.9,0.3,0.1313,0.027052497112096695,,2770.69,,1779.78,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1035.1,0.5,0.07676,0.024536046951373403,,2273.00,,1238.24,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1054.7,0.3,0.06868,0.0145430258199592,,2292.87,,1238.24,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1059.4,0.3,0.07474,0.014616073344096217,,2045.58,,986.12,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1068.51,0.11,0.707,0.0699811403165167,,3954.94,,2886.45,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1077.6,0.17,0.05252,0.006594209581140108,,5012.24,,3934.66,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1096.71,0.09,0.4646,0.036452138483222075,,1529.32,0.0000000003,432.604,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1100.63,0.12,0.21008,0.020944507633267485,,4991.28,,3890.64,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1115.77,0.22,0.10908,0.01703835672827635,,3233.01,,2117.45,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1120,0.4,0.08484,0.02460117070385066,,3890.64,,2770.69,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1130.12,0.16,0.2222,0.026619120947168787,,2273.00,,1142.55,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1138,0.3,0.23432,0.03816555515120932,,4336.12,,3198.14,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1142.58,0.12,0.36562,0.03529447548838203,,1142.55,445.38,0,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1148.18,0.08,1.7776,0.1339589489358587,,1148.20,445.38,0,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1150.38,0.13,0.53934,0.055346186860523644,,2292.87,,1142.55,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1164.36,0.25,0.10504,0.01697603016019941,,3623.70,,2459.78,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1167.1,0.5,0.05252,0.014377051158008724,,3623.70,,2456.44,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1202.4,0.7,0.05454,0.02438990774890303,,4991.28,,3789.19,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1204.9,0.7,0.05858,0.024412857268251088,,4461.12,,3256.40,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1208.55,0.19,0.17978,0.02393613168412975,,5012.24,,3803.73,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1222.7,0.4,0.0808,0.018614843539498258,,5012.24,,3789.19,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1238.3,0.08,1.717,0.1320075755401939,,1238.24,445.38,0,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1284,0.4,0.17372,0.04130520548308651,,3603.18,,2319.10,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1287,0.5,0.12928,0.04090378955549229,,2273.00,,986.12,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1306.92,0.19,0.13332,0.017455818514180307,,2292.87,,986.12,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1315.64,0.1,0.43834,0.037269021988777754,,2553.80,,1238.24,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1332.97,0.08,1.2322,0.13568507655597206,,2319.10,,986.12,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1349.67,0.21,0.16362,0.021763501556505103,,1562.95,0.0000000043,213.431,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1359.92,0.16,0.23836,0.025158863249360053,,4097.43,,2737.44,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1365.36,0.11,0.37774,0.03390351604185029,,2351.51,,986.12,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1384.6,,,,,1384.5,,0.0,E2,,,0.000332,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-N,1.39,0.07,2176,9,38,54,Sr,15-Sep-2012,CORAL M. BAGLIN,2025-02-24
1385.21,0.08,6.6256,0.46048044475308614,,1385.31,445.38,0,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1388.7,0.6,0.2626,0.06197870602069714,,2773.99,,1385.31,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1397.7,0.5,0.06666,0.018477077691020298,,2782.20,,1385.31,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1405.37,0.22,0.11514,0.01524564200025699,,2553.80,,1148.20,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1437.1,0.16,0.4848,0.04873865406430506,,1869.64,0.0000000003,432.604,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1439.6,0.5,0.10504,0.03473147851733352,,5775.5,,4336.12,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1452.7,0.7,0.05858,0.02240844483671279,,3233.01,,1779.78,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1470.13,0.22,0.22018,0.02657795326958041,,3789.19,,2319.10,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1473.2,0.6,0.06262,0.02043648697795196,,2459.78,,986.12,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1479.1,0.3,0.0707,0.014566729214205912,,2621.39,,1142.55,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1483.96,0.24,0.101,0.01499798653153149,,4037.88,,2553.80,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1491.25,0.24,0.1414,0.021378493866500512,,6000.51,,4509.26,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1494.85,0.15,0.26664,0.02584508463905661,,3954.94,,2459.78,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1501.18,0.12,0.404,0.03300890182965801,,2886.45,,1385.31,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
1507.77,0.14,0.27472,0.02605164870022625,,5384.61,,3876.73,,,,,,37,56,Rb,,0,,5/2-,5.84,,2,s,5.84,0.02,B-,100,,7466,9,38,55,Sr,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
