energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
102,,9.6,0.932952303175248,,102.0,142.8,0.0,M1,,,4.5,,75,96,Re,,0,,(9/2-),15.2,,4,s,15.2,0.4,EC+B+,100,,5836,40,74,97,W,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
105.6,,1.28,0.3263372488699382,,207.6,,102.0,E1,,,0.326,,75,96,Re,,0,,(9/2-),15.2,,4,s,15.2,0.4,EC+B+,100,,5836,40,74,97,W,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
131.4,,3.2,0.35777087639996635,,233.4,,102.0,M1,,,2.18,,75,96,Re,,0,,(9/2-),15.2,,4,s,15.2,0.4,EC+B+,100,,5836,40,74,97,W,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
133.4,,5.12,0.40979995119570234,,133.4,142.8,0.0,M1,,,2.08,,75,96,Re,,0,,(9/2-),15.2,,4,s,15.2,0.4,EC+B+,100,,5836,40,74,97,W,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
207.6,,3.04,0.6578024019414949,,207.6,142.8,0.0,[E1],,,0.0570,,75,96,Re,,0,,(9/2-),15.2,,4,s,15.2,0.4,EC+B+,100,,5836,40,74,97,W,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
233.4,,1.44,0.17545369759569046,,233.4,142.8,0.0,(E2),,,0.185,,75,96,Re,,0,,(9/2-),15.2,,4,s,15.2,0.4,EC+B+,100,,5836,40,74,97,W,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
360.9,,3.04,0.22068982758613953,,568.4,,207.6,[E1],,,0.01476,,75,96,Re,,0,,(9/2-),15.2,,4,s,15.2,0.4,EC+B+,100,,5836,40,74,97,W,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
434.9,,7.52,0.4937367719747031,,568.4,,133.4,[E2],,,0.0300,,75,96,Re,,0,,(9/2-),15.2,,4,s,15.2,0.4,EC+B+,100,,5836,40,74,97,W,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
466.4,,4.96,0.5402814081568974,,568.4,,102.0,[M1],,,0.0677,,75,96,Re,,0,,(9/2-),15.2,,4,s,15.2,0.4,EC+B+,100,,5836,40,74,97,W,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
498,,2.08,0.190829767070025,,1066.0,,568.4,[M1],,,0.0571,,75,96,Re,,0,,(9/2-),15.2,,4,s,15.2,0.4,EC+B+,100,,5836,40,74,97,W,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
568.4,,16,1.0244998779892558,,568.4,142.8,0.0,[M1],,,0.0405,,75,96,Re,,0,,(9/2-),15.2,,4,s,15.2,0.4,EC+B+,100,,5836,40,74,97,W,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
933.9,,1.6,0.3298484500494128,,1066.0,,133.4,,,,,,75,96,Re,,0,,(9/2-),15.2,,4,s,15.2,0.4,EC+B+,100,,5836,40,74,97,W,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
964,,1.28,0.17232527382830412,,1066.0,,102.0,,,,,,75,96,Re,,0,,(9/2-),15.2,,4,s,15.2,0.4,EC+B+,100,,5836,40,74,97,W,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
1066,,8,0.6248199740725324,,1066.0,142.8,0.0,,,,,,75,96,Re,,0,,(9/2-),15.2,,4,s,15.2,0.4,EC+B+,100,,5836,40,74,97,W,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
511,,124.2,,,,,,,,,,,75,96,Re,,0,,(9/2-),15.2,,4,s,15.2,0.4,EC+B+,100,,5836,40,74,97,W,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
9.74,,22.5,1.3,,,,,,,,,,75,96,Re,,0,,(9/2-),15.2,,4,s,15.2,0.4,EC+B+,100,,5836,40,74,97,W,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
57.983,,22.1,1.1,,,,,,,,,,75,96,Re,,0,,(9/2-),15.2,,4,s,15.2,0.4,EC+B+,100,,5836,40,74,97,W,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
59.32,,38.4,2,,,,,,,,,,75,96,Re,,0,,(9/2-),15.2,,4,s,15.2,0.4,EC+B+,100,,5836,40,74,97,W,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
67.335,,12.7,0.7,,,,,,,,,,75,96,Re,,0,,(9/2-),15.2,,4,s,15.2,0.4,EC+B+,100,,5836,40,74,97,W,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
68.117,,16.2,0.9,,,,,,,,,,75,96,Re,,0,,(9/2-),15.2,,4,s,15.2,0.4,EC+B+,100,,5836,40,74,97,W,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
69.068,,3.49,0.2,,,,,,,,,,75,96,Re,,0,,(9/2-),15.2,,4,s,15.2,0.4,EC+B+,100,,5836,40,74,97,W,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24

