energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
738.1,0.1,90.4,10.893993941617556,,738.10,,0.0,E2,,,0.00184,,45,45,Rh,X,0,,(6 7 8),0.56,,2,s,0.56,0.02,EC+B+,100,,13250,200,44,46,Ru,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
797.7,1.7,,,,797.7,,0.0,,,,,,45,45,Rh,X,0,,(6 7 8),0.56,,2,s,0.56,0.02,ECP,9.6,1,8472,200,43,46,Tc,30-Nov-2021,Balraj Singh,2025-02-24
885.7,0.2,37.064,6.341268327393188,,2524.0,,1638.31,E2,,,1.17E-3,,45,45,Rh,X,0,,(6 7 8),0.56,,2,s,0.56,0.02,EC+B+,100,,13250,200,44,46,Ru,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
900.2,0.2,76.84,9.980262321201783,,1638.31,,738.10,E2,,,1.13E-3,,45,45,Rh,X,0,,(6 7 8),0.56,,2,s,0.56,0.02,EC+B+,100,,13250,200,44,46,Ru,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
1163.9,0.2,23.504,5.430227987847288,,2802.2,,1638.31,[E2],,,6.36E-4,,45,45,Rh,X,0,,(6 7 8),0.56,,2,s,0.56,0.02,EC+B+,100,,13250,200,44,46,Ru,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
1316.6,0.2,18.08,5.427686063139614,,2954.9,,1638.31,[E2],,,5.17E-4,,45,45,Rh,X,0,,(6 7 8),0.56,,2,s,0.56,0.02,EC+B+,100,,13250,200,44,46,Ru,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
511,,158,,,,,,,,,,,45,45,Rh,X,0,,(6 7 8),0.56,,2,s,0.56,0.02,EC+B+,100,,13250,200,44,46,Ru,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
511,,199.6,,,,,,,,,,,45,45,Rh,,0,,(0+),29,,3,ms,0.029,0.003,EC+B+,100,,13250,200,44,46,Ru,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
2.737,,0.02862402190296,0.0021397596734355384,,,,,,,,,,45,45,Rh,X,0,,(6 7 8),0.56,,2,s,0.56,0.02,EC+B+,100,,13250,200,44,46,Ru,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
2.737,,0.0087429,,,,,,,,,,,45,45,Rh,,0,,(0+),29,,3,ms,0.029,0.003,EC+B+,100,,13250,200,44,46,Ru,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
19.15,,0.128775877429541,0.010158970984211655,,,,,,,,,,45,45,Rh,X,0,,(6 7 8),0.56,,2,s,0.56,0.02,EC+B+,100,,13250,200,44,46,Ru,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
19.15,,0.03922891427393945,,,,,,,,,,,45,45,Rh,,0,,(0+),29,,3,ms,0.029,0.003,EC+B+,100,,13250,200,44,46,Ru,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
19.279,,0.24435650366136813,0.019242100440423723,,,,,,,,,,45,45,Rh,X,0,,(6 7 8),0.56,,2,s,0.56,0.02,EC+B+,100,,13250,200,44,46,Ru,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
19.279,,0.0744381675027314,,,,,,,,,,,45,45,Rh,,0,,(0+),29,,3,ms,0.029,0.003,EC+B+,100,,13250,200,44,46,Ru,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
21.736,,0.06566744572555157,0.0052063454482858245,,,,,,,,,,45,45,Rh,X,0,,(6 7 8),0.56,,2,s,0.56,0.02,EC+B+,100,,13250,200,44,46,Ru,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
21.736,,0.020004232550197235,,,,,,,,,,,45,45,Rh,,0,,(0+),29,,3,ms,0.029,0.003,EC+B+,100,,13250,200,44,46,Ru,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
21.875,,0.07630557193309091,0.006040856974604515,,,,,,,,,,45,45,Rh,X,0,,(6 7 8),0.56,,2,s,0.56,0.02,EC+B+,100,,13250,200,44,46,Ru,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
21.875,,0.023244918223329185,,,,,,,,,,,45,45,Rh,,0,,(0+),29,,3,ms,0.029,0.003,EC+B+,100,,13250,200,44,46,Ru,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
22.072,,0.010638126207539355,0.0009050834568348747,,,,,,,,,,45,45,Rh,X,0,,(6 7 8),0.56,,2,s,0.56,0.02,EC+B+,100,,13250,200,44,46,Ru,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
22.072,,0.003240685673131952,,,,,,,,,,,45,45,Rh,,0,,(0+),29,,3,ms,0.029,0.003,EC+B+,100,,13250,200,44,46,Ru,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24

