energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
2.74,,,,,2.74,,0.0,[E1],,,74.5,,86,141,Rn,,0,,(5/2),20.2,,4,s,20.2,0.4,B-,100,,3203,15,87,140,Fr,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
7.4,,,,,66.35,,59.10,[E1],,,27.8,,86,141,Rn,,0,,(5/2),20.2,,4,s,20.2,0.4,B-,100,,3203,15,87,140,Fr,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
20.63,,,,0.000000000049,164.95,0.000000000038,144.16,[M1+E2],,,9.4E+3,,86,141,Rn,,0,,(5/2),20.2,,4,s,20.2,0.4,B-,100,,3203,15,87,140,Fr,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
31.35,,,,,34.09,,2.74,[E2],,,2.34E3,,86,141,Rn,,0,,(5/2),20.2,,4,s,20.2,0.4,B-,100,,3203,15,87,140,Fr,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
31.96,,,,,31.96,,0.0,[E2],,,2.12E3,,86,141,Rn,,0,,(5/2),20.2,,4,s,20.2,0.4,B-,100,,3203,15,87,140,Fr,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
32.35,,,,,95.40,,62.97,[M1 E2],,,1.05E+3,,86,141,Rn,,0,,(5/2),20.2,,4,s,20.2,0.4,B-,100,,3203,15,87,140,Fr,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
39.88,0.08,,,0.0000000027,39.90,,0.0,M1+E2,0.16,14,59,,86,141,Rn,,0,,(5/2),20.2,,4,s,20.2,0.4,B-,100,,3203,15,87,140,Fr,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
48.77,0.1,,,0.000000000038,144.16,,95.40,[E1],,,0.729,,86,141,Rn,,0,,(5/2),20.2,,4,s,20.2,0.4,B-,100,,3203,15,87,140,Fr,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
54.3,0.5,,,,87.98,,34.09,,,,,,86,141,Rn,,0,,(5/2),20.2,,4,s,20.2,0.4,B-,100,,3203,15,87,140,Fr,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
55.4,0.1,,,,,,,,,,,,86,141,Rn,,0,,(5/2),20.2,,4,s,20.2,0.4,B-,100,,3203,15,87,140,Fr,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
56,0.1,,,,56.03,,0.0,M1 E1,,,7.9,,86,141,Rn,,0,,(5/2),20.2,,4,s,20.2,0.4,B-,100,,3203,15,87,140,Fr,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
