energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
31.8,0.03,0.43677,0.0339960247676107,0.0000000287,257.66,0.00000166,225.873,M1+E2,0.60,9,29,,44,65,Ru,,0,,(5/2+),34.4,,2,s,34.4,0.2,B-,100,,4261,10,45,64,Rh,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-02-24
55.01,0.03,0.17595,0.017244784718865005,0.000000000223,623.12,0.00000000000083,568.10,[M1],,,1.89,,44,65,Ru,,0,,(5/2+),34.4,,2,s,34.4,0.2,B-,100,,4261,10,45,64,Rh,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-02-24
68.07,0.03,2.7738,0.20669487173125511,0.000000000053,426.759,0.0000000001144,358.584,M1,,,1.023,,44,65,Ru,,0,,(5/2+),34.4,,2,s,34.4,0.2,B-,100,,4261,10,45,64,Rh,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-02-24
101.1,0.1,0.02277,0.006326784333292861,0.0000000001144,358.584,0.0000000287,257.66,[M1],,,0.333,,44,65,Ru,,0,,(5/2+),34.4,,2,s,34.4,0.2,B-,100,,4261,10,45,64,Rh,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-02-24
115.17,0.05,0.0621,0.03122486989564568,0.000000000051,855.99,0.000000000057,740.80,[M1],,,0.231,,44,65,Ru,,0,,(5/2+),34.4,,2,s,34.4,0.2,B-,100,,4261,10,45,64,Rh,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-02-24
116.32,0.03,7.1829,0.5191613429368562,0.0000000335,373.99,0.0000000287,257.66,[E1],,,0.0945,,44,65,Ru,,0,,(5/2+),34.4,,2,s,34.4,0.2,B-,100,,4261,10,45,64,Rh,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-02-24
117.67,0.05,0.0621,0.03122486989564568,0.000000000057,740.80,0.000000000223,623.12,[M1],,,0.218,,44,65,Ru,,0,,(5/2+),34.4,,2,s,34.4,0.2,B-,100,,4261,10,45,64,Rh,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-02-24
119.6,0.05,0.14076,0.016306762400918214,0.000000000174,478.28,0.0000000001144,358.584,[M1],,,0.208,,44,65,Ru,,0,,(5/2+),34.4,,2,s,34.4,0.2,B-,100,,4261,10,45,64,Rh,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-02-24
132.79,0.03,0.19044,0.017674119497163077,0.0000000001144,358.584,0.00000166,225.873,[M1],,,0.1560,,44,65,Ru,,0,,(5/2+),34.4,,2,s,34.4,0.2,B-,100,,4261,10,45,64,Rh,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-02-24
148.12,0.03,0.12627,0.01233477198816419,0.0000000335,373.99,0.00000166,225.873,[E1],,,0.0472,,44,65,Ru,,0,,(5/2+),34.4,,2,s,34.4,0.2,B-,100,,4261,10,45,64,Rh,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-02-24
172.71,0.03,0.4554,0.036190994736260015,0.000000000057,740.80,0.00000000000083,568.10,[M1],,,0.0763,,44,65,Ru,,0,,(5/2+),34.4,,2,s,34.4,0.2,B-,100,,4261,10,45,64,Rh,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-02-24
183.85,0.03,1.656,0.1208297976494209,0.00000000049,409.74,0.00000166,225.873,E2,,,0.1530,,44,65,Ru,,0,,(5/2+),34.4,,2,s,34.4,0.2,B-,100,,4261,10,45,64,Rh,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-02-24
185.95,0.03,0.09729,0.021335859485851514,0.000000000107,926.76,0.000000000057,740.80,[M1],,,0.0626,,44,65,Ru,,0,,(5/2+),34.4,,2,s,34.4,0.2,B-,100,,4261,10,45,64,Rh,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-02-24
194.1,0.05,1.863,0.28673299426469917,0.00000000000083,568.10,0.0000000335,373.99,[M1],,,0.0559,,44,65,Ru,,0,,(5/2+),34.4,,2,s,34.4,0.2,B-,100,,4261,10,45,64,Rh,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2025-02-24
