energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
468.79,0.03,1.08,0.55,,2422.7,,1953.91,,,,,,16,13,S,,0,,(5/2+),188,,4,ms,0.188,0.004,EC+B+,100,,13858,13,15,14,P,1-Jan-2012,M. Shamsuzzoha Basunia,2025-02-24
570.36,0.17,1.56,0.31,,1953.91,,1383.55,,,,,,16,13,S,,0,,(5/2+),188,,4,ms,0.188,0.004,EC+B+,100,,13858,13,15,14,P,1-Jan-2012,M. Shamsuzzoha Basunia,2025-02-24
1039.15,0.03,3.22,0.6,,2422.7,,1383.55,,,,,,16,13,S,,0,,(5/2+),188,,4,ms,0.188,0.004,EC+B+,100,,13858,13,15,14,P,1-Jan-2012,M. Shamsuzzoha Basunia,2025-02-24
1151.99,0.03,0.53,0.11,,3105.9,,1953.91,,,,,,16,13,S,,0,,(5/2+),188,,4,ms,0.188,0.004,EC+B+,100,,13858,13,15,14,P,1-Jan-2012,M. Shamsuzzoha Basunia,2025-02-24
1383.55,0.07,45,2.5,,1383.55,4.142,0,,,,,,16,13,S,,0,,(5/2+),188,,4,ms,0.188,0.004,EC+B+,100,,13858,13,15,14,P,1-Jan-2012,M. Shamsuzzoha Basunia,2025-02-24
1657.8,0.03,0.02,,,4080.5,,2422.7,,,,,,16,13,S,,0,,(5/2+),188,,4,ms,0.188,0.004,EC+B+,100,,13858,13,15,14,P,1-Jan-2012,M. Shamsuzzoha Basunia,2025-02-24
1722.35,0.03,1.67,0.33,,3105.9,,1383.55,,,,,,16,13,S,,0,,(5/2+),188,,4,ms,0.188,0.004,EC+B+,100,,13858,13,15,14,P,1-Jan-2012,M. Shamsuzzoha Basunia,2025-02-24
1778.969,0.012,11.6,0.6,0.000000000000475,1779.030,,0.0,E2,,,,,16,13,S,,0,,(5/2+),188,,4,ms,0.188,0.004,ECP,47,5,11109,13,14,14,Si,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
1848.2,0.05,0.46,0.17,,4954.1,,3105.9,,,,,,16,13,S,,0,,(5/2+),188,,4,ms,0.188,0.004,EC+B+,100,,13858,13,15,14,P,1-Jan-2012,M. Shamsuzzoha Basunia,2025-02-24
1953.91,0.17,17.9,2.8,,1953.91,4.142,0,,,,,,16,13,S,,0,,(5/2+),188,,4,ms,0.188,0.004,EC+B+,100,,13858,13,15,14,P,1-Jan-2012,M. Shamsuzzoha Basunia,2025-02-24
2126.59,0.03,0.26,,,4080.5,,1953.91,,,,,,16,13,S,,0,,(5/2+),188,,4,ms,0.188,0.004,EC+B+,100,,13858,13,15,14,P,1-Jan-2012,M. Shamsuzzoha Basunia,2025-02-24
2187.1,,0.86,0.21,,5293.0,,3105.9,,,,,,16,13,S,,0,,(5/2+),188,,4,ms,0.188,0.004,EC+B+,100,,13858,13,15,14,P,1-Jan-2012,M. Shamsuzzoha Basunia,2025-02-24
2422.7,0.3,22.6,2,,2422.7,4.142,0,,,,,,16,13,S,,0,,(5/2+),188,,4,ms,0.188,0.004,EC+B+,100,,13858,13,15,14,P,1-Jan-2012,M. Shamsuzzoha Basunia,2025-02-24
2531.4,0.05,1.7,0.5,,4954.1,,2422.7,,,,,,16,13,S,,0,,(5/2+),188,,4,ms,0.188,0.004,EC+B+,100,,13858,13,15,14,P,1-Jan-2012,M. Shamsuzzoha Basunia,2025-02-24
2696.95,0.03,0.22,,,4080.5,,1383.55,,,,,,16,13,S,,0,,(5/2+),188,,4,ms,0.188,0.004,EC+B+,100,,13858,13,15,14,P,1-Jan-2012,M. Shamsuzzoha Basunia,2025-02-24
2838.67,0.05,0.16,0.06,0.000000000000044,4617.86,0.000000000000475,1779.030,,,,,,16,13,S,,0,,(5/2+),188,,4,ms,0.188,0.004,ECP,47,5,11109,13,14,14,Si,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
3000.19,0.05,2.48,0.54,,4954.1,,1953.91,,,,,,16,13,S,,0,,(5/2+),188,,4,ms,0.188,0.004,EC+B+,100,,13858,13,15,14,P,1-Jan-2012,M. Shamsuzzoha Basunia,2025-02-24
3105.9,0.3,0.07,,,3105.9,4.142,0,,,,,,16,13,S,,0,,(5/2+),188,,4,ms,0.188,0.004,EC+B+,100,,13858,13,15,14,P,1-Jan-2012,M. Shamsuzzoha Basunia,2025-02-24
3339.09,,3.04,0.31,,5293.0,,1953.91,,,,,,16,13,S,,0,,(5/2+),188,,4,ms,0.188,0.004,EC+B+,100,,13858,13,15,14,P,1-Jan-2012,M. Shamsuzzoha Basunia,2025-02-24
3424.9,0.03,3.6,1.7,,8379,,4954.1,,,,,,16,13,S,,0,,(5/2+),188,,4,ms,0.188,0.004,EC+B+,100,,13858,13,15,14,P,1-Jan-2012,M. Shamsuzzoha Basunia,2025-02-24
3570.55,0.05,9.1,1.1,,4954.1,,1383.55,,,,,,16,13,S,,0,,(5/2+),188,,4,ms,0.188,0.004,EC+B+,100,,13858,13,15,14,P,1-Jan-2012,M. Shamsuzzoha Basunia,2025-02-24
3909.45,,0.23,,,5293.0,,1383.55,,,,,,16,13,S,,0,,(5/2+),188,,4,ms,0.188,0.004,EC+B+,100,,13858,13,15,14,P,1-Jan-2012,M. Shamsuzzoha Basunia,2025-02-24
4954.1,0.5,1.7,0.5,,4954.1,4.142,0,,,,,,16,13,S,,0,,(5/2+),188,,4,ms,0.188,0.004,EC+B+,100,,13858,13,15,14,P,1-Jan-2012,M. Shamsuzzoha Basunia,2025-02-24
5956.3,0.03,4.5,0.6,,8379,,2422.7,,,,,,16,13,S,,0,,(5/2+),188,,4,ms,0.188,0.004,EC+B+,100,,13858,13,15,14,P,1-Jan-2012,M. Shamsuzzoha Basunia,2025-02-24
6425.09,0.03,7.9,2.8,,8379,,1953.91,,,,,,16,13,S,,0,,(5/2+),188,,4,ms,0.188,0.004,EC+B+,100,,13858,13,15,14,P,1-Jan-2012,M. Shamsuzzoha Basunia,2025-02-24
6995.45,0.03,2.2,0.4,,8379,,1383.55,,,,,,16,13,S,,0,,(5/2+),188,,4,ms,0.188,0.004,EC+B+,100,,13858,13,15,14,P,1-Jan-2012,M. Shamsuzzoha Basunia,2025-02-24
511,,201.224,,,,,,,,,,,16,13,S,,0,,(5/2+),188,,4,ms,0.188,0.004,EC+B+,100,,13858,13,15,14,P,1-Jan-2012,M. Shamsuzzoha Basunia,2025-02-24
0.118,,0.000000107516717,0.000000024110242470812203,,,,,,,,,,16,13,S,,0,,(5/2+),188,,4,ms,0.188,0.004,ECP,47,5,11109,13,14,14,Si,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
0.149,,0.0000234567611712,0.000004944373865817232,,,,,,,,,,16,13,S,,0,,(5/2+),188,,4,ms,0.188,0.004,EC+B+,100,,13858,13,15,14,P,1-Jan-2012,M. Shamsuzzoha Basunia,2025-02-24
1.74,,0.000003238118762833989,0.00000019287960350010517,,,,,,,,,,16,13,S,,0,,(5/2+),188,,4,ms,0.188,0.004,ECP,47,5,11109,13,14,14,Si,1-Apr-2013,M. Shamsuzzoha Basunia,2025-02-24
