energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
9.76,0.08,,,0.0000022,1861.06,1062,1851.31,[E2],,,3.39E4,,51,78,Sb,,1861.06,0.05,(15/2-),2.2,,2,us,0.0000022,0.0000002,IT,100,,,,51,78,Sb,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
95.42,0.03,0.044826,0.0015499290306333383,,1727.95,,1632.57,[D E2],,,1.1,,51,78,Sb,,0,,7/2+,4.366,,26,h,15717.6,93.6,B-,100,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
98.6,0.2,,,0.0000011,2139.4,,2040.81,E2,,,1.73,,51,78,Sb,,2139.4,0.3,(23/2+),1.1,,1,us,0.0000011,0.0000001,IT,100,,,,51,78,Sb,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
105.5,0.05,,,2903040,105.49,4176,0.0,M4,,,429,,51,78,Sb,,0,,7/2+,4.366,,26,h,15717.6,93.6,B-,100,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
105.5,0.05,,,2903040,105.50,4176,0.0,M4,,,,,51,78,Sb,,1851.31,0.06,(19/2-),17.7,,1,m,1062,6,B-,85,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
115.84,0.04,0.087242,0.003089184358370345,,1843.62,,1727.95,[M1+E2],,,0.7,,51,78,Sb,,0,,7/2+,4.366,,26,h,15717.6,93.6,B-,100,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
130.9,0.1,5.1,1.7,,1654.0,,1523.08,[M1],,,0.32,,51,78,Sb,,1851.31,0.06,(19/2-),17.7,,1,m,1062,6,B-,85,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
146.11,0.01,0.090616,0.001833930205869351,,1727.95,,1581.99,[M1+E2],,,0.34,,51,78,Sb,,0,,7/2+,4.366,,26,h,15717.6,93.6,B-,100,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
180.42,0.01,2.8438,0.1488701447571003,,180.37,4176,0.0,[M1],,,0.1318,,51,78,Sb,,0,,7/2+,4.366,,26,h,15717.6,93.6,B-,100,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
189.5,0.2,,,,2040.81,1062,1851.31,,,,,,51,78,Sb,,2139.4,0.3,(23/2+),1.1,,1,us,0.0000011,0.0000001,IT,100,,,,51,78,Sb,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
244.53,0.01,0.403434,0.006331604851852333,,1727.95,,1483.35,[M1+E2],,,0.067,,51,78,Sb,,0,,7/2+,4.366,,26,h,15717.6,93.6,B-,100,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
268.48,0.02,0.214008,0.004298926842829499,,812.96,,544.64,(M1+E2),,,0.051,,51,78,Sb,,0,,7/2+,4.366,,26,h,15717.6,93.6,B-,100,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
290.48,0.04,0.059768,0.0025222283798260617,,,,,,,,,,51,78,Sb,,0,,7/2+,4.366,,26,h,15717.6,93.6,B-,100,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
295.26,0.01,0.828076,0.013168010479947227,,759.83,,464.64,(M1+E2),,,0.038,,51,78,Sb,,0,,7/2+,4.366,,26,h,15717.6,93.6,B-,100,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
314.4,0.02,0.12291,0.0028546453369902186,,1281.72,,966.86,,,,,,51,78,Sb,,0,,7/2+,4.366,,26,h,15717.6,93.6,B-,100,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
318.36,0.01,0.227022,0.003714078082108668,,1600.05,,1281.72,,,,,,51,78,Sb,,0,,7/2+,4.366,,26,h,15717.6,93.6,B-,100,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
330.33,0.04,0.072782,0.0034935242950350294,,875.00,,544.64,,,,,,51,78,Sb,,0,,7/2+,4.366,,26,h,15717.6,93.6,B-,100,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
333.21,0.02,0.170628,0.004402284861296461,,966.86,,633.85,,,,,,51,78,Sb,,0,,7/2+,4.366,,26,h,15717.6,93.6,B-,100,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
351.46,0.11,0.075192,0.008247286341579271,,1318.23,,966.86,,,,,,51,78,Sb,,0,,7/2+,4.366,,26,h,15717.6,93.6,B-,100,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
354.13,0.08,0.096882,0.009715144672108595,,1581.99,,1227.98,,,,,,51,78,Sb,,0,,7/2+,4.366,,26,h,15717.6,93.6,B-,100,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
359.2,0.01,2.39072,0.03829448524265602,,464.64,2903040,105.49,(M1+E2),,,0.0216,,51,78,Sb,,0,,7/2+,4.366,,26,h,15717.6,93.6,B-,100,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
364.21,0.03,0.304624,0.008593847101269605,,544.64,,180.37,[E2],,,0.0209,,51,78,Sb,,0,,7/2+,4.366,,26,h,15717.6,93.6,B-,100,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
398.97,0.05,0.068926,0.003016592116942561,,,,,,,,,,51,78,Sb,,0,,7/2+,4.366,,26,h,15717.6,93.6,B-,100,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
404.64,0.01,1.172224,0.018621092556560692,,1632.57,,1227.98,(M1+E2),,,0.013,,51,78,Sb,,0,,7/2+,4.366,,26,h,15717.6,93.6,B-,100,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
409.71,0.02,0.23136,0.0056148731063132675,,1727.95,,1318.23,,,,,,51,78,Sb,,0,,7/2+,4.366,,26,h,15717.6,93.6,B-,100,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
415.17,0.04,0.0964,0.004038407606965894,,1227.98,,812.96,,,,,,51,78,Sb,,0,,7/2+,4.366,,26,h,15717.6,93.6,B-,100,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
421.72,0.1,0.050128,0.0039061633350386156,,966.86,,544.64,,,,,,51,78,Sb,,0,,7/2+,4.366,,26,h,15717.6,93.6,B-,100,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
433.76,0.08,62,7,,1956.84,,1523.08,[E2],,,0.0123,,51,78,Sb,,1851.31,0.06,(19/2-),17.7,,1,m,1062,6,B-,85,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
434.74,,0.111342,0.0013859999999999999,,,,,,,,,,51,78,Sb,,0,,7/2+,4.366,,26,h,15717.6,93.6,B-,100,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
435.04,0.09,0.21208,0.014699020375521628,,1753.32,,1318.23,,,,,,51,78,Sb,,0,,7/2+,4.366,,26,h,15717.6,93.6,B-,100,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
453.44,0.01,0.537912,0.009170560070137484,,633.85,,180.37,,,,,,51,78,Sb,,0,,7/2+,4.366,,26,h,15717.6,93.6,B-,100,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
471.54,0.09,0.045308,0.003897028611647597,,1753.32,,1281.72,,,,,,51,78,Sb,,0,,7/2+,4.366,,26,h,15717.6,93.6,B-,100,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
499.99,0.01,0.429944,0.006889277756049614,,1727.95,,1227.98,,,,,,51,78,Sb,,0,,7/2+,4.366,,26,h,15717.6,93.6,B-,100,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
505.33,0.01,0.517668,0.008344839123673986,,1318.23,,812.96,,,,,,51,78,Sb,,0,,7/2+,4.366,,26,h,15717.6,93.6,B-,100,,2375,21,52,77,Te,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2025-02-24
