energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
175.361,0.005,7.47,0.18,,3508.569,,3333.208,M1,,,0.00449,,21,27,Sc,,0,,6+,43.71,,9,h,157356,324,B-,100,,3989,5,22,26,Ti,30-Nov-2021,JUN CHEN,2025-02-24
983.526,0.012,100,,,983.536,,0.0,E2,,,1.24E-4,,21,27,Sc,,0,,6+,43.71,,9,h,157356,324,B-,100,,3989,5,22,26,Ti,30-Nov-2021,JUN CHEN,2025-02-24
1037.522,0.012,97.5,2,,3333.208,,2295.674,E2,,,1.06E-4,,21,27,Sc,,0,,6+,43.71,,9,h,157356,324,B-,100,,3989,5,22,26,Ti,30-Nov-2021,JUN CHEN,2025-02-24
1212.88,0.012,2.38,0.06,,3508.569,,2295.674,E2,,,8.83E-5,,21,27,Sc,,0,,6+,43.71,,9,h,157356,324,B-,100,,3989,5,22,26,Ti,30-Nov-2021,JUN CHEN,2025-02-24
1312.12,0.012,100,,,2295.674,,983.536,E2,,,0.69E-4,,21,27,Sc,,0,,6+,43.71,,9,h,157356,324,B-,100,,3989,5,22,26,Ti,30-Nov-2021,JUN CHEN,2025-02-24
0.477,,0.000306879713328,0.00006135867646087903,,,,,,,,,,21,27,Sc,,0,,6+,43.71,,9,h,157356,324,B-,100,,3989,5,22,26,Ti,30-Nov-2021,JUN CHEN,2025-02-24
4.505,,0.0038780819926939707,0.00010745599866206733,,,,,,,,,,21,27,Sc,,0,,6+,43.71,,9,h,157356,324,B-,100,,3989,5,22,26,Ti,30-Nov-2021,JUN CHEN,2025-02-24
4.511,,0.007640035446599627,0.00020832323376891298,,,,,,,,,,21,27,Sc,,0,,6+,43.71,,9,h,157356,324,B-,100,,3989,5,22,26,Ti,30-Nov-2021,JUN CHEN,2025-02-24
4.947,,0.0015261505607064017,0.000046423737795096345,,,,,,,,,,21,27,Sc,,0,,6+,43.71,,9,h,157356,324,B-,100,,3989,5,22,26,Ti,30-Nov-2021,JUN CHEN,2025-02-24
4.947,,0.0015261505607064017,0.000046423737795096345,,,,,,,,,,21,27,Sc,,0,,6+,43.71,,9,h,157356,324,B-,100,,3989,5,22,26,Ti,30-Nov-2021,JUN CHEN,2025-02-24

