energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
188.9,0.1,0.1751,0.017492123941934553,,987.96,,799.12,,,,,,34,49,Se,,228.92,0.07,1/2-,70.1,,4,s,70.1,0.4,B-,100,,3673,5,35,48,Br,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
208.4,0.01,1.76276,0.036951048699597144,,2946.784,,2738.382,,,,,,34,49,Se,,0,,9/2+,22.3,,2,m,1338,12,B-,100,,3673,5,35,48,Br,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
225.22,0.01,29.495,0.5944773250511747,0.0000000041,1092.138,,866.930,E1(+M2),-0.07,7,0.0080,,34,49,Se,,0,,9/2+,22.3,,2,m,1338,12,B-,100,,3673,5,35,48,Br,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
231.5,0.1,0.3162,0.018556766959791245,,1030.65,,799.12,,,,,,34,49,Se,,228.92,0.07,1/2-,70.1,,4,s,70.1,0.4,B-,100,,3673,5,35,48,Br,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
260.584,0.022,0.244288,0.00919206636181441,,,,,,,,,,34,49,Se,,0,,9/2+,22.3,,2,m,1338,12,B-,100,,3673,5,35,48,Br,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
263.68,0.04,0.20473,0.01257877931279502,,,,,,,,,,34,49,Se,,0,,9/2+,22.3,,2,m,1338,12,B-,100,,3673,5,35,48,Br,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
296.232,0.023,0.285928,0.010611865999907839,,2694.305,,2398.068,,,,,,34,49,Se,,0,,9/2+,22.3,,2,m,1338,12,B-,100,,3673,5,35,48,Br,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
322.07,0.04,0.153374,0.010468482459267915,,1352.815,,1030.797,,,,,,34,49,Se,,0,,9/2+,22.3,,2,m,1338,12,B-,100,,3673,5,35,48,Br,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
322.2,0.3,0.0255,0.025507057846799974,,,,,,,,,,34,49,Se,,228.92,0.07,1/2-,70.1,,4,s,70.1,0.4,B-,100,,3673,5,35,48,Br,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
329.599,0.018,0.44416,0.01022940154652265,,1421.078,0.0000000041,1092.138,,,,,,34,49,Se,,0,,9/2+,22.3,,2,m,1338,12,B-,100,,3673,5,35,48,Br,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
340.316,0.016,0.474696,0.01030034251857675,,2738.382,,2398.068,,,,,,34,49,Se,,0,,9/2+,22.3,,2,m,1338,12,B-,100,,3673,5,35,48,Br,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
356.69,0.05,17,1.095627673984187,,356.69,8546.4,0,M1(+E2),0.02,16,0.00428,,34,49,Se,,228.92,0.07,1/2-,70.1,,4,s,70.1,0.4,B-,100,,3673,5,35,48,Br,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
356.73,0.01,69.4,0.8553572353116562,,356.733,8546.4,0.0,M1(+E2),0.02,16,0.00428,,34,49,Se,,0,,9/2+,22.3,,2,m,1338,12,B-,100,,3673,5,35,48,Br,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
