energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
452,,,,,452,7.183,0,,,,,,14,11,Si,,0,,5/2+,220,,3,ms,0.22,0.003,EC+B+,100,,12743,10,13,12,Al,1-Feb-2008,R.B. FIRESTONE,2025-02-24
493,,,,,945,,452,,,,,,14,11,Si,,0,,5/2+,220,,3,ms,0.22,0.003,EC+B+,100,,12743,10,13,12,Al,1-Feb-2008,R.B. FIRESTONE,2025-02-24
945,,,,,945,7.183,0,,,,,,14,11,Si,,0,,5/2+,220,,3,ms,0.22,0.003,EC+B+,100,,12743,10,13,12,Al,1-Feb-2008,R.B. FIRESTONE,2025-02-24
1368.625,0.005,22.1,1.1,,1368.667,,0,,,,,,14,11,Si,,0,,5/2+,220,,3,ms,0.22,0.003,B+P,35,2,,,12,12,Mg,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-02-24
1612,,,,,1613,7.183,0,,,,,,14,11,Si,,0,,5/2+,220,,3,ms,0.22,0.003,EC+B+,100,,12743,10,13,12,Al,1-Feb-2008,R.B. FIRESTONE,2025-02-24
2754.016,0.011,0.94,0.07,,4122.853,,1368.667,,,,,,14,11,Si,,0,,5/2+,220,,3,ms,0.22,0.003,B+P,35,2,,,12,12,Mg,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-02-24
2869.5,0.06,0.147,0.015,,4238.35,,1368.667,,,,,,14,11,Si,,0,,5/2+,220,,3,ms,0.22,0.003,B+P,35,2,,,12,12,Mg,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-02-24
4237.96,0.06,0.44,0.03,,4238.35,,0,,,,,,14,11,Si,,0,,5/2+,220,,3,ms,0.22,0.003,B+P,35,2,,,12,12,Mg,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-02-24
511,,200.96,,,,,,,,,,,14,11,Si,,0,,5/2+,220,,3,ms,0.22,0.003,EC+B+,100,,12743,10,13,12,Al,1-Feb-2008,R.B. FIRESTONE,2025-02-24
0.091,,0.00000855274385952,0.0000026834308604623145,,,,,,,,,,14,11,Si,,0,,5/2+,220,,3,ms,0.22,0.003,EC+B+,100,,12743,10,13,12,Al,1-Feb-2008,R.B. FIRESTONE,2025-02-24
1.487,,0.00013430911708544826,0.000008098160960539073,,,,,,,,,,14,11,Si,,0,,5/2+,220,,3,ms,0.22,0.003,EC+B+,100,,12743,10,13,12,Al,1-Feb-2008,R.B. FIRESTONE,2025-02-24
1.487,,0.0002668569781153353,0.000016035433979433005,,,,,,,,,,14,11,Si,,0,,5/2+,220,,3,ms,0.22,0.003,EC+B+,100,,12743,10,13,12,Al,1-Feb-2008,R.B. FIRESTONE,2025-02-24
1.558,,0.000008424487999216455,0.0000013055566055712522,,,,,,,,,,14,11,Si,,0,,5/2+,220,,3,ms,0.22,0.003,EC+B+,100,,12743,10,13,12,Al,1-Feb-2008,R.B. FIRESTONE,2025-02-24
1.558,,0.000008424487999216455,0.000001305556605571252,,,,,,,,,,14,11,Si,,0,,5/2+,220,,3,ms,0.22,0.003,EC+B+,100,,12743,10,13,12,Al,1-Feb-2008,R.B. FIRESTONE,2025-02-24

