energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
163.7,0.3,,,,163.7,,0.0,E2,,,0.399,,62,75,Sm,,0,,(9/2-),45,,1,s,45,1,EC+B+,100,,6081,31,61,76,Pm,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-02-24
169,1,,,,,,,,,,,,62,75,Sm,,0,,(9/2-),45,,1,s,45,1,EC+B+,100,,6081,31,61,76,Pm,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-02-24
180.4,0.3,,,,344.1,,163.7,,,,,,62,75,Sm,,0,,(9/2-),45,,1,s,45,1,EC+B+,100,,6081,31,61,76,Pm,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-02-24
188,0.3,,,,977.0,,789.0,,,,,,62,75,Sm,,0,,(9/2-),45,,1,s,45,1,EC+B+,100,,6081,31,61,76,Pm,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-02-24
192.9,0.3,,,,,,,,,,,,62,75,Sm,,0,,(9/2-),45,,1,s,45,1,EC+B+,100,,6081,31,61,76,Pm,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-02-24
202.2,,,,,761.7,,559.0,,,,,,62,75,Sm,,0,,(9/2-),45,,1,s,45,1,EC+B+,100,,6081,31,61,76,Pm,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-02-24
216.7,0.3,,,,380.5,,163.7,M1,,,0.178,,62,75,Sm,,0,,(9/2-),45,,1,s,45,1,EC+B+,100,,6081,31,61,76,Pm,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-02-24
337.1,0.2,,,,337.1,,0.0,,,,,,62,75,Sm,,0,,(9/2-),45,,1,s,45,1,EC+B+,100,,6081,31,61,76,Pm,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-02-24
380.5,0.3,,,,380.5,,0.0,M1,,,0.0399,,62,75,Sm,,0,,(9/2-),45,,1,s,45,1,EC+B+,100,,6081,31,61,76,Pm,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-02-24
380.6,,,,,761.7,,380.5,,,,,,62,75,Sm,,0,,(9/2-),45,,1,s,45,1,EC+B+,100,,6081,31,61,76,Pm,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-02-24
408.3,0.3,,,,789.0,,380.5,M1,,,0.0333,,62,75,Sm,,0,,(9/2-),45,,1,s,45,1,EC+B+,100,,6081,31,61,76,Pm,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-02-24
484.3,,,,,864.4,,380.5,,,,,,62,75,Sm,,0,,(9/2-),45,,1,s,45,1,EC+B+,100,,6081,31,61,76,Pm,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-02-24
531.2,0.3,,,,694.9,,163.7,,,,,,62,75,Sm,,0,,(9/2-),45,,1,s,45,1,EC+B+,100,,6081,31,61,76,Pm,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-02-24
559,0.3,,,,559.0,,0.0,,,,,,62,75,Sm,,0,,(9/2-),45,,1,s,45,1,EC+B+,100,,6081,31,61,76,Pm,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-02-24
625.2,,,,,789.0,,163.7,,,,,,62,75,Sm,,0,,(9/2-),45,,1,s,45,1,EC+B+,100,,6081,31,61,76,Pm,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-02-24
695.3,,,,,694.9,,0.0,,,,,,62,75,Sm,,0,,(9/2-),45,,1,s,45,1,EC+B+,100,,6081,31,61,76,Pm,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-02-24
700.7,,,,,864.4,,163.7,,,,,,62,75,Sm,,0,,(9/2-),45,,1,s,45,1,EC+B+,100,,6081,31,61,76,Pm,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-02-24
761.7,,,,,761.7,,0.0,,,,,,62,75,Sm,,0,,(9/2-),45,,1,s,45,1,EC+B+,100,,6081,31,61,76,Pm,1-Oct-2006,E. BROWNE and  J. K. TULI,2025-02-24

