energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
49.3,0.2,1.972,0.019719999999999998,,252.7,,203.4,M1,,,3.91,,50,56,Sn,,0,,0+,115,,5,s,115,5,EC+B+,100,,3254,13,49,57,In,1-May-2007,D. DE FRENNE AND A. NEGRET,2025-02-24
52.5,0.2,2.291,0.02291,,203.4,,150.9,M1,,,3.26,,50,56,Sn,,0,,0+,115,,5,s,115,5,EC+B+,100,,3254,13,49,57,In,1-May-2007,D. DE FRENNE AND A. NEGRET,2025-02-24
101.9,0.2,1.334,0,,252.7,,150.9,M1,,,0.419,,50,56,Sn,,0,,0+,115,,5,s,115,5,EC+B+,100,,3254,13,49,57,In,1-May-2007,D. DE FRENNE AND A. NEGRET,2025-02-24
122.3,0.1,13.34,0,,150.9,312,28.6,M1,,,0.290,,50,56,Sn,,0,,0+,115,,5,s,115,5,EC+B+,100,,3254,13,49,57,In,1-May-2007,D. DE FRENNE AND A. NEGRET,2025-02-24
224.1,0.2,13.05,0,,252.7,312,28.6,,,,,,50,56,Sn,,0,,0+,115,,5,s,115,5,EC+B+,100,,3254,13,49,57,In,1-May-2007,D. DE FRENNE AND A. NEGRET,2025-02-24
253.2,0.1,29,0,,505.9,,252.7,,,,,,50,56,Sn,,0,,0+,115,,5,s,115,5,EC+B+,100,,3254,13,49,57,In,1-May-2007,D. DE FRENNE AND A. NEGRET,2025-02-24
326.2,0.3,4.06,0,,1218.3,,892.3,,,,,,50,56,Sn,,0,,0+,115,,5,s,115,5,EC+B+,100,,3254,13,49,57,In,1-May-2007,D. DE FRENNE AND A. NEGRET,2025-02-24
355,0.1,0.986,0,,505.9,,150.9,,,,,,50,56,Sn,,0,,0+,115,,5,s,115,5,EC+B+,100,,3254,13,49,57,In,1-May-2007,D. DE FRENNE AND A. NEGRET,2025-02-24
386.5,0.2,38.86,0,,892.3,,505.9,,,,,,50,56,Sn,,0,,0+,115,,5,s,115,5,EC+B+,100,,3254,13,49,57,In,1-May-2007,D. DE FRENNE AND A. NEGRET,2025-02-24
477.2,0.2,26.97,0,,505.9,312,28.6,,,,,,50,56,Sn,,0,,0+,115,,5,s,115,5,EC+B+,100,,3254,13,49,57,In,1-May-2007,D. DE FRENNE AND A. NEGRET,2025-02-24
712.3,0.3,13.92,0,,1218.3,,505.9,,,,,,50,56,Sn,,0,,0+,115,,5,s,115,5,EC+B+,100,,3254,13,49,57,In,1-May-2007,D. DE FRENNE AND A. NEGRET,2025-02-24
863.8,0.3,24.07,0,,892.3,312,28.6,,,,,,50,56,Sn,,0,,0+,115,,5,s,115,5,EC+B+,100,,3254,13,49,57,In,1-May-2007,D. DE FRENNE AND A. NEGRET,2025-02-24
1096.3,,0.986,0,,1602.2,,505.9,,,,,,50,56,Sn,,0,,0+,115,,5,s,115,5,EC+B+,100,,3254,13,49,57,In,1-May-2007,D. DE FRENNE AND A. NEGRET,2025-02-24
1189.6,0.3,19.14,0,,1218.3,312,28.6,,,,,,50,56,Sn,,0,,0+,115,,5,s,115,5,EC+B+,100,,3254,13,49,57,In,1-May-2007,D. DE FRENNE AND A. NEGRET,2025-02-24
1419.4,,2.03,0,,1925.3,,505.9,,,,,,50,56,Sn,,0,,0+,115,,5,s,115,5,EC+B+,100,,3254,13,49,57,In,1-May-2007,D. DE FRENNE AND A. NEGRET,2025-02-24
511,,199,,,,,,,,,,,50,56,Sn,,0,,0+,115,,5,s,115,5,EC+B+,100,,3254,13,49,57,In,1-May-2007,D. DE FRENNE AND A. NEGRET,2025-02-24
3.571,,1.260985045392,,,,,,,,,,,50,56,Sn,,0,,0+,115,,5,s,115,5,EC+B+,100,,3254,13,49,57,In,1-May-2007,D. DE FRENNE AND A. NEGRET,2025-02-24
24.001,,4.299317510986469,,,,,,,,,,,50,56,Sn,,0,,0+,115,,5,s,115,5,EC+B+,100,,3254,13,49,57,In,1-May-2007,D. DE FRENNE AND A. NEGRET,2025-02-24
24.209,,8.066261746691312,,,,,,,,,,,50,56,Sn,,0,,0+,115,,5,s,115,5,EC+B+,100,,3254,13,49,57,In,1-May-2007,D. DE FRENNE AND A. NEGRET,2025-02-24
27.367,,2.2632127414472443,,,,,,,,,,,50,56,Sn,,0,,0+,115,,5,s,115,5,EC+B+,100,,3254,13,49,57,In,1-May-2007,D. DE FRENNE AND A. NEGRET,2025-02-24
27.581,,2.6932231623222207,,,,,,,,,,,50,56,Sn,,0,,0+,115,,5,s,115,5,EC+B+,100,,3254,13,49,57,In,1-May-2007,D. DE FRENNE AND A. NEGRET,2025-02-24
27.858,,0.43001042087497643,,,,,,,,,,,50,56,Sn,,0,,0+,115,,5,s,115,5,EC+B+,100,,3254,13,49,57,In,1-May-2007,D. DE FRENNE AND A. NEGRET,2025-02-24

