energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
144.82,0.03,6.789,0.4729143685700404,,144.83,226.8,0.0,E2+M1,-1.8,5,0.20,,38,39,Sr,,0,,5/2(+),9.0,,2,s,9,0.2,EC+B+,100,,7027,8,37,40,Rb,30-SEP-2020,BALRAJ SINGH,2025-02-24
146.94,0.02,86.118,4.187341041759078,,146.937,226.8,0.0,(E1),,,0.0308,,38,39,Sr,,0,,5/2(+),9.0,,2,s,9,0.2,EC+B+,100,,7027,8,37,40,Rb,30-SEP-2020,BALRAJ SINGH,2025-02-24
160.1,0.03,9.207,0.6107708244505463,,307.03,,146.937,M1+E2,0.39,6,0.058,,38,39,Sr,,0,,5/2(+),9.0,,2,s,9,0.2,EC+B+,100,,7027,8,37,40,Rb,30-SEP-2020,BALRAJ SINGH,2025-02-24
162.11,0.12,1.674,0.19944924166313593,,307.03,,144.83,[E1],,,0.0230,,38,39,Sr,,0,,5/2(+),9.0,,2,s,9,0.2,EC+B+,100,,7027,8,37,40,Rb,30-SEP-2020,BALRAJ SINGH,2025-02-24
641.2,2.5,1.302,0.056,,788,,146.937,,,,,,38,39,Sr,,0,,5/2(+),9.0,,2,s,9,0.2,EC+B+,100,,7027,8,37,40,Rb,30-SEP-2020,BALRAJ SINGH,2025-02-24
942,3,1.209,0.052,,1249,,307.03,,,,,,38,39,Sr,,0,,5/2(+),9.0,,2,s,9,0.2,EC+B+,100,,7027,8,37,40,Rb,30-SEP-2020,BALRAJ SINGH,2025-02-24
1234.2,0.5,2.418,0.5676090203652511,,1541.2,,307.03,,,,,,38,39,Sr,,0,,5/2(+),9.0,,2,s,9,0.2,EC+B+,100,,7027,8,37,40,Rb,30-SEP-2020,BALRAJ SINGH,2025-02-24
511,,202.6,,,,,,,,,,,38,39,Sr,,0,,5/2(+),9.0,,2,s,9,0.2,EC+B+,100,,7027,8,37,40,Rb,30-SEP-2020,BALRAJ SINGH,2025-02-24
1.767,,0.14,0.007,,,,,,,,,,38,39,Sr,,0,,5/2(+),9.0,,2,s,9,0.2,EC+B+,100,,7027,8,37,40,Rb,30-SEP-2020,BALRAJ SINGH,2025-02-24
13.336,,0.93,0.04,,,,,,,,,,38,39,Sr,,0,,5/2(+),9.0,,2,s,9,0.2,EC+B+,100,,7027,8,37,40,Rb,30-SEP-2020,BALRAJ SINGH,2025-02-24
13.396,,1.79,0.08,,,,,,,,,,38,39,Sr,,0,,5/2(+),9.0,,2,s,9,0.2,EC+B+,100,,7027,8,37,40,Rb,30-SEP-2020,BALRAJ SINGH,2025-02-24
15.021,,0.437,0.021,,,,,,,,,,38,39,Sr,,0,,5/2(+),9.0,,2,s,9,0.2,EC+B+,100,,7027,8,37,40,Rb,30-SEP-2020,BALRAJ SINGH,2025-02-24
15.07,,0.488,0.023,,,,,,,,,,38,39,Sr,,0,,5/2(+),9.0,,2,s,9,0.2,EC+B+,100,,7027,8,37,40,Rb,30-SEP-2020,BALRAJ SINGH,2025-02-24
15.187,,0.051,0.003,,,,,,,,,,38,39,Sr,,0,,5/2(+),9.0,,2,s,9,0.2,EC+B+,100,,7027,8,37,40,Rb,30-SEP-2020,BALRAJ SINGH,2025-02-24

