energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
14.1,,,,,102.55,,88.69,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
21.91,0.12,,,29.5,21.94,43560,0.0,[E3],,,5.47E5,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
49.6,0.1,,,,49.52,43560,0.0,(E1),,,0.447,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
61.9,0.1,,,,61.86,43560,0.0,(M1+E2),0.2,AP,3.57,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
66.7,0.1,,,,88.69,29.5,21.94,(M1+E2),,,16,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
80.7,0.1,,,,102.55,29.5,21.94,[E2],,,8.35,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
84.3,0.1,,,,146.02,,61.86,M1+E2,-0.18,13,6.56,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
92.2,0.1,,,,141.62,,49.52,(M1+E2),,,4.96,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
117.1,0.1,,,,258.67,,141.62,M1(+E2),-0.11,12,2.54,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
140.5,0.1,,,,399.14,,258.67,M1(+E2),-0.04,10,1.517,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
152.4,0.1,,,,254.90,,102.55,[M1 E2],,,0.97,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
166.3,0.1,,,,254.90,,88.69,E2,,,0.540,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
175.5,0.1,,,,278.01,,102.55,E2,,,0.448,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
198.9,,,,,,,,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
209.2,0.1,,,,258.67,,49.52,[E2],,,0.247,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
240.8,0.1,,,,,,,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
247.5,,,,,506.22,,258.67,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
253.8,0.1,,,,508.67,,254.90,E2,,,0.1325,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
257.5,0.1,,,,399.14,,141.62,E2,,,0.1266,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
259.2,0.1,,,,537.38,,278.01,E2,,,0.1240,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
267.1,0.1,,,,,,,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
281.7,0.1,,,,,,,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
352.4,0.1,,,,493.97,,141.62,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
370.1,0.1,,,,624.85,,254.90,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
377.1,0.1,,,,,,,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
392.9,0.1,,,,,,,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
406.7,0.1,,,,899.14,,492.57,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
409.1,0.1,,,,554.53,,146.02,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
423.4,0.1,,,,565.02,,141.62,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
432.1,0.1,,,,709.85,,278.01,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
444.4,0.1,,,,506.22,,61.86,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
444.4,0.1,,,,493.97,,49.52,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
446.5,0.1,,,,592.39,,146.02,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
454.7,0.1,,,,709.85,,254.90,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
457.5,0.1,,,,560.00,,102.55,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
461.6,0.1,,,,,,,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
463.8,0.1,,,,1001.35,,537.38,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
467.4,0.1,,,,,,,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
471.3,0.1,,,,560.00,,88.69,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
492.7,0.1,,,,554.53,,61.86,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
492.7,0.1,,,,492.57,43560,0.0,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
492.7,0.1,,,,1001.35,,508.67,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
501.8,0.1,,,,1007.91,,506.22,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
506.4,0.1,,,,506.22,43560,0.0,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
522.3,0.1,,,,624.85,,102.55,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
526.2,0.1,,,,,,,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
530.4,0.1,,,,592.39,,61.86,,,,,,73,98,Ta,,0,,(5/2+),23.3,,3,m,1398,18,EC+B+,100,,3711,40,72,99,Hf,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
