energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
55.04,0.05,37.8,1.2564091690209842,,55.04,,0.0,E1,,,1.439,,65,93,Tb,,388.39,0.11,7-,0.40,,4,ms,0.0004,0.00004,IT,100,,,,65,93,Tb,1-Feb-2017,N. NICA,2025-02-24
65.76,0.05,28.224,1.153110575790544,0.0004,388.39,,322.64,E1,,,0.913,,65,93,Tb,,388.39,0.11,7-,0.40,,4,ms,0.0004,0.00004,IT,100,,,,65,93,Tb,1-Feb-2017,N. NICA,2025-02-24
73.21,0.05,12.096,1.0361775909562994,,128.24,,55.04,[M1+E2],,,7.0,,65,93,Tb,,388.39,0.11,7-,0.40,,4,ms,0.0004,0.00004,IT,100,,,,65,93,Tb,1-Feb-2017,N. NICA,2025-02-24
79.513,0.001,11.8,0.5,0.00000000252,79.5131,,0.0,E2,,,5.93,,65,93,Tb,,0,,3-,180,,11,Y,5680246675.42656,347126185.720512,EC+B+,83.4,0.7,1219.1,16,64,94,Gd,1-Feb-2017,N. NICA,2025-02-24
89.08,0.05,17.136,1.063796973110941,,217.31,,128.24,[M1+E2],,,3.5,,65,93,Tb,,388.39,0.11,7-,0.40,,4,ms,0.0004,0.00004,IT,100,,,,65,93,Tb,1-Feb-2017,N. NICA,2025-02-24
98.918,0.001,4.3,0.3,0.00000000169,98.9180,,0.0,E2,,,2.82,,65,93,Tb,,0,,3-,180,,11,Y,5680246675.42656,347126185.720512,B-,16.6,0.7,936.3,25,66,92,Dy,1-Feb-2017,N. NICA,2025-02-24
105.33,0.05,14.112,1.0461663347670866,,322.64,,217.31,[M1+E2],,,2.02,,65,93,Tb,,388.39,0.11,7-,0.40,,4,ms,0.0004,0.00004,IT,100,,,,65,93,Tb,1-Feb-2017,N. NICA,2025-02-24
110.3,1.2,0.92,0.03,10.7,110.3,5680246675.42656,0,M3,,,108,,65,93,Tb,,110.3,1.2,0-,10.70,,17,s,10.7,0.17,IT,100,,,,65,93,Tb,1-Feb-2017,N. NICA,2025-02-24
162.22,0.1,7.56,1.0190996025904435,,217.31,,55.04,[E2],,,0.466,,65,93,Tb,,388.39,0.11,7-,0.40,,4,ms,0.0004,0.00004,IT,100,,,,65,93,Tb,1-Feb-2017,N. NICA,2025-02-24
171.07,0.05,50.4,1.4198816852118348,0.0004,388.39,,217.31,[E1],,,0.0711,,65,93,Tb,,388.39,0.11,7-,0.40,,4,ms,0.0004,0.00004,IT,100,,,,65,93,Tb,1-Feb-2017,N. NICA,2025-02-24
