energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
81,,,,0.0000011,1524,,1443,(E2),,,2.67,,43,43,Tc,,1524,,(6+),1.10,,14,us,0.0000011,0.00000014,IT,100,,,,43,43,Tc,30-Nov-2014,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
269,,,,,1443,,1174,,,,,,43,43,Tc,,1524,,(6+),1.10,,14,us,0.0000011,0.00000014,IT,100,,,,43,43,Tc,30-Nov-2014,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
581,,,,,1174,,593,,,,,,43,43,Tc,,1524,,(6+),1.10,,14,us,0.0000011,0.00000014,IT,100,,,,43,43,Tc,30-Nov-2014,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
593,,,,,593,,0,,,,,,43,43,Tc,,1524,,(6+),1.10,,14,us,0.0000011,0.00000014,IT,100,,,,43,43,Tc,30-Nov-2014,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
850,,,,,1443,,593,,,,,,43,43,Tc,,1524,,(6+),1.10,,14,us,0.0000011,0.00000014,IT,100,,,,43,43,Tc,30-Nov-2014,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
511,,199.646,,,,,,,,,,,43,43,Tc,,0,,(0+),55,,7,ms,0.055,0.007,EC+B+,100,,12541,300,42,44,Mo,30-Nov-2014,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
2.44,,0.0067424046,0.0005375321139227032,,,,,,,,,,43,43,Tc,,0,,(0+),55,,7,ms,0.055,0.007,EC+B+,100,,12541,300,42,44,Mo,30-Nov-2014,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
17.374,,0.033913176903190796,0.002873701142369944,,,,,,,,,,43,43,Tc,,0,,(0+),55,,7,ms,0.055,0.007,EC+B+,100,,12541,300,42,44,Mo,30-Nov-2014,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
17.479,,0.06463346084084391,0.005468181341580947,,,,,,,,,,43,43,Tc,,0,,(0+),55,,7,ms,0.055,0.007,EC+B+,100,,12541,300,42,44,Mo,30-Nov-2014,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
19.681,,0.016959586010368538,0.001442925784786087,,,,,,,,,,43,43,Tc,,0,,(0+),55,,7,ms,0.055,0.007,EC+B+,100,,12541,300,42,44,Mo,30-Nov-2014,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
19.794,,0.019571362255965292,0.0016629757646891476,,,,,,,,,,43,43,Tc,,0,,(0+),55,,7,ms,0.055,0.007,EC+B+,100,,12541,300,42,44,Mo,30-Nov-2014,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
19.963,,0.002611776245596755,0.00023784075921022565,,,,,,,,,,43,43,Tc,,0,,(0+),55,,7,ms,0.055,0.007,EC+B+,100,,12541,300,42,44,Mo,30-Nov-2014,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24

