energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
38.6,0.3,,,,,,,,,,,,52,60,Te,,0,,0+,2.0,,2,m,120,12,EC+B+,100,,4031,20,51,61,Sb,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2025-02-24
52.1,0.5,,,,,,,,,,,,52,60,Te,,0,,0+,2.0,,2,m,120,12,EC+B+,100,,4031,20,51,61,Sb,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2025-02-24
59.9,0.2,,,,296.22,,236.90,,,,,,52,60,Te,,0,,0+,2.0,,2,m,120,12,EC+B+,100,,4031,20,51,61,Sb,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2025-02-24
70,0.8,,,,,,,,,,,,52,60,Te,,0,,0+,2.0,,2,m,120,12,EC+B+,100,,4031,20,51,61,Sb,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2025-02-24
104.2,0.3,,,,103.92,,0.0,,,,,,52,60,Te,,0,,0+,2.0,,2,m,120,12,EC+B+,100,,4031,20,51,61,Sb,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2025-02-24
132.9,0.2,,,,236.90,,103.92,,,,,,52,60,Te,,0,,0+,2.0,,2,m,120,12,EC+B+,100,,4031,20,51,61,Sb,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2025-02-24
167.4,0.2,,,,,,,,,,,,52,60,Te,,0,,0+,2.0,,2,m,120,12,EC+B+,100,,4031,20,51,61,Sb,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2025-02-24
236.4,0.4,,,,236.90,,0.0,,,,,,52,60,Te,,0,,0+,2.0,,2,m,120,12,EC+B+,100,,4031,20,51,61,Sb,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2025-02-24
274.2,0.4,,,,,,,,,,,,52,60,Te,,0,,0+,2.0,,2,m,120,12,EC+B+,100,,4031,20,51,61,Sb,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2025-02-24
280.4,0.5,,,,,,,,,,,,52,60,Te,,0,,0+,2.0,,2,m,120,12,EC+B+,100,,4031,20,51,61,Sb,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2025-02-24
296.2,0.2,,,,296.22,,0.0,,,,,,52,60,Te,,0,,0+,2.0,,2,m,120,12,EC+B+,100,,4031,20,51,61,Sb,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2025-02-24
350.9,0.2,,,,350.90,,0.0,,,,,,52,60,Te,,0,,0+,2.0,,2,m,120,12,EC+B+,100,,4031,20,51,61,Sb,1-Aug-2014,S. LALKOVSKI and  F.G. KONDEV,2025-02-24
