energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
50.5,0.2,0.12,0.04,,103.60,,53.14,[E1],,,0.693,,90,135,Th,,0,,(3/2+),8.75,,4,m,525,2.4,A,90,,6921.4,21,88,133,Ra,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2025-02-24
53.2,0.2,0.99,0.09,,53.14,28,0.0,M1+E2,0.22,16,29,,90,135,Th,,0,,(3/2+),8.75,,4,m,525,2.4,A,90,,6921.4,21,88,133,Ra,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2025-02-24
68.8,0.2,0.49,0.05,,121.95,,53.14,(M1),,,9.77,,90,135,Th,,0,,(3/2+),8.75,,4,m,525,2.4,A,90,,6921.4,21,88,133,Ra,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2025-02-24
103.5,0.2,0.9,0.18,,103.60,28,0.0,E1,,,0.1022,,90,135,Th,,0,,(3/2+),8.75,,4,m,525,2.4,A,90,,6921.4,21,88,133,Ra,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2025-02-24
121.9,0.2,0.12,0.03,,121.95,28,0.0,[E2],,,4.20,,90,135,Th,,0,,(3/2+),8.75,,4,m,525,2.4,A,90,,6921.4,21,88,133,Ra,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2025-02-24
126.4,0.2,0.17,0.04,,485.40,,359.02,(E1),,,0.277,,90,135,Th,,0,,(3/2+),8.75,,4,m,525,2.4,A,90,,6921.4,21,88,133,Ra,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2025-02-24
128.9,0.2,0.14,0.03,,450.32,,321.37,[E1],,,0.264,,90,135,Th,,0,,(3/2+),8.75,,4,m,525,2.4,A,90,,6921.4,21,88,133,Ra,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2025-02-24
146.8,0.2,0.95,0.23,,146.81,28,0.0,E1,,,0.1919,,90,135,Th,,0,,(3/2+),8.75,,4,m,525,2.4,A,90,,6921.4,21,88,133,Ra,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2025-02-24
148.5,,0.18,0.09,,,,,,,,,,90,135,Th,,0,,(3/2+),8.75,,4,m,525,2.4,A,90,,6921.4,21,88,133,Ra,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2025-02-24
151.2,0.2,0.61,0.05,,450.32,,299.16,(E1),,,0.179,,90,135,Th,,0,,(3/2+),8.75,,4,m,525,2.4,A,90,,6921.4,21,88,133,Ra,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2025-02-24
164,0.2,0.38,0.14,,485.40,,321.37,(E1),,,0.1471,,90,135,Th,,0,,(3/2+),8.75,,4,m,525,2.4,A,90,,6921.4,21,88,133,Ra,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2025-02-24
177.2,0.1,0.97,0.05,,299.16,,121.95,[M1],,,3.24,,90,135,Th,,0,,(3/2+),8.75,,4,m,525,2.4,A,90,,6921.4,21,88,133,Ra,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2025-02-24
212,,0.18,0.09,,359.02,,146.81,[E1],,,0.792,,90,135,Th,,0,,(3/2+),8.75,,4,m,525,2.4,A,90,,6921.4,21,88,133,Ra,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2025-02-24
217.7,0.2,0.38,0.07,,321.37,,103.60,(E1),,,0.0744,,90,135,Th,,0,,(3/2+),8.75,,4,m,525,2.4,A,90,,6921.4,21,88,133,Ra,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2025-02-24
246,0.1,5.06,0.15,,299.16,,53.14,M1,,,1.294,,90,135,Th,,0,,(3/2+),8.75,,4,m,525,2.4,A,90,,6921.4,21,88,133,Ra,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2025-02-24
299.2,0.1,0.83,0.16,,299.16,28,0.0,M1,,,0.753,,90,135,Th,,0,,(3/2+),8.75,,4,m,525,2.4,A,90,,6921.4,21,88,133,Ra,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2025-02-24
305.9,0.1,4.1,0.4,,359.02,,53.14,M1,,,0.709,,90,135,Th,,0,,(3/2+),8.75,,4,m,525,2.4,A,90,,6921.4,21,88,133,Ra,15-Jan-2007,Ashok Jain and  Sukhjeet Singh and  Suresh Kumar and  Jagdish Tuli,2025-02-24
