energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
323.4,0.4,20,2,,323.3,6.54,0.0,,,,,,22,33,Ti,,0,,(1/2)-,1.3,,1,s,1.3,0.1,B-,100,,7290,40,23,32,V,30-Apr-2022,Balraj Singh,2025-02-24
349.3,0.6,3,1,,672.6,,323.3,,,,,,22,33,Ti,,0,,(1/2)-,1.3,,1,s,1.3,0.1,B-,100,,7290,40,23,32,V,30-Apr-2022,Balraj Singh,2025-02-24
651.6,0.7,5,1,,2152.8,,1500.9,,,,,,22,33,Ti,,0,,(1/2)-,1.3,,1,s,1.3,0.1,B-,100,,7290,40,23,32,V,30-Apr-2022,Balraj Singh,2025-02-24
672.5,0.4,44,4,,672.6,6.54,0.0,,,,,,22,33,Ti,,0,,(1/2)-,1.3,,1,s,1.3,0.1,B-,100,,7290,40,23,32,V,30-Apr-2022,Balraj Singh,2025-02-24
828.1,0.5,10,2,,1500.9,,672.6,,,,,,22,33,Ti,,0,,(1/2)-,1.3,,1,s,1.3,0.1,B-,100,,7290,40,23,32,V,30-Apr-2022,Balraj Singh,2025-02-24
1262.5,0.6,5,1,,,,,,,,,,22,33,Ti,,0,,(1/2)-,1.3,,1,s,1.3,0.1,B-,100,,7290,40,23,32,V,30-Apr-2022,Balraj Singh,2025-02-24
1330.1,0.5,12,2,,1330.1,6.54,0.0,,,,,,22,33,Ti,,0,,(1/2)-,1.3,,1,s,1.3,0.1,B-,100,,7290,40,23,32,V,30-Apr-2022,Balraj Singh,2025-02-24
1480,0.8,6,1,,2152.8,,672.6,,,,,,22,33,Ti,,0,,(1/2)-,1.3,,1,s,1.3,0.1,B-,100,,7290,40,23,32,V,30-Apr-2022,Balraj Singh,2025-02-24
1830,0.8,5,1,,2152.8,,323.3,,,,,,22,33,Ti,,0,,(1/2)-,1.3,,1,s,1.3,0.1,B-,100,,7290,40,23,32,V,30-Apr-2022,Balraj Singh,2025-02-24

