energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
64.3,0.5,,,0.0000000004,64.3,,0.0,M1(+E2),0.01,AP,5.18,,81,108,Tl,,0,,(1/2+),2.3,,2,m,138,12,EC+B+,100,,5010,33,80,109,Hg,15-Apr-2017,T.D. JOHNSON and  BALRAJ SINGH,2025-02-24
215.6,,,,,,,,,,,,,81,108,Tl,,281,7,(9/2-),1.4,,1,m,84,6,EC+B+,98,2,5010,33,80,109,Hg,15-Apr-2017,T.D. JOHNSON and  BALRAJ SINGH,2025-02-24
228.4,,,,,,,,,,,,,81,108,Tl,,281,7,(9/2-),1.4,,1,m,84,6,EC+B+,98,2,5010,33,80,109,Hg,15-Apr-2017,T.D. JOHNSON and  BALRAJ SINGH,2025-02-24
317.5,,,,,,,,,,,,,81,108,Tl,,281,7,(9/2-),1.4,,1,m,84,6,EC+B+,98,2,5010,33,80,109,Hg,15-Apr-2017,T.D. JOHNSON and  BALRAJ SINGH,2025-02-24
333.7,,,,,,,,,,,,,81,108,Tl,,0,,(1/2+),2.3,,2,m,138,12,EC+B+,100,,5010,33,80,109,Hg,15-Apr-2017,T.D. JOHNSON and  BALRAJ SINGH,2025-02-24
335,,,,,,,,,,,,,81,108,Tl,,281,7,(9/2-),1.4,,1,m,84,6,EC+B+,98,2,5010,33,80,109,Hg,15-Apr-2017,T.D. JOHNSON and  BALRAJ SINGH,2025-02-24
445.2,,,,,,,,,,,,,81,108,Tl,,281,7,(9/2-),1.4,,1,m,84,6,EC+B+,98,2,5010,33,80,109,Hg,15-Apr-2017,T.D. JOHNSON and  BALRAJ SINGH,2025-02-24
451,,,,,,,,,,,,,81,108,Tl,,0,,(1/2+),2.3,,2,m,138,12,EC+B+,100,,5010,33,80,109,Hg,15-Apr-2017,T.D. JOHNSON and  BALRAJ SINGH,2025-02-24
522.3,,,,,,,,,,,,,81,108,Tl,,0,,(1/2+),2.3,,2,m,138,12,EC+B+,100,,5010,33,80,109,Hg,15-Apr-2017,T.D. JOHNSON and  BALRAJ SINGH,2025-02-24
942.2,,,,,,,,,,,,,81,108,Tl,,0,,(1/2+),2.3,,2,m,138,12,EC+B+,100,,5010,33,80,109,Hg,15-Apr-2017,T.D. JOHNSON and  BALRAJ SINGH,2025-02-24

