energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
16.7,0.05,,,0.00000000021,266.44,,249.77,M1+E2,0.06,,130.3,,69,92,Tm,,0,,7/2+,30.2,,8,m,1812,48,EC+B+,100,,3303,29,68,93,Er,1-Jun-2011,C. W. Reich,2025-02-24
23.49,0.02,,,0.00000000081,212.91,0.000000084,189.42,E2,,,2.11E3,,69,92,Tm,,0,,7/2+,30.2,,8,m,1812,48,EC+B+,100,,3303,29,68,93,Er,1-Jun-2011,C. W. Reich,2025-02-24
27.92,0.03,,,0.00000000055,217.34,0.000000084,189.42,M1+E2,0.10,,28.0,,69,92,Tm,,0,,7/2+,30.2,,8,m,1812,48,EC+B+,100,,3303,29,68,93,Er,1-Jun-2011,C. W. Reich,2025-02-24
28.18,0.03,,,0.00000000035,172.06,0.00000000018,143.89,M1+E2,0.08,,24.1,,69,92,Tm,,0,,7/2+,30.2,,8,m,1812,48,EC+B+,100,,3303,29,68,93,Er,1-Jun-2011,C. W. Reich,2025-02-24
29.26,0.02,0.057,0.00700023206758176,,296.69,0.000000002,267.45,M1+E2,0.07,,20.2,,69,92,Tm,,0,,7/2+,30.2,,8,m,1812,48,EC+B+,100,,3303,29,68,93,Er,1-Jun-2011,C. W. Reich,2025-02-24
40.86,0.03,,,0.00000000081,212.91,0.00000000035,172.06,E1,,,0.670,,69,92,Tm,,0,,7/2+,30.2,,8,m,1812,48,EC+B+,100,,3303,29,68,93,Er,1-Jun-2011,C. W. Reich,2025-02-24
45.54,0.03,25,2.500124996875156,0.000000084,189.42,0.00000000018,143.89,E1,,,0.495,,69,92,Tm,,0,,7/2+,30.2,,8,m,1812,48,EC+B+,100,,3303,29,68,93,Er,1-Jun-2011,C. W. Reich,2025-02-24
46.86,0.05,,,,296.69,,249.77,E1,,,0.457,,69,92,Tm,,0,,7/2+,30.2,,8,m,1812,48,EC+B+,100,,3303,29,68,93,Er,1-Jun-2011,C. W. Reich,2025-02-24
59.51,0.03,5.45,0.4500330015676628,0.00000000015,59.501,11556,0.,M1+E2,0.14,,12.82,,69,92,Tm,,0,,7/2+,30.2,,8,m,1812,48,EC+B+,100,,3303,29,68,93,Er,1-Jun-2011,C. W. Reich,2025-02-24
68.1,0.06,0.09,0.040000101249871856,,,,,(E2),,,13.40,,69,92,Tm,,0,,7/2+,30.2,,8,m,1812,48,EC+B+,100,,3303,29,68,93,Er,1-Jun-2011,C. W. Reich,2025-02-24
69,0.1,0.35,0.06000102082464931,0.00000000081,212.91,0.00000000018,143.89,[E1],,,0.860,,69,92,Tm,,0,,7/2+,30.2,,8,m,1812,48,EC+B+,100,,3303,29,68,93,Er,1-Jun-2011,C. W. Reich,2025-02-24
73.48,0.03,0.15,0.060000187499707036,0.00000000055,217.34,0.00000000018,143.89,E1,,,0.731,,69,92,Tm,,0,,7/2+,30.2,,8,m,1812,48,EC+B+,100,,3303,29,68,93,Er,1-Jun-2011,C. W. Reich,2025-02-24
78.07,0.04,0.9,0.0009,0.000000002,267.45,0.000000084,189.42,E2,,,7.69,,69,92,Tm,,0,,7/2+,30.2,,8,m,1812,48,EC+B+,100,,3303,29,68,93,Er,1-Jun-2011,C. W. Reich,2025-02-24
79.35,0.04,0.15,0.050000224999493754,,296.69,0.00000000055,217.34,E2,,,7.21,,69,92,Tm,,0,,7/2+,30.2,,8,m,1812,48,EC+B+,100,,3303,29,68,93,Er,1-Jun-2011,C. W. Reich,2025-02-24
84.4,0.03,9.45,0.9000496111326308,0.00000000018,143.89,0.00000000015,59.501,M1+E2,0.23,,4.69,,69,92,Tm,,0,,7/2+,30.2,,8,m,1812,48,EC+B+,100,,3303,29,68,93,Er,1-Jun-2011,C. W. Reich,2025-02-24
87.22,0.06,0.15,0.0800001406248764,,,,,E1,,,0.467,,69,92,Tm,,0,,7/2+,30.2,,8,m,1812,48,EC+B+,100,,3303,29,68,93,Er,1-Jun-2011,C. W. Reich,2025-02-24
94.38,0.03,1.24,0.45000170844120135,0.00000000021,266.44,0.00000000035,172.06,M1+E2,2.5,,3.62,,69,92,Tm,,0,,7/2+,30.2,,8,m,1812,48,EC+B+,100,,3303,29,68,93,Er,1-Jun-2011,C. W. Reich,2025-02-24
99.76,0.04,2.37,0.25001123354761484,0.000008,396.44,,296.69,E1,,,0.327,,69,92,Tm,,0,,7/2+,30.2,,8,m,1812,48,EC+B+,100,,3303,29,68,93,Er,1-Jun-2011,C. W. Reich,2025-02-24
105.88,0.02,3.4,0.3000192660480323,,249.77,0.00000000018,143.89,M1+E2,0.23,,2.41,,69,92,Tm,,0,,7/2+,30.2,,8,m,1812,48,EC+B+,100,,3303,29,68,93,Er,1-Jun-2011,C. W. Reich,2025-02-24
107.22,0.05,0.51,0.07000185783248898,,296.69,0.000000084,189.42,M1+E2,1.2,,2.29,,69,92,Tm,,0,,7/2+,30.2,,8,m,1812,48,EC+B+,100,,3303,29,68,93,Er,1-Jun-2011,C. W. Reich,2025-02-24
112.56,0.03,3.08,0.27001756683593753,0.00000000035,172.06,0.00000000015,59.501,M1+E2,0.14,,2.03,,69,92,Tm,,0,,7/2+,30.2,,8,m,1812,48,EC+B+,100,,3303,29,68,93,Er,1-Jun-2011,C. W. Reich,2025-02-24
122.55,0.05,1.55,0.12001000999916632,0.00000000021,266.44,0.00000000018,143.89,M1+E2,0.20,,1.584,,69,92,Tm,,0,,7/2+,30.2,,8,m,1812,48,EC+B+,100,,3303,29,68,93,Er,1-Jun-2011,C. W. Reich,2025-02-24
123.8,0.06,0.35,0.10000061249812423,,390.20,0.00000000021,266.44,M1+E2,0.52,,1.501,,69,92,Tm,,0,,7/2+,30.2,,8,m,1812,48,EC+B+,100,,3303,29,68,93,Er,1-Jun-2011,C. W. Reich,2025-02-24
125.6,0.06,1.58,0.13000960118391258,,,,,(E1),,,0.1775,,69,92,Tm,,0,,7/2+,30.2,,8,m,1812,48,EC+B+,100,,3303,29,68,93,Er,1-Jun-2011,C. W. Reich,2025-02-24
128.9,0.07,2.95,0.25001740439417414,0.000008,396.44,0.000000002,267.45,E1,,,0.1657,,69,92,Tm,,0,,7/2+,30.2,,8,m,1812,48,EC+B+,100,,3303,29,68,93,Er,1-Jun-2011,C. W. Reich,2025-02-24
138.68,0.07,0.6,0.07000257138134285,,388.45,,249.77,M1+E2,0.23,,1.109,,69,92,Tm,,0,,7/2+,30.2,,8,m,1812,48,EC+B+,100,,3303,29,68,93,Er,1-Jun-2011,C. W. Reich,2025-02-24
140.4,0.07,0.42,0.06000146998199294,,390.20,,249.77,M1+E2,0.44,,1.044,,69,92,Tm,,0,,7/2+,30.2,,8,m,1812,48,EC+B+,100,,3303,29,68,93,Er,1-Jun-2011,C. W. Reich,2025-02-24
143.92,0.08,3.75,0.00375,0.00000000018,143.89,11556,0.,E2,,,0.779,,69,92,Tm,,0,,7/2+,30.2,,8,m,1812,48,EC+B+,100,,3303,29,68,93,Er,1-Jun-2011,C. W. Reich,2025-02-24
146.65,0.08,4.82,0.3500331875694075,0.000008,396.44,,249.77,M1+E2,0.23,,0.945,,69,92,Tm,,0,,7/2+,30.2,,8,m,1812,48,EC+B+,100,,3303,29,68,93,Er,1-Jun-2011,C. W. Reich,2025-02-24
