energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
9.183,,,,,9.186,1027809078992.4614,0.0,,,,,,92,139,U,,0,,(5/2-),4.2,,1,d,362880,8640,EC,100,,382,3,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-02-24
9.3,0.1,0.0000000083,0.0000000021,,9.29,1613952,0.0,(E2),,,3.26E5,,92,139,U,,0,,(5/2-),4.2,,1,d,362880,8640,A,0.004,0.001,5576.3,17,90,137,Th,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
15.2,0.1,0.0000044,0.0000012,,24.38,,9.29,(M1),,,238,,92,139,U,,0,,(5/2-),4.2,,1,d,362880,8640,A,0.004,0.001,5576.3,17,90,137,Th,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
17.195,0.021,0.001,,0.0000000007,101.409,0.0000000451,84.2150,(M1),,,166,,92,139,U,,0,,(5/2-),4.2,,1,d,362880,8640,EC,100,,382,3,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-02-24
18.055,0.018,0.26,0.1,0.0000000007,102.2687,0.0000000451,84.2150,M1+E2,0.040,9,218,,92,139,U,,0,,(5/2-),4.2,,1,d,362880,8640,EC,100,,382,3,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-02-24
24.33,0.05,0.0000038,0.0000012,,24.38,1613952,0.0,M1+E2,0.097,5,334,,92,139,U,,0,,(5/2-),4.2,,1,d,362880,8640,A,0.004,0.001,5576.3,17,90,137,Th,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
25.65,0.02,14.6,1.2,0.0000000451,84.2150,0.000000000274,58.570,E1,,,4.37,,92,139,U,,0,,(5/2-),4.2,,1,d,362880,8640,EC,100,,382,3,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-02-24
28.57,0.05,0.0000048,0.0000015,,37.863,,9.29,E1,,,3.23,,92,139,U,,0,,(5/2-),4.2,,1,d,362880,8640,A,0.004,0.001,5576.3,17,90,137,Th,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
37.9,0.03,0.000005,0.0000016,,37.863,1613952,0.0,E1,,,1.537,,92,139,U,,0,,(5/2-),4.2,,1,d,362880,8640,A,0.004,0.001,5576.3,17,90,137,Th,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
39.88,0.06,0.0000015,0.0000005,,77.62,,37.86,E1,,,1.343,,92,139,U,,0,,(5/2-),4.2,,1,d,362880,8640,A,0.004,0.001,5576.3,17,90,137,Th,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
42.09,0.06,0.0000008,0.0000003,,,,,,,,,,92,139,U,,0,,(5/2-),4.2,,1,d,362880,8640,A,0.004,0.001,5576.3,17,90,137,Th,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
51.85,0.04,0.0000015,0.0000005,,76.23,,24.38,,,,,,92,139,U,,0,,(5/2-),4.2,,1,d,362880,8640,A,0.004,0.001,5576.3,17,90,137,Th,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
53.23,0.02,0.000016,0.000004,,77.62,,24.38,M1(+E2),0.33,LE,34,,92,139,U,,0,,(5/2-),4.2,,1,d,362880,8640,A,0.004,0.001,5576.3,17,90,137,Th,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
56.41,0.02,0.0000058,0.0000016,,183.71,,127.30,E1,,,0.535,,92,139,U,,0,,(5/2-),4.2,,1,d,362880,8640,A,0.004,0.001,5576.3,17,90,137,Th,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
58.1,0.2,0.00000058,0.00000024,,,,,,,,,,92,139,U,,0,,(5/2-),4.2,,1,d,362880,8640,A,0.004,0.001,5576.3,17,90,137,Th,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
58.57,0.0024,0.5,0.04,0.000000000274,58.570,1027809078992.4614,0.0,E2,,,155.5,,92,139,U,,0,,(5/2-),4.2,,1,d,362880,8640,EC,100,,382,3,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-02-24
60.6,0.2,0.00000025,0.0000001,,289.04,,228.48,[E1],,,0.442,,92,139,U,,0,,(5/2-),4.2,,1,d,362880,8640,A,0.004,0.001,5576.3,17,90,137,Th,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
61.33,0.03,0.0000038,0.000001,,99.19,,37.86,E1,,,0.429,,92,139,U,,0,,(5/2-),4.2,,1,d,362880,8640,A,0.004,0.001,5576.3,17,90,137,Th,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
64.38,0.02,0.0000075,0.000002,,73.67,,9.29,E1,,,0.377,,92,139,U,,0,,(5/2-),4.2,,1,d,362880,8640,A,0.004,0.001,5576.3,17,90,137,Th,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
66.94,0.03,0.000006,0.0000016,,76.23,,9.29,,,,,,92,139,U,,0,,(5/2-),4.2,,1,d,362880,8640,A,0.004,0.001,5576.3,17,90,137,Th,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
68.33,0.02,0.000019,0.000005,,77.62,,9.29,M1(+E2),0.50,LE,17,,92,139,U,,0,,(5/2-),4.2,,1,d,362880,8640,A,0.004,0.001,5576.3,17,90,137,Th,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
68.5,0.1,0.00577,,,77.69,,9.186,E2,,,73.3,,92,139,U,,0,,(5/2-),4.2,,1,d,362880,8640,EC,100,,382,3,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-02-24
72.14,0.07,0.0000025,0.0000009,,,,,,,,,,92,139,U,,0,,(5/2-),4.2,,1,d,362880,8640,A,0.004,0.001,5576.3,17,90,137,Th,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
72.751,0.0029,0.011,0.006,,174.160,0.0000000007,101.409,[E1],,,0.280,,92,139,U,,0,,(5/2-),4.2,,1,d,362880,8640,EC,100,,382,3,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-02-24
72.78,0.07,0.0000019,0.0000006,,200.02,,127.30,E1,,,0.272,,92,139,U,,0,,(5/2-),4.2,,1,d,362880,8640,A,0.004,0.001,5576.3,17,90,137,Th,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
74.85,0.05,0.0000023,0.0000007,,99.19,,24.38,[M1+E2],,,26,,92,139,U,,0,,(5/2-),4.2,,1,d,362880,8640,A,0.004,0.001,5576.3,17,90,137,Th,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
77.52,0.06,0.0000015,0.0000005,,86.81,,9.29,,,,,,92,139,U,,0,,(5/2-),4.2,,1,d,362880,8640,A,0.004,0.001,5576.3,17,90,137,Th,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
77.69,,0.00416,,,77.69,1027809078992.4614,0.0,[M1+E2],,,24,,92,139,U,,0,,(5/2-),4.2,,1,d,362880,8640,EC,100,,382,3,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-02-24
81.228,0.0021,0.0234,,0.00000000019,183.496,0.0000000007,102.2687,M1(+E2),0.00,8,7.66,,92,139,U,,0,,(5/2-),4.2,,1,d,362880,8640,EC,100,,382,3,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-02-24
82.087,0.0022,0.019,,0.00000000019,183.496,0.0000000007,101.409,M1(+E2),0.04,6,7.47,,92,139,U,,0,,(5/2-),4.2,,1,d,362880,8640,EC,100,,382,3,91,140,Pa,31-Aug-2022,Balraj Singh and  Jagdish K. Tuli and  and Edgardo Browne,2025-02-24
