energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
159.8,0.5,0.106769,0.00583523272886352,,159.6,,0.0,M1+E2,-0.099,9,0.0045,,23,24,V,,0,,3/2-,32.6,,3,m,1956,18,EC+B+,100,,2930.54,14,22,25,Ti,20-Feb-2007,T. W. BURROWS,2025-02-24
244.4,0.5,0.093781,0.005289363383243772,,1794.1,,1549.9,M1+E2,-0.30,6,0.0027,,23,24,V,,0,,3/2-,32.6,,3,m,1956,18,EC+B+,100,,2930.54,14,22,25,Ti,20-Feb-2007,T. W. BURROWS,2025-02-24
1243.5,0.5,0.002483,0.0005782845320428345,,2793.4,,1549.9,,,,,,23,24,V,,0,,3/2-,32.6,,3,m,1956,18,EC+B+,100,,2930.54,14,22,25,Ti,20-Feb-2007,T. W. BURROWS,2025-02-24
1390.4,0.4,0.079265,0.003384281903151686,,1549.9,,159.6,E2,,,0.0001090,,23,24,V,,0,,3/2-,32.6,,3,m,1956,18,EC+B+,100,,2930.54,14,22,25,Ti,20-Feb-2007,T. W. BURROWS,2025-02-24
1549.9,0.4,0.066468,0.0028298134214113833,,1549.9,,0.0,M1+E2,0.46,10,1.26E-4,,23,24,V,,0,,3/2-,32.6,,3,m,1956,18,EC+B+,100,,2930.54,14,22,25,Ti,20-Feb-2007,T. W. BURROWS,2025-02-24
1793.9,0.4,0.191,0.006,,1794.1,,0.0,(E2),,,0.000249,,23,24,V,,0,,3/2-,32.6,,3,m,1956,18,EC+B+,100,,2930.54,14,22,25,Ti,20-Feb-2007,T. W. BURROWS,2025-02-24
2003.1,1,0.003629,0.00039864771415373747,,2163.0,,159.6,(E2),,,0.000343,,23,24,V,,0,,3/2-,32.6,,3,m,1956,18,EC+B+,100,,2930.54,14,22,25,Ti,20-Feb-2007,T. W. BURROWS,2025-02-24
2007.3,1,0.009932,0.00065243620377781,,2166.9,,159.6,,,,,,23,24,V,,0,,3/2-,32.6,,3,m,1956,18,EC+B+,100,,2930.54,14,22,25,Ti,20-Feb-2007,T. W. BURROWS,2025-02-24
2163,0.5,0.067041,0.002601926209560909,,2163.0,,0.0,(M1(+E2)),0.0,1,0.000342,,23,24,V,,0,,3/2-,32.6,,3,m,1956,18,EC+B+,100,,2930.54,14,22,25,Ti,20-Feb-2007,T. W. BURROWS,2025-02-24
2366.3,0.5,0.008404,0.0006308922253443928,,2525.8,,159.6,,,,,,23,24,V,,0,,3/2-,32.6,,3,m,1956,18,EC+B+,100,,2930.54,14,22,25,Ti,20-Feb-2007,T. W. BURROWS,2025-02-24
2525.6,0.5,0.008786,0.0004712748667179272,,2525.8,,0.0,,,,,,23,24,V,,0,,3/2-,32.6,,3,m,1956,18,EC+B+,100,,2930.54,14,22,25,Ti,20-Feb-2007,T. W. BURROWS,2025-02-24
2548.7,0.5,0.006685,0.00043591742337282185,,2548.8,,0.0,,,,,,23,24,V,,0,,3/2-,32.6,,3,m,1956,18,EC+B+,100,,2930.54,14,22,25,Ti,20-Feb-2007,T. W. BURROWS,2025-02-24
2793.3,1,0.0006494,0.0001164015463814807,,2793.4,,0.0,,,,,,23,24,V,,0,,3/2-,32.6,,3,m,1956,18,EC+B+,100,,2930.54,14,22,25,Ti,20-Feb-2007,T. W. BURROWS,2025-02-24
511,,193.091598,,,,,,,,,,,23,24,V,,0,,3/2-,32.6,,3,m,1956,18,EC+B+,100,,2930.54,14,22,25,Ti,20-Feb-2007,T. W. BURROWS,2025-02-24
0.477,,0.01649383893927432,0.00328930188909955,,,,,,,,,,23,24,V,,0,,3/2-,32.6,,3,m,1956,18,EC+B+,100,,2930.54,14,22,25,Ti,20-Feb-2007,T. W. BURROWS,2025-02-24
4.505,,0.20701026678480614,0.00478062507268615,,,,,,,,,,23,24,V,,0,,3/2-,32.6,,3,m,1956,18,EC+B+,100,,2930.54,14,22,25,Ti,20-Feb-2007,T. W. BURROWS,2025-02-24
4.511,,0.4078216445721161,0.009201420019311202,,,,,,,,,,23,24,V,,0,,3/2-,32.6,,3,m,1956,18,EC+B+,100,,2930.54,14,22,25,Ti,20-Feb-2007,T. W. BURROWS,2025-02-24
4.947,,0.0814652282547922,0.002141249713258242,,,,,,,,,,23,24,V,,0,,3/2-,32.6,,3,m,1956,18,EC+B+,100,,2930.54,14,22,25,Ti,20-Feb-2007,T. W. BURROWS,2025-02-24
4.947,,0.0814652282547922,0.002141249713258242,,,,,,,,,,23,24,V,,0,,3/2-,32.6,,3,m,1956,18,EC+B+,100,,2930.54,14,22,25,Ti,20-Feb-2007,T. W. BURROWS,2025-02-24

