energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
46.4838,0.0005,6.13,0.17,,46.4838,,0.0,M1+E2,-0.084,13,8.4,,74,109,W,,309.492,0.004,11/2+,5.30,,8,s,5.3,0.08,IT,100,,,,74,109,W,15-Apr-2015,CORAL M. BAGLIN,2025-02-24
52.5952,0.0009,6.76,0.21,,99.0791,,46.4838,M1+E2,-0.127,21,6.2,,74,109,W,,309.492,0.004,11/2+,5.30,,8,s,5.3,0.08,IT,100,,,,74,109,W,15-Apr-2015,CORAL M. BAGLIN,2025-02-24
99.0793,0.0017,8.14,0.21,,99.0791,,0.0,E2,,,4.05,,74,109,W,,309.492,0.004,11/2+,5.30,,8,s,5.3,0.08,IT,100,,,,74,109,W,15-Apr-2015,CORAL M. BAGLIN,2025-02-24
101.481,0.003,2.4,0.03,5.3,308.491,,207.0101,M2,,,40.6,,74,109,W,,309.492,0.004,11/2+,5.30,,8,s,5.3,0.08,IT,100,,,,74,109,W,15-Apr-2015,CORAL M. BAGLIN,2025-02-24
107.931,0.0018,18.9,0.3,,207.0101,,99.0791,M1+E2,-0.31,5,3.73,,74,109,W,,309.492,0.004,11/2+,5.30,,8,s,5.3,0.08,IT,100,,,,74,109,W,15-Apr-2015,CORAL M. BAGLIN,2025-02-24
160.526,0.003,5.12,0.09,,207.0101,,46.4838,E2,,,0.659,,74,109,W,,309.492,0.004,11/2+,5.30,,8,s,5.3,0.08,IT,100,,,,74,109,W,15-Apr-2015,CORAL M. BAGLIN,2025-02-24
9.74,,66.8164088135,2.775369769486913,,,,,,,,,,74,109,W,,309.492,0.004,11/2+,5.30,,8,s,5.3,0.08,IT,100,,,,74,109,W,15-Apr-2015,CORAL M. BAGLIN,2025-02-24
57.983,,36.441640850337606,0.5906299180891942,,,,,,,,,,74,109,W,,309.492,0.004,11/2+,5.30,,8,s,5.3,0.08,IT,100,,,,74,109,W,15-Apr-2015,CORAL M. BAGLIN,2025-02-24
59.32,,63.2997061843627,0.9884228490169039,,,,,,,,,,74,109,W,,309.492,0.004,11/2+,5.30,,8,s,5.3,0.08,IT,100,,,,74,109,W,15-Apr-2015,CORAL M. BAGLIN,2025-02-24
67.335,,20.981696236498966,0.45943664588641203,,,,,,,,,,74,109,W,,309.492,0.004,11/2+,5.30,,8,s,5.3,0.08,IT,100,,,,74,109,W,15-Apr-2015,CORAL M. BAGLIN,2025-02-24
68.117,,26.730681005299683,0.5758440674958543,,,,,,,,,,74,109,W,,309.492,0.004,11/2+,5.30,,8,s,5.3,0.08,IT,100,,,,74,109,W,15-Apr-2015,CORAL M. BAGLIN,2025-02-24
69.068,,5.7489847688007165,0.16386880126238165,,,,,,,,,,74,109,W,,309.492,0.004,11/2+,5.30,,8,s,5.3,0.08,IT,100,,,,74,109,W,15-Apr-2015,CORAL M. BAGLIN,2025-02-24

