energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
9.42,0.03,0.14,0.014,0.0000000023,112.513,0.0000000073,103.098,,,,,,54,86,Xe,,0,,0+,13.60,,10,s,13.6,0.1,B-,100,,4063,9,55,85,Cs,20-Nov-2018,N. NICA,2025-02-24
13.93,0.05,0.88,0.11892854997854804,0.000000471,13.931,63.7,0.0,M1,,,42.6,,54,86,Xe,,0,,0+,13.60,,10,s,13.6,0.1,B-,100,,4063,9,55,85,Cs,20-Nov-2018,N. NICA,2025-02-24
38.33,0.03,0.02,0.02009975124224178,0.0000000024,118.447,0.0000000027,80.118,[M1 E2],,,41,,54,86,Xe,,0,,0+,13.60,,10,s,13.6,0.1,B-,100,,4063,9,55,85,Cs,20-Nov-2018,N. NICA,2025-02-24
38.34,0.03,0.18,0.043863424398922615,0.0000000073,103.098,0.0000000037,64.756,M1(+E2),0.5,LT,19.7,,54,86,Xe,,0,,0+,13.60,,10,s,13.6,0.1,B-,100,,4063,9,55,85,Cs,20-Nov-2018,N. NICA,2025-02-24
45.89,0.1,0.016,0.006209669878504009,0.0000000027,149.01,0.0000000073,103.098,[M1 E2],,,21,,54,86,Xe,,0,,0+,13.60,,10,s,13.6,0.1,B-,100,,4063,9,55,85,Cs,20-Nov-2018,N. NICA,2025-02-24
47.75,0.03,0.048,0.00932952303175248,0.0000000023,112.513,0.0000000037,64.756,[M1 E2],,,18,,54,86,Xe,,0,,0+,13.60,,10,s,13.6,0.1,B-,100,,4063,9,55,85,Cs,20-Nov-2018,N. NICA,2025-02-24
50.82,0.03,1.66,0.1937937047481161,0.0000000037,64.756,0.000000471,13.931,M1,,,6.36,,54,86,Xe,,0,,0+,13.60,,10,s,13.6,0.1,B-,100,,4063,9,55,85,Cs,20-Nov-2018,N. NICA,2025-02-24
80.12,0.03,4.4,0.532541078227774,0.0000000027,80.118,63.7,0.0,M1,,,1.699,,54,86,Xe,,0,,0+,13.60,,10,s,13.6,0.1,B-,100,,4063,9,55,85,Cs,20-Nov-2018,N. NICA,2025-02-24
84.5,0.2,0.022,0.004565084884205331,0.0000000027,149.01,0.0000000037,64.756,[M1],,,1.458,,54,86,Xe,,0,,0+,13.60,,10,s,13.6,0.1,B-,100,,4063,9,55,85,Cs,20-Nov-2018,N. NICA,2025-02-24
89.17,0.03,0.38,0.04294182110716777,0.0000000073,103.098,0.000000471,13.931,[M1],,,1.249,,54,86,Xe,,0,,0+,13.60,,10,s,13.6,0.1,B-,100,,4063,9,55,85,Cs,20-Nov-2018,N. NICA,2025-02-24
