energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
94.14,0.004,0.0041,0.001,,552.0993,0.00000000045,457.9584,M1,,,4.37,,70,107,Yb,,0,,9/2+,1.911,,3,h,6879.6,10.8,B-,100,,1397.5,12,71,106,Lu,30-Aug-2019,F.G. KONDEV,2025-02-24
104.5,0.2,76.63,0.25,0.00000000448,104.50,6879.6,0.0,E1,,,0.305,,70,107,Yb,,331.5,0.3,1/2-,6.41,,2,s,6.41,0.02,IT,100,,,,70,107,Yb,30-Aug-2019,F.G. KONDEV,2025-02-24
119.845,0.001,0.0041,0.0025,,671.9444,,552.0993,M1+E2,0.34,22,2.14,,70,107,Yb,,0,,9/2+,1.911,,3,h,6879.6,10.8,B-,100,,1397.5,12,71,106,Lu,30-Aug-2019,F.G. KONDEV,2025-02-24
121.6211,0.0005,3.05,0.2,0.000000000117,121.6214,574067.52,0.0,M1+E2,0.51,5,2.00,,70,107,Yb,,0,,9/2+,1.911,,3,h,6879.6,10.8,B-,100,,1397.5,12,71,106,Lu,30-Aug-2019,F.G. KONDEV,2025-02-24
138.616,0.001,1.22,0.09,,289.0142,0.0000001331,150.3986,M1+E2,0.23,8,1.43,,70,107,Yb,,0,,9/2+,1.911,,3,h,6879.6,10.8,B-,100,,1397.5,12,71,106,Lu,30-Aug-2019,F.G. KONDEV,2025-02-24
147.1637,0.0005,0.163,0.031,,268.7850,0.000000000117,121.6214,M1+E2,0.59,7,1.114,,70,107,Yb,,0,,9/2+,1.911,,3,h,6879.6,10.8,B-,100,,1397.5,12,71,106,Lu,30-Aug-2019,F.G. KONDEV,2025-02-24
150.399,0.001,18,1.2,0.0000001331,150.3986,574067.52,0.0,E1,,,0.512,,70,107,Yb,,0,,9/2+,1.911,,3,h,6879.6,10.8,B-,100,,1397.5,12,71,106,Lu,30-Aug-2019,F.G. KONDEV,2025-02-24
162.5,0.001,0.056,0.006,,451.5141,,289.0142,M1+E2,0.33,13,0.89,,70,107,Yb,,0,,9/2+,1.911,,3,h,6879.6,10.8,B-,100,,1397.5,12,71,106,Lu,30-Aug-2019,F.G. KONDEV,2025-02-24
171.8574,0.0006,0.0019,0.0009,,440.6426,,268.7850,M1+E2,0.47,21,0.73,,70,107,Yb,,0,,9/2+,1.911,,3,h,6879.6,10.8,B-,100,,1397.5,12,71,106,Lu,30-Aug-2019,F.G. KONDEV,2025-02-24
213.986,0.003,0.00051,0.00031,,671.9444,0.00000000045,457.9584,[E2],,,0.222,,70,107,Yb,,0,,9/2+,1.911,,3,h,6879.6,10.8,B-,100,,1397.5,12,71,106,Lu,30-Aug-2019,F.G. KONDEV,2025-02-24
227,0.2,12.55,0.15,6.41,331.5,0.00000000448,104.50,M3,,,6.97,,70,107,Yb,,331.5,0.3,1/2-,6.41,,2,s,6.41,0.02,IT,100,,,,70,107,Yb,30-Aug-2019,F.G. KONDEV,2025-02-24
231.262,0.013,0.000025,0.000015,,671.9444,,440.6426,[E2],,,0.1724,,70,107,Yb,,0,,9/2+,1.911,,3,h,6879.6,10.8,B-,100,,1397.5,12,71,106,Lu,30-Aug-2019,F.G. KONDEV,2025-02-24
268.7847,0.0006,0.157,0.012,,268.7850,574067.52,0.0,E2,,,0.1071,,70,107,Yb,,0,,9/2+,1.911,,3,h,6879.6,10.8,B-,100,,1397.5,12,71,106,Lu,30-Aug-2019,F.G. KONDEV,2025-02-24
283.33,0.03,0.000009,0.000009,,552.0993,,268.7850,[E2],,,0.0910,,70,107,Yb,,0,,9/2+,1.911,,3,h,6879.6,10.8,B-,100,,1397.5,12,71,106,Lu,30-Aug-2019,F.G. KONDEV,2025-02-24
301.115,0.001,0.0065,0.0011,,451.5141,0.0000001331,150.3986,E2,,,0.0757,,70,107,Yb,,0,,9/2+,1.911,,3,h,6879.6,10.8,B-,100,,1397.5,12,71,106,Lu,30-Aug-2019,F.G. KONDEV,2025-02-24
319.021,0.0006,0.0041,0.002,,440.6426,0.000000000117,121.6214,E2,,,0.0637,,70,107,Yb,,0,,9/2+,1.911,,3,h,6879.6,10.8,B-,100,,1397.5,12,71,106,Lu,30-Aug-2019,F.G. KONDEV,2025-02-24
336.335,0.002,0.00072,0.00011,0.00000000045,457.9584,0.000000000117,121.6214,E2,,,0.0546,,70,107,Yb,,0,,9/2+,1.911,,3,h,6879.6,10.8,B-,100,,1397.5,12,71,106,Lu,30-Aug-2019,F.G. KONDEV,2025-02-24
382.939,0.007,0.000041,0.000031,,671.9444,,289.0142,[E1],,,0.01153,,70,107,Yb,,0,,9/2+,1.911,,3,h,6879.6,10.8,B-,100,,1397.5,12,71,106,Lu,30-Aug-2019,F.G. KONDEV,2025-02-24
401.721,0.009,0.000076,0.000031,,552.0993,0.0000001331,150.3986,[E1],,,0.01032,,70,107,Yb,,0,,9/2+,1.911,,3,h,6879.6,10.8,B-,100,,1397.5,12,71,106,Lu,30-Aug-2019,F.G. KONDEV,2025-02-24
403.222,0.011,0.00008,0.00006,,671.9444,,268.7850,[M1],,,0.0778,,70,107,Yb,,0,,9/2+,1.911,,3,h,6879.6,10.8,B-,100,,1397.5,12,71,106,Lu,30-Aug-2019,F.G. KONDEV,2025-02-24
430.473,0.003,0.00024,0.00008,,552.0993,0.000000000117,121.6214,M1(+E2),1.1,LE,0.055,,70,107,Yb,,0,,9/2+,1.911,,3,h,6879.6,10.8,B-,100,,1397.5,12,71,106,Lu,30-Aug-2019,F.G. KONDEV,2025-02-24
457.964,0.004,0.0371,0.0022,0.00000000045,457.9584,574067.52,0.0,M1(+E2),0.6,LE,0.051,,70,107,Yb,,0,,9/2+,1.911,,3,h,6879.6,10.8,B-,100,,1397.5,12,71,106,Lu,30-Aug-2019,F.G. KONDEV,2025-02-24
550.318,0.003,0.00193,0.00015,,671.9444,0.000000000117,121.6214,M1+E2,1.3,6,0.022,,70,107,Yb,,0,,9/2+,1.911,,3,h,6879.6,10.8,B-,100,,1397.5,12,71,106,Lu,30-Aug-2019,F.G. KONDEV,2025-02-24
552.102,0.004,0.003,0.0009,,552.0993,574067.52,0.0,M1+E2,1.8,5,0.019,,70,107,Yb,,0,,9/2+,1.911,,3,h,6879.6,10.8,B-,100,,1397.5,12,71,106,Lu,30-Aug-2019,F.G. KONDEV,2025-02-24
671.944,0.008,0.00067,0.00005,,671.9444,574067.52,0.0,M1(+E2),0.3,LE,0.0203,,70,107,Yb,,0,,9/2+,1.911,,3,h,6879.6,10.8,B-,100,,1397.5,12,71,106,Lu,30-Aug-2019,F.G. KONDEV,2025-02-24
691.9,0.2,0.003,0.0015,,1149.97,0.00000000045,457.9584,[M1],,,0.0193,,70,107,Yb,,0,,9/2+,1.911,,3,h,6879.6,10.8,B-,100,,1397.5,12,71,106,Lu,30-Aug-2019,F.G. KONDEV,2025-02-24
714.2,0.2,0.0051,0.0015,,1165.71,,451.5141,,,,,,70,107,Yb,,0,,9/2+,1.911,,3,h,6879.6,10.8,B-,100,,1397.5,12,71,106,Lu,30-Aug-2019,F.G. KONDEV,2025-02-24
760.5,0.1,0.054,0.005,,1049.44,,289.0142,M1+E2,0.6,6,0.013,,70,107,Yb,,0,,9/2+,1.911,,3,h,6879.6,10.8,B-,100,,1397.5,12,71,106,Lu,30-Aug-2019,F.G. KONDEV,2025-02-24
779.3,0.2,0.098,0.006,0.00000000006,1230.620,,451.5141,[E1],,,0.00252,,70,107,Yb,,0,,9/2+,1.911,,3,h,6879.6,10.8,B-,100,,1397.5,12,71,106,Lu,30-Aug-2019,F.G. KONDEV,2025-02-24
783.3,0.3,0.002,0.001,0.000000000025,1241.50,0.00000000045,457.9584,[M1+E2],,,0.01416,,70,107,Yb,,0,,9/2+,1.911,,3,h,6879.6,10.8,B-,100,,1397.5,12,71,106,Lu,30-Aug-2019,F.G. KONDEV,2025-02-24
790.3,0.2,0.0076,0.0026,0.00000000006,1230.620,,440.6426,[M1+E2],,,0.01385,,70,107,Yb,,0,,9/2+,1.911,,3,h,6879.6,10.8,B-,100,,1397.5,12,71,106,Lu,30-Aug-2019,F.G. KONDEV,2025-02-24
876.8,0.2,0.0193,0.0022,,1165.71,,289.0142,,,,,,70,107,Yb,,0,,9/2+,1.911,,3,h,6879.6,10.8,B-,100,,1397.5,12,71,106,Lu,30-Aug-2019,F.G. KONDEV,2025-02-24
