energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
22.5,0.5,0.4335,0.14601797834513391,,22.50,126,0.0,(M1+E2),0.70,,56,,30,45,Zn,,0,,(7/2+),10.2,,2,s,10.2,0.2,B-,100,,5901.7,21,31,44,Ga,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
155.94,0.05,17.1955,1.1026764031210607,0.000000004,178.36,,22.50,(E2),,,0.1314,,30,45,Zn,,0,,(7/2+),10.2,,2,s,10.2,0.2,B-,100,,5901.7,21,31,44,Ga,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
174.22,0.05,4.7685,0.49120591405234526,,606.41,,432.20,,,,,,30,45,Zn,,0,,(7/2+),10.2,,2,s,10.2,0.2,B-,100,,5901.7,21,31,44,Ga,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
178.28,0.07,0.578,0.14718780520138208,0.000000004,178.36,126,0.0,,,,,,30,45,Zn,,0,,(7/2+),10.2,,2,s,10.2,0.2,B-,100,,5901.7,21,31,44,Ga,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
228.67,0.05,28.9,1.815581449563748,0.000000002,228.63,126,0.0,,,,,,30,45,Zn,,0,,(7/2+),10.2,,2,s,10.2,0.2,B-,100,,5901.7,21,31,44,Ga,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
253.9,0.5,1.445,0.2973566881709574,,432.20,0.000000004,178.36,,,,,,30,45,Zn,,0,,(7/2+),10.2,,2,s,10.2,0.2,B-,100,,5901.7,21,31,44,Ga,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
275.25,0.09,0.6647,0.14804421636794868,,881.63,,606.41,,,,,,30,45,Zn,,0,,(7/2+),10.2,,2,s,10.2,0.2,B-,100,,5901.7,21,31,44,Ga,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
352.1,0.1,0.7803,0.1493622777008974,,,,,,,,,,30,45,Zn,,0,,(7/2+),10.2,,2,s,10.2,0.2,B-,100,,5901.7,21,31,44,Ga,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
377.84,0.05,6.936,0.6685656287904725,,606.41,0.000000002,228.63,,,,,,30,45,Zn,,0,,(7/2+),10.2,,2,s,10.2,0.2,B-,100,,5901.7,21,31,44,Ga,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
409.78,0.05,7.225,0.6757099969661541,,432.20,,22.50,,,,,,30,45,Zn,,0,,(7/2+),10.2,,2,s,10.2,0.2,B-,100,,5901.7,21,31,44,Ga,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
428.4,0.1,1.445,0.2973566881709574,,606.41,0.000000004,178.36,,,,,,30,45,Zn,,0,,(7/2+),10.2,,2,s,10.2,0.2,B-,100,,5901.7,21,31,44,Ga,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
432.29,0.05,20.23,1.5154985978218523,,432.20,126,0.0,,,,,,30,45,Zn,,0,,(7/2+),10.2,,2,s,10.2,0.2,B-,100,,5901.7,21,31,44,Ga,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
449.54,0.05,2.5143,0.16792438774639018,,881.63,,432.20,,,,,,30,45,Zn,,0,,(7/2+),10.2,,2,s,10.2,0.2,B-,100,,5901.7,21,31,44,Ga,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
502.4,0.7,0.6069,0.0648475134450042,,2736.25,,2233.67,,,,,,30,45,Zn,,0,,(7/2+),10.2,,2,s,10.2,0.2,B-,100,,5901.7,21,31,44,Ga,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
583.38,0.09,0.5491,0.06362703827776364,,606.41,,22.50,[M3],,,,,30,45,Zn,,0,,(7/2+),10.2,,2,s,10.2,0.2,B-,100,,5901.7,21,31,44,Ga,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
606.43,0.05,8.959,0.7228001106806777,,606.41,126,0.0,,,,,,30,45,Zn,,0,,(7/2+),10.2,,2,s,10.2,0.2,B-,100,,5901.7,21,31,44,Ga,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
624.2,0.1,0.8381,0.07063426930322136,,2639.73,,2015.46,,,,,,30,45,Zn,,0,,(7/2+),10.2,,2,s,10.2,0.2,B-,100,,5901.7,21,31,44,Ga,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
627.95,0.05,6.9649,0.5493277801094716,,1509.57,,881.63,,,,,,30,45,Zn,,0,,(7/2+),10.2,,2,s,10.2,0.2,B-,100,,5901.7,21,31,44,Ga,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
652.94,0.05,4.4795,0.3387344239961448,,881.63,0.000000002,228.63,,,,,,30,45,Zn,,0,,(7/2+),10.2,,2,s,10.2,0.2,B-,100,,5901.7,21,31,44,Ga,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
685.8,0.08,0.4913,0.0625082394568908,,,,,,,,,,30,45,Zn,,0,,(7/2+),10.2,,2,s,10.2,0.2,B-,100,,5901.7,21,31,44,Ga,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
688.7,0.07,0.5491,0.06362703827776364,,2233.67,,1544.98,,,,,,30,45,Zn,,0,,(7/2+),10.2,,2,s,10.2,0.2,B-,100,,5901.7,21,31,44,Ga,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
712.49,0.07,1.2427,0.10555060397742876,,2257.56,,1544.98,,,,,,30,45,Zn,,0,,(7/2+),10.2,,2,s,10.2,0.2,B-,100,,5901.7,21,31,44,Ga,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
724,0.1,0.8959,0.07228001106806778,,2233.67,,1509.57,,,,,,30,45,Zn,,0,,(7/2+),10.2,,2,s,10.2,0.2,B-,100,,5901.7,21,31,44,Ga,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
726,0.1,0.5202,0.06305457953233849,,2998.83,,2272.79,,,,,,30,45,Zn,,0,,(7/2+),10.2,,2,s,10.2,0.2,B-,100,,5901.7,21,31,44,Ga,30-Jun-2013,ALEXANDRU NEGRET and  BALRAJ SINGH,2025-02-24
