energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
41.1,0.2,,,,198.50,,157.40,,,,,,40,44,Zr,,0,,0+,25.8,,5,m,1548,30,EC+B+,100,,2473,7,39,45,Y,30-Sep-2009,N. Nica and M. Bostan,2025-02-24
44.9,0.2,,,,157.40,0.000000079,112.50,,,,,,40,44,Zr,,0,,0+,25.8,,5,m,1548,30,EC+B+,100,,2473,7,39,45,Y,30-Sep-2009,N. Nica and M. Bostan,2025-02-24
112.5,0.1,,,0.000000079,112.50,2370,0.0,E2,,,0.692,,40,44,Zr,,0,,0+,25.8,,5,m,1548,30,EC+B+,100,,2473,7,39,45,Y,30-Sep-2009,N. Nica and M. Bostan,2025-02-24
131.6,0.2,,,,198.50,4.6,66.9,,,,,,40,44,Zr,,0,,0+,25.8,,5,m,1548,30,EC+B+,100,,2473,7,39,45,Y,30-Sep-2009,N. Nica and M. Bostan,2025-02-24
193.2,,,,,,,,,,,,,40,44,Zr,,0,,0+,25.8,,5,m,1548,30,EC+B+,100,,2473,7,39,45,Y,30-Sep-2009,N. Nica and M. Bostan,2025-02-24
320,0.1,,,,,,,,,,,,40,44,Zr,,0,,0+,25.8,,5,m,1548,30,EC+B+,100,,2473,7,39,45,Y,30-Sep-2009,N. Nica and M. Bostan,2025-02-24
372.9,0.1,,,,,,,,,,,,40,44,Zr,,0,,0+,25.8,,5,m,1548,30,EC+B+,100,,2473,7,39,45,Y,30-Sep-2009,N. Nica and M. Bostan,2025-02-24
400.5,,,,,,,,,,,,,40,44,Zr,,0,,0+,25.8,,5,m,1548,30,EC+B+,100,,2473,7,39,45,Y,30-Sep-2009,N. Nica and M. Bostan,2025-02-24
451.1,,,,,,,,,,,,,40,44,Zr,,0,,0+,25.8,,5,m,1548,30,EC+B+,100,,2473,7,39,45,Y,30-Sep-2009,N. Nica and M. Bostan,2025-02-24
557,0.3,,,,,,,,,,,,40,44,Zr,,0,,0+,25.8,,5,m,1548,30,EC+B+,100,,2473,7,39,45,Y,30-Sep-2009,N. Nica and M. Bostan,2025-02-24
600,0.2,,,,,,,,,,,,40,44,Zr,,0,,0+,25.8,,5,m,1548,30,EC+B+,100,,2473,7,39,45,Y,30-Sep-2009,N. Nica and M. Bostan,2025-02-24
666.7,0.3,,,,,,,,,,,,40,44,Zr,,0,,0+,25.8,,5,m,1548,30,EC+B+,100,,2473,7,39,45,Y,30-Sep-2009,N. Nica and M. Bostan,2025-02-24

