nuclide,original_nuclide,total_atom_number,total_activity_Bq,total_activity_GBq,is_stable,decay_constant,half_life,half_life_seconds
Ra225,Ra225,4.72E+17,2.53879E+11,253.8786938,不稳定,5.38E-07,14.90 天,1287360
Ra224,Ra224,2.42E+17,5.30233E+11,530.2333833,不稳定,2.19E-06,3.66 天,316224
Ra226,Ra226,1.43E+17,1966258.059,0.001966258,不稳定,1.37E-11,1601.06 年,50491081728
Ac227,Ac-227,1.17E+17,118089846.4,0.118089846,不稳定,1.01E-09,21.79 年,687057394.6
Ac225,Ac-225,9.42E+16,75582504868,75.58250487,不稳定,8.02E-07,10.00 天,864000
Ra223,Ra223,7.01947E+15,4926851944,4.926851944,不稳定,7.02E-07,11.43 天,987552
Ra228,Ra228,3.31209E+15,12652183.31,0.012652183,不稳定,3.82E-09,5.75 年,181452325
Ra227,Ra227,4.97202E+14,1.36112E+11,136.1115213,不稳定,0.000273755,42.20 分钟,2532
Th227,Th-227,4.44636E+13,19095886.68,0.019095887,不稳定,4.29E-07,18.68 天,1613952
Rn220,Rn-220,4.25307E+13,5.30217E+11,530.2169,不稳定,0.012466676,55.60 秒,55.6
Fr221,Fr-221,3.20328E+13,75521847312,75.52184731,不稳定,0.002357643,4.90 分钟,294
Th228,Th-228,5.06334E+12,58179.62865,5.82E-05,不稳定,1.15E-08,1.91 年,60324219.89
Rn222,Rn-222,6.04717E+11,1268827.235,0.001268827,不稳定,2.10E-06,3.82 天,330350.4
Ac228,Ac-228,3.89209E+11,12185158.46,0.012185158,不稳定,3.13E-05,6.15 小时,22140
Po216,Po-216,1.10916E+11,5.30215E+11,530.2148636,不稳定,4.780325383,1.45e-01 秒,0.145
Xe134,Xe-134,1.09239E+11,0,0,稳定,0,稳定,inf
Ba138,Ba-138,75976309466,0,0,稳定,0,稳定,inf
Cs137,Cs-137,68483360851,49.86344396,4.99E-08,不稳定,7.28E-10,30.19 年,951980944.7
Cs135,Cs-135,66830023975,0.000638226,6.38E-13,不稳定,9.55E-15,2301526.19 年,7.25809E+13
Te130,Te-130,60252482401,0,0,稳定,0,稳定,inf
