nuclide,original_nuclide,total_atom_number,total_activity_Bq,total_activity_GBq,is_stable,decay_constant,half_life,half_life_seconds
Ra225,Ra225,1.61E+17,86560326903,86.5603269,不稳定,5.38E-07,14.90 天,1287360
Ra224,Ra224,8.57E+16,1.87912E+11,187.9119706,不稳定,2.19E-06,3.66 天,316224
Ac225,Ac-225,3.21E+16,25769970026,25.76997003,不稳定,8.02E-07,10.00 天,864000
Ra226,Ra226,4.44352E+15,61001.16641,6.10E-05,不稳定,1.37E-11,1601.06 年,50491081728
Ra223,Ra-223,2.81102E+15,1973009236,1.973009236,不稳定,7.02E-07,11.43 天,987552
Ac227,Ac-227,2.35742E+14,237831.283,0.000237831,不稳定,1.01E-09,21.79 年,687057394.6
Rn220,Rn-220,1.50727E+13,1.87906E+11,187.9061312,不稳定,0.012466676,55.60 秒,55.6
Fr221,Fr-221,1.09216E+13,25749288740,25.74928874,不稳定,0.002357643,4.90 分钟,294
Ra227,Ra227,1.00136E+12,274126680,0.27412668,不稳定,0.000273755,42.20 分钟,2532
Th227,Th-227,89551393038,38459.81516,3.85E-05,不稳定,4.29E-07,18.68 天,1613952
Rn222,Rn-222,53489352939,112232.3272,0.000112232,不稳定,2.10E-06,3.82 天,330350.4
Po216,Po-216,39307879251,1.87904E+11,187.9044529,不稳定,4.780325383,1.45e-01 秒,0.145
Xe134,Xe-134,16798246723,0,0,稳定,0,稳定,inf
Te130,Te-130,12360140490,0,0,稳定,0,稳定,inf
Ba138,Ba-138,11400006797,0,0,稳定,0,稳定,inf
Rn219,Rn-219,11271890192,1972999724,1.972999724,不稳定,0.175037167,3.96 秒,3.96
Cs137,Cs-137,10321600419,7.515264112,7.52E-09,不稳定,7.28E-10,30.19 年,951980944.7
Cs135,Cs-135,9890078006,9.45E-05,9.45E-14,不稳定,9.55E-15,2301526.19 年,7.25809E+13
Sr89,Sr-89,9614622195,1526.49239,1.53E-06,不稳定,1.59E-07,50.53 天,4365792
Zr94,Zr-94,9356102002,0,0,稳定,0,稳定,inf
Xe133,Xe-133,7200756396,11018.18296,1.10E-05,不稳定,1.53E-06,5.24 天,452995.2
Ce142,Ce-142,7046405795,0,0,稳定,0,稳定,inf
Te128,Te-128,6808358543,0,0,稳定,0,稳定,inf
Zr93,Zr-93,6123283097,8.79E-05,8.79E-14,不稳定,1.44E-14,1531015.25 年,4.82821E+13
Ba140,Ba-140,5930268833,3730.850064,3.73E-06,不稳定,6.29E-07,12.75 天,1101772.8
Kr84,Kr-84,5919908843,0,0,稳定,0,稳定,inf
I131,I-131,5623474421,5624.762247,5.62E-06,不稳定,1.00E-06,8.02 天,692988.48
La139,La-139,5078203631,0,0,稳定,0,稳定,inf
Xe132,Xe-132,4923216133,0,0,稳定,0,稳定,inf
Sr88,Sr-88,4430149395,0,0,稳定,0,稳定,inf
Ru98,Ru98,4329455776,0,0,稳定,0,稳定,inf
Ru102,Ru-102,3934370462,0,0,稳定,0,稳定,inf
Ce141,Ce-141,3777501873,932.2366136,9.32E-07,不稳定,2.47E-07,32.51 天,2808691.2
Te132,Te132,3194574728,7998.936753,8.00E-06,不稳定,2.50E-06,3.20 天,276825.6
Sr90,Sr-90,2992284670,2.282926931,2.28E-09,不稳定,7.63E-10,28.81 年,908523901.8
Zr92,Zr-92,2970672119,0,0,稳定,0,稳定,inf
Mo97,Mo-97,2688663869,0,0,稳定,0,稳定,inf
Zr95,Zr-95,2687965548,336.7738406,3.37E-07,不稳定,1.25E-07,64.03 天,5532364.8
Pd108,Pd-108,2250930605,0,0,稳定,0,稳定,inf
I133,I-133,2239344758,20729.10664,2.07E-05,不稳定,9.26E-06,20.80 小时,74880
Ru96,Ru96,1926569547,0,0,稳定,0,稳定,inf
Te129m,Te-129m,1906821534,455.2841056,4.55E-07,不稳定,2.39E-07,33.60 天,2903040
Sb127,Sb-127,1842013112,3838.342338,3.84E-06,不稳定,2.08E-06,3.85 天,332640
Pd107,Pd-107,1661020748,5.61E-06,5.61E-15,不稳定,3.38E-15,6504313.15 年,2.0512E+14
Sn126,Sn126,1574655487,0.000150379,1.50E-13,不稳定,9.55E-14,230152.62 年,7.25809E+12
Ru97,Ru97,1520927096,4207.480558,4.21E-06,不稳定,2.77E-06,2.90 天,250560
Ru101,Ru-101,1513506179,0,0,稳定,0,稳定,inf
Rb87,Rb-87,1391457646,6.21E-10,6.21E-19,不稳定,4.46E-19,49262667139.73 年,1.55E+18
Ru104,Ru-104,1309144781,0,0,稳定,0,稳定,inf
Pr143,Pr-143,1232853825,728.8588943,7.29E-07,不稳定,5.91E-07,13.57 天,1172448
Rb85,Rb-85,1224408770,0,0,稳定,0,稳定,inf
Se78,Se-78,1152623469,0,0,稳定,0,稳定,inf
Cs133,Cs-133,1001064479,0,0,稳定,0,稳定,inf
Nd145,Nd-145,993682366.4,0,0,稳定,0,稳定,inf
Ni60,Ni60,964148076.2,0,0,稳定,0,稳定,inf
Ru100,Ru-100,961756638.6,0,0,稳定,0,稳定,inf
Pd100,Pd100,943040914.2,2084.181942,2.08E-06,不稳定,2.21E-06,3.63 天,313632
Sm152,Sm-152,908928988.7,0,0,稳定,0,稳定,inf
Ru106,Ru106,846321242.9,18.17404996,1.82E-08,不稳定,2.15E-08,1.02 年,32278176
Ni59,Ni59,819586763.9,0.00017824,1.78E-13,不稳定,2.17E-13,101067.02 年,3.18725E+12
Pb212,Pb-212,808475813.8,14630.13604,1.46E-05,不稳定,1.81E-05,10.64 小时,38304
Xe131,Xe-131,805224396.8,0,0,稳定,0,稳定,inf
Tc97,Tc-97,795906713.3,6.72E-06,6.72E-15,不稳定,8.45E-15,2601725.26 年,8.2048E+13
Rh105,Rh-105,693308274.8,3775.174993,3.78E-06,不稳定,5.45E-06,1.47 天,127296
Ru99,Ru-99,657841176.4,0,0,稳定,0,稳定,inf
Nd148,Nd-148,646975201.4,0,0,稳定,0,稳定,inf
La140,La-140,631424224.6,3018.6664,3.02E-06,不稳定,4.78E-06,1.68 天,144987.84
Xe135,Xe-135,567695417,11958.92529,1.20E-05,不稳定,2.11E-05,9.14 小时,32904
Fr224,Fr224,564346488.3,1957833.72,0.001957834,不稳定,0.003469205,3.33 分钟,199.8
Ni61,Ni61,541481007.1,0,0,稳定,0,稳定,inf
Mo99,Mo-99,537906546.3,1570.655166,1.57E-06,不稳定,2.92E-06,2.75 天,237384
Sm151,Sm-151,525426877.6,0.128233219,1.28E-10,不稳定,2.44E-10,90.06 年,2840123347
Rh101m,Rh-101m,459899899,850.1299239,8.50E-07,不稳定,1.85E-06,4.34 天,374976
Sn125,Sn125,446108398.8,371.2573705,3.71E-07,不稳定,8.32E-07,9.64 天,832896
Kr86,Kr86,444354854.4,0,0,稳定,0,稳定,inf
Ra222,Ra222,443475074.5,8089302.566,0.008089303,不稳定,0.018240715,38.00 秒,38
Y91,Y-91,433762409.8,59.47487439,5.95E-08,不稳定,1.37E-07,58.51 天,5055264
Co57,Co57,433185444.6,12.788865,1.28E-08,不稳定,2.95E-08,271.74 天,23478336
Y93,Y-93,399431832.2,7554.710989,7.55E-06,不稳定,1.89E-05,10.18 小时,36648
Kr85,Kr-85,380479212.2,0.776981912,7.77E-10,不稳定,2.04E-09,10.76 年,339426296.9
Ce143,Ce-143,373674069.1,2177.654754,2.18E-06,不稳定,5.83E-06,1.38 天,118940.4
Te127m,Te-127m,362604698.5,26.68816094,2.67E-08,不稳定,7.36E-08,109.00 天,9417600
Ce144,Ce144,353751761.3,9.960993041,9.96E-09,不稳定,2.82E-08,284.91 天,24616224
I135,I135,352688839.1,10335.924,1.03E-05,不稳定,2.93E-05,6.57 小时,23652
Zr97,Zr97,296561577.8,3410.190408,3.41E-06,不稳定,1.15E-05,16.74 小时,60278.4
Ce140,Ce-140,289118709.2,0,0,稳定,0,稳定,inf
Ni62,Ni-62,288528021.5,0,0,稳定,0,稳定,inf
Rh99,Rh99,266138985.5,132.615516,1.33E-07,不稳定,4.98E-07,16.10 天,1391040
Sb129,Sb-129,252859010.5,11064.9312,1.11E-05,不稳定,4.38E-05,4.40 小时,15840
Sm154,Sm-154,250183346.9,0,0,稳定,0,稳定,inf
Pd102,Pd102,245905113.6,0,0,稳定,0,稳定,inf
Tc95,Tc-95,226229372.1,2177.920159,2.18E-06,不稳定,9.63E-06,20.00 小时,72000
Se79,Se-79,221806859.8,1.65E-05,1.65E-14,不稳定,7.45E-14,295195.75 年,9.30929E+12
Nd147,Nd-147,214122102.9,156.4483108,1.56E-07,不稳定,7.31E-07,10.98 天,948672
Rh100,Rh100,213437724,1975.744613,1.98E-06,不稳定,9.26E-06,20.80 小时,74880
Ni58,Ni58,211392115.2,0,0,稳定,0,稳定,inf
Sn124,Sn124,207077990.4,0,0,稳定,0,稳定,inf
Se77,Se-77,197476051.8,0,0,稳定,0,稳定,inf
Co56,Co56,193834936.4,20.13528309,2.01E-08,不稳定,1.04E-07,77.23 天,6672672
Sb125,Sb-125,187604202,1.493794636,1.49E-09,不稳定,7.96E-09,2.76 年,87051674.01
Pb214,Pb-214,183938747.8,79288.94554,7.93E-05,不稳定,0.000431062,26.80 分钟,1608
Cs136,Cs136,174393981.4,106.3132322,1.06E-07,不稳定,6.10E-07,13.16 天,1137024
Br81,Br-81,167939863.4,0,0,稳定,0,稳定,inf
I129,I-129,162697409.1,2.28E-07,2.28E-16,不稳定,1.40E-15,15710417.92 年,4.95444E+14
Rh99m,Rh-99m,161620463.8,6620.967421,6.62E-06,不稳定,4.10E-05,4.70 小时,16920
Mo92,Mo-92,155185569.5,0,0,稳定,0,稳定,inf
Te127,Te-127,150170081.2,3092.393595,3.09E-06,不稳定,2.06E-05,9.35 小时,33660
Pd105,Pd-105,148116498.1,0,0,稳定,0,稳定,inf
Eu153,Eu-153,144436117.3,0,0,稳定,0,稳定,inf
Nb95,Nb-95,137090197.8,31.43125829,3.14E-08,不稳定,2.29E-07,34.99 天,3023222.4
Gd157,Gd-157,129274721.2,0,0,稳定,0,稳定,inf
Fe55,Fe-55,126965499.8,1.018923779,1.02E-09,不稳定,8.03E-09,2.74 年,86371306.68
Xe133m,Xe-133m,121345019.3,444.5182121,4.45E-07,不稳定,3.66E-06,2.19 天,189216
Eu156,Eu-156,115687596.3,61.09993419,6.11E-08,不稳定,5.28E-07,15.19 天,1312416
Ni56,Ni56,113211690.3,149.505342,1.50E-07,不稳定,1.32E-06,6.08 天,524880
Te131m,Te-131m,110019599.3,706.1090285,7.06E-07,不稳定,6.42E-06,1.25 天,108000
Pm151,Pm-151,107954304.8,731.8879305,7.32E-07,不稳定,6.78E-06,1.18 天,102240
Eu155,Eu-155,103102510,0.475655698,4.76E-10,不稳定,4.61E-09,4.76 年,150245680.8
La141,La-141,101048170,4963.2408,4.96E-06,不稳定,4.91E-05,3.92 小时,14112
I132,I-132,100616882.5,8441.334837,8.44E-06,不稳定,8.39E-05,2.29 小时,8262
Ni57,Ni57,96946972.22,524.3330248,5.24E-07,不稳定,5.41E-06,1.48 天,128160
Sn123,Sn123,88209287.38,5.477262037,5.48E-09,不稳定,6.21E-08,129.20 天,11162880
Ru105,Ru-105,87969541.87,3814.8048,3.81E-06,不稳定,4.34E-05,4.44 小时,15984
I134,I-134,86454784.04,19024.092,1.90E-05,不稳定,0.000220047,52.50 分钟,3150
Mo94,Mo-94,85385207.5,0,0,稳定,0,稳定,inf
Sn119,Sn-119,84822583.51,0,0,稳定,0,稳定,inf
Nd146,Nd-146,77466360.41,0,0,稳定,0,稳定,inf
Kr88,Kr88,74386772.41,5043.132,5.04E-06,不稳定,6.78E-05,2.84 小时,10224
Pm147,Pm-147,74353827.62,0.62254333,6.23E-10,不稳定,8.37E-09,2.63 年,82786439.88
Sm149,Sm-149,67958813.7,0,0,稳定,0,稳定,inf
Y89,Y-89,67396417.88,0,0,稳定,0,稳定,inf
Y92,Y-92,65639506.22,3570.138,3.57E-06,不稳定,5.44E-05,3.54 小时,12744
La142,La-142,64890382.71,8228.7936,8.23E-06,不稳定,0.000126811,1.52 小时,5466
As77,As-77,64187182.2,318.275992,3.18E-07,不稳定,4.96E-06,1.62 天,139788
Ge72,Ge-72,61400572.76,0,0,稳定,0,稳定,inf
Cu63,Cu63,56083622.4,0,0,稳定,0,稳定,inf
Sm153,Sm-153,53918318.97,223.257651,2.23E-07,不稳定,4.14E-06,1.94 天,167400
Te129,Te-129,51855107.05,8607.093212,8.61E-06,不稳定,0.000165984,1.16 小时,4176
Ba136,Ba-136,49940508.21,0,0,稳定,0,稳定,inf
Sn127,Sn127,48795897.01,4473.9072,4.47E-06,不稳定,9.17E-05,2.10 小时,7560
Pd101,Pd101,48543566.89,1103.497197,1.10E-06,不稳定,2.27E-05,8.47 小时,30492
Sr92,Sr92,48287606.41,3495.24,3.50E-06,不稳定,7.24E-05,2.66 小时,9576
Te134,Te134,48238333.34,13331.844,1.33E-05,不稳定,0.000276374,41.80 分钟,2508
Sr91,Sr91,47699699.41,953.70117,9.54E-07,不稳定,2.00E-05,9.63 小时,34668
Cd116,Cd-116,47442630.96,0,0,稳定,0,稳定,inf
Tc95m,Tc-95m,47272453.85,6.217131168,6.22E-09,不稳定,1.32E-07,61.00 天,5270400
Cd114,Cd-114,43130456.91,0,0,稳定,0,稳定,inf
Kr85m,Kr-85m,43123708.58,1853.36539,1.85E-06,不稳定,4.30E-05,4.48 小时,16128
Tc99m,Tc-99m,42669938.85,1365.869946,1.37E-06,不稳定,3.20E-05,6.01 小时,21654
Ba139,Ba-139,42649418.93,5931.9216,5.93E-06,不稳定,0.000139086,1.38 小时,4983.6
Sb128,Sb-128,40908855.18,874.2094472,8.74E-07,不稳定,2.14E-05,9.01 小时,32436
Br83,Br-83,39210988.66,3145.716,3.15E-06,不稳定,8.02E-05,2.40 小时,8640
Sn128,Sn128,39062780.46,7639.596,7.64E-06,不稳定,0.000195572,59.07 分钟,3544.2
Cs138,Cs-138,37935105.8,13117.1364,1.31E-05,不稳定,0.000345778,33.41 分钟,2004.6
Kr83,Kr-83,37781194.76,0,0,稳定,0,稳定,inf
Pr145,Pr-145,37089031.03,1193.3748,1.19E-06,不稳定,3.22E-05,5.98 小时,21542.4
Sn122,Sn122,34512998.4,0,0,稳定,0,稳定,inf
Pm149,Pm-149,30235367.85,109.6749141,1.10E-07,不稳定,3.63E-06,2.21 天,191088
Ge74,Ge-74,30174306.22,0,0,稳定,0,稳定,inf
Po218,Po-218,30110011.79,112207.902,0.000112208,不稳定,0.003726598,3.10 分钟,186
