母核素,半衰期,子核素,分支比,衰变模式
H3,388789632,He-3,1,β-
Be7,4598208,Li-7,1,EC
Be10,4.7652E+13,B-10,1,β-
C10,19.308,B-10,1,β+ & EC
C11,1221.84,B-11,1,β+ & EC
C14,1.79878E+11,N-14,1,β-
N13,597.9,C-13,1,β+ & EC
N16,7.13,O-16,1,β-
O14,70.62,N-14,1,β+ & EC
O15,122.24,N-15,1,β+ & EC
O19,26.88,F-19,1,β-
F17,64.49,O-17,1,β+ & EC
F18,6586.2,O-18,1,β+ & EC
Ne19,17.22,F-19,1,β+ & EC
Ne24,202.8,Na-24,1,β-
Na22,82106563.68,Ne-22,1,β+ & EC
Na24,53989.2,Mg-24,1,β-
Mg27,567.48,Al-27,1,β-
Mg28,75294,Al-28,1,β-
Al26,2.26268E+13,Mg-26,1,β+ & EC
Al28,134.7,Si-28,1,β-
Al29,393.6,Si-29,1,β-
Si31,9441.6,P-31,1,β-
Si32,4828312800,P-32,1,β-
P30,149.88,Si-30,1,β+ & EC
P32,1232755.2,S-32,1,β-
P33,2190240,S-33,1,β-
S35,7548768,Cl-35,1,β-
S37,303,Cl-37,1,β-
S38,10218,Cl-38,1,β-
Cl34,1.5264,S-34,1,β+ & EC
Cl36,9.49884E+12,Ar-36,0.981,β-
Cl36,9.49884E+12,S-36,0.019,β+ & EC
Cl38,2234.4,Ar-38,1,β-
Cl39,3372,Ar-39,1,β-
Cl40,81,Ar-40,1,β-
Ar37,3027456,Cl-37,1,EC
Ar39,8488994400,K-39,1,β-
Ar41,6576.6,K-41,1,β-
Ar42,1038245040,K-42,1,β-
Ar43,322.2,K-43,1,β-
Ar44,712.2,K-44,1,β-
K38,458.16,Ar-38,1,β+ & EC
K40,3.94E+16,Ca-40,0.8914,β-
K40,3.94E+16,Ar-40,0.1086,β+ & EC
K42,44478,Ca-42,1,β-
K43,80280,Ca-43,1,β-
K44,1327.8,Ca-44,1,β-
K45,1068.6,Ca-45,1,β-
K46,105,Ca-46,1,β-
Ca41,3.13683E+12,K-41,1,EC
Ca45,14049504,Sc-45,1,β-
Ca47,391910.4,Sc-47,1,β-
Ca49,523.08,Sc-49,1,β-
Sc43,14007.6,Ca-43,1,β+ & EC
Sc44,14292,Ca-44,1,β+ & EC
Sc46,7239456,Ti-46,1,β-
Sc47,289370.88,Ti-47,1,β-
Sc48,157212,Ti-48,1,β-
Sc49,3430.8,Ti-49,1,β-
Sc50,102.5,Ti-50,1,β-
Ti44,1893456000,Sc-44,1,EC
Ti45,11088,Sc-45,1,β+ & EC
Ti51,345.6,V-51,1,β-
Ti52,102,V-52,1,β-
V47,1956,Ti-47,1,β+ & EC
V48,1380110.4,Ti-48,1,β+ & EC
V49,28512000,Ti-49,1,EC
V50,6.63E+24,Ti-50,0.83,EC
V50,6.63E+24,Cr-50,0.17,β-
V52,224.58,Cr-52,1,β-
V53,92.58,Cr-53,1,β-
Cr48,77616,V-48,1,β+ & EC
Cr49,2538,V-49,1,β+ & EC
Cr51,2393496,V-51,1,EC
Cr55,209.82,Mn-55,1,β-
Cr56,356.4,Mn-56,1,β-
Mn51,2772,Cr-51,1,β+ & EC
Mn52,483062.4,Cr-52,1,β+ & EC
Mn53,1.18025E+14,Cr-53,1,EC
Mn54,26974080,Cr-54,1,β+ & EC
Mn54,26974080,Fe-54,2.90E-06,β-
Mn56,9284.04,Fe-56,1,β-
Mn57,85.4,Fe-57,1,β-
Fe52,29790,Mn-52m,1,β+ & EC
Fe53,510.6,Mn-53,1,β+ & EC
Fe55,86594054.4,Mn-55,1,EC
Fe59,3844368,Co-59,1,β-
Fe60,8.26809E+13,Co-60m,1,β-
Fe61,358.8,Co-61,1,β-
Fe62,68,Co-62,1,β-
Co55,63108,Fe-55,1,β+ & EC
Co56,6673190.4,Fe-56,1,β+ & EC
Co57,23478336,Fe-57,1,EC
Co58,6122304,Fe-58,1,β+ & EC
Co60,166344192,Ni-60,1,β-
Co61,5936.4,Ni-61,1,β-
Co62,90,Ni-62,1,β-
Ni56,524880,Co-56,1,β+ & EC
Ni57,128160,Co-57,1,β+ & EC
Ni59,2.39838E+12,Co-59,1,β+ & EC
Ni63,3193629120,Cu-63,1,β-
Ni65,9063,Cu-65,1,β-
Ni66,196560,Cu-66,1,β-
Cu57,0.1963,Ni-57,1,β+ & EC
Cu59,81.5,Ni-59,1,β+ & EC
Cu60,1422,Ni-60,1,β+ & EC
Cu61,12020.4,Ni-61,1,β+ & EC
Cu62,580.38,Ni-62,1,β+ & EC
Cu64,45723.6,Ni-64,0.61,β+ & EC
Cu64,45723.6,Zn-64,0.39,β-
Cu66,307.2,Zn-66,1,β-
Cu67,222588,Zn-67,1,β-
Cu69,171,Zn-69,1,β-
Zn60,142.8,Cu-60,1,β+ & EC
Zn61,89.1,Cu-61,1,β+ & EC
Zn62,33069.6,Cu-62,1,β+ & EC
Zn63,2308.2,Cu-63,1,β+ & EC
Zn65,21075552,Cu-65,1,β+ & EC
Zn69,3384,Ga-69,1,β-
Zn71,147,Ga-71,1,β-
Zn72,167400,Ga-72,1,β-
Ga64,157.62,Zn-64,1,β+ & EC
Ga65,912,Zn-65,1,β+ & EC
Ga66,34164,Zn-66,1,β+ & EC
Ga67,281810.88,Zn-67,1,EC
Ga68,4062.6,Zn-68,1,β+ & EC
Ga70,1268.4,Ge-70,0.9959,β-
Ga70,1268.4,Zn-70,0.0041,EC
Ga72,50760,Ge-72,1,β-
Ga73,17496,Ge-73,1,β-
Ga74,487.2,Ge-74,1,β-
Ge66,8136,Ga-66,1,β+ & EC
Ge67,1134,Ga-67,1,β+ & EC
Ge68,23408352,Ga-68,1,EC
Ge69,140580,Ga-69,1,β+ & EC
Ge71,987552,Ga-71,1,EC
Ge75,4966.8,As-75,1,β-
Ge77,40680,As-77,1,β-
Ge78,5280,As-78,1,β-
As68,151.6,Ge-68,1,β+ & EC
As69,912,Ge-69,1,β+ & EC
As70,3156,Ge-70,1,β+ & EC
As71,235080,Ge-71,1,β+ & EC
As72,93600,Ge-72,1,β+ & EC
As73,6937920,Ge-73,1,EC
As74,1535328,Ge-74,0.66,β+ & EC
As74,1535328,Se-74,0.34,β-
As76,94538.88,Se-76,1,β-
As77,139788,Se-77,1,β-
As78,5442,Se-78,1,β-
As79,540.6,Se-79m,0.97188,β-
As79,540.6,Se-79,0.028121,β-
Se70,2466,As-70,1,β+ & EC
Se71,284.4,As-71,1,β+ & EC
Se72,725760,As-72,1,EC
Se73,25740,As-73,1,β+ & EC
Se75,10348992,As-75,1,EC
Se79,1.02878E+13,Br-79,1,β-
Se81,1107,Br-81,1,β-
Se83,1335,Br-83,1,β-
Se84,195.6,Br-84,1,β-
Br72,78.6,Se-72,1,β+ & EC
Br73,204,Se-73m,0.99881,β+ & EC
Br73,204,Se-73,0.001192,β+ & EC
Br74,1524,Se-74,1,β+ & EC
