parent_nuclide,parent_original,production_rate,nuclide,original_nuclide,atom_number,activity_Bq,is_stable,decay_constant,half_life
Bi210,Bi210,2e-08,Bi210,Bi210,44809596474.341835,71710.87916375503,False,1.6003464616071022e-06,433123.2
Bi210,Bi210,2e-08,Po210,Po-210,129194532.91071701,7.490228769368069,False,5.797636014942189e-08,11955686.4
Bi210,Bi210,2e-08,Pb206,Pb-206,105759088.28929241,0.0,True,0.0,稳定
Bi210,Bi210,2e-08,Tl206,Tl-206,30.946657327615704,0.0851213820412365,False,0.0027505840498410527,252.0
Po210,Po210,2e-08,Po210,Po210,44934110627.754074,2605.116180748636,False,5.797636014942189e-08,11955686.4
Po210,Po210,2e-08,Pb206,Pb-206,4689372.245925903,0.0,True,0.0,稳定
Pb209,Pb209,2.413e-05,Pb209,Pb209,48831546834689.03,2890276412.4436946,False,5.918871303070202e-05,11710.800000000001
Pb209,Pb209,2.413e-05,Bi209,Bi-209,5387115365310.969,0.0,True,0.0,稳定
Bi209,Bi209,2.579e-05,Bi209,Bi209,57948582600000.0,0.0,True,0.0,稳定
Tl208,Tl208,9.46e-06,Tl208,Tl208,1560386477544.0054,5904451836.955408,False,0.0037839675759359388,183.18
Tl208,Tl208,9.46e-06,Pb208,Pb-208,19695665922455.992,0.0,True,0.0,稳定
Pb208,Pb208,0.0079575,Pb208,Pb208,1.788002505e+16,0.0,True,0.0,稳定
Bi208,Bi208,0.00044582,Bi208,Bi208,1001730799542040.6,59.790746647887524,False,5.968743965466765e-14,11612948797440.0
Bi208,Bi208,0.00044582,Pb208,Pb-208,-8742040.625,0.0,True,0.0,稳定
Po208,Po208,2e-08,Po208,Po208,44938186912.527466,340.6025802579884,False,7.579357416465733e-09,91451971.77984
Po208,Po208,2e-08,Pb204,Pb-204,613075.2107849121,0.0,True,0.0,稳定
Po208,Po208,2e-08,Bi208,Bi-208,13.680703943219854,8.165661910443087e-13,False,5.968743965466765e-14,11612948797440.0
Po208,Po208,2e-08,Pb208,Pb-208,1.087386328125,0.0,True,0.0,稳定
Tl207,Tl207,0.00026338,Tl207,Tl207,67864856198178.31,164361753084.8128,False,0.002421897905520424,286.2
Tl207,Tl207,0.00026338,Pb207,Pb-207,523934201001821.7,0.0,True,0.0,稳定
Pb207,Pb207,0.021266,Pb207,Pb207,4.778342604e+16,0.0,True,0.0,稳定
Bi207,Bi207,0.002965,Bi207,Bi207,6662169093934460.0,4447853.987870305,False,6.676285043440029e-10,1038222868.0320001
Bi207,Bi207,0.002965,Pb207,Pb-207,8006065540.0,0.0,True,0.0,稳定
Po207,Po207,1e-08,Po207,Po207,21178686811.319157,703062.5982388875,False,3.3196704049805806e-05,20880.0
Po207,Po207,1e-08,Bi207,Bi-207,1290441095.1078544,0.861535258270894,False,6.676285043440029e-10,1038222868.0320001
Po207,Po207,1e-08,Pb207,Pb-207,1044.4194979834556,0.0,True,0.0,稳定
Po207,Po207,1e-08,Pb203,Pb-203,269834.638184208,1.0015653544596994,False,3.711774593504785e-06,186742.8
Po207,Po207,1e-08,Tl203,Tl-203,1215.1314387661967,0.0,True,0.0,稳定
Hg206,Hg206,6.4e-07,Hg206,Hg206,280094278378.15704,397027728.72963595,False,0.0014174788968506038,489.0
Hg206,Hg206,6.4e-07,Tl206,Tl-206,143412100335.9853,394467035.7383658,False,0.0027505840498410527,252.0
Hg206,Hg206,6.4e-07,Pb206,Pb-206,1014535221285.8577,0.0,True,0.0,稳定
Tl206,Tl206,0.00026268,Tl206,Tl206,59603164303258.33,163943513052.59796,False,0.0027505840498410527,252.0
Tl206,Tl206,0.00026268,Pb206,Pb-206,530623034896741.7,0.0,True,0.0,稳定
Pb206,Pb206,0.024735,Pb206,Pb206,5.55780609e+16,0.0,True,0.0,稳定
Bi206,Bi206,0.0048062,Bi206,Bi206,1.0774301976681296e+16,13845464397.232466,False,1.2850451404831656e-06,539395.2000000001
Bi206,Bi206,0.0048062,Pb206,Pb-206,24941051318704.0,0.0,True,0.0,稳定
Po206,Po206,2e-08,Po206,Po206,44865137230.62839,40901.388069293316,False,9.116519104586821e-07,760320.0000000001
Po206,Po206,2e-08,Bi206,Bi-206,69540842.01219857,89.36312109288333,False,1.2850451404831656e-06,539395.2000000001
Po206,Po206,2e-08,Pb206,Pb-206,107306.43470187871,0.0,True,0.0,稳定
Po206,Po206,2e-08,Pb202,Pb-202,4014540.98567871,1.6796057828417292e-06,False,4.183805293889085e-13,1656738619200.0
Po206,Po206,2e-08,Tl202,Tl-202,0.0019443135629643755,1.2754151376143387e-09,False,6.559719388418973e-07,1056672.0
Po206,Po206,2e-08,Hg202,Hg-202,0.0,0.0,True,0.0,稳定
Po206,Po206,2e-08,Hg198,Hg-198,3.3218920898437503,0.0,True,0.0,稳定
Hg205,Hg205,1.83e-06,Hg205,Hg205,513952721593.419,1141810512.5435543,False,0.0022216255787177734,312.0
Hg205,Hg205,1.83e-06,Tl205,Tl-205,3597947478406.581,0.0,True,0.0,稳定
Tl205,Tl205,0.0156,Tl205,Tl205,3.5052264e+16,0.0,True,0.0,稳定
Pb205,Pb205,0.015245,Pb205,Pb205,3.4254395716155056e+16,49.17627720360529,False,1.435619463589392e-15,482820969024000.0
Pb205,Pb205,0.015245,Tl205,Tl-205,204583844944.0,0.0,True,0.0,稳定
Bi205,Bi205,0.0078302,Bi205,Bi205,1.7577405166811602e+16,9210671457.271389,False,5.240063234511041e-07,1322784.0
Bi205,Bi205,0.0078302,Pb205,Pb-205,16479342032322.05,0.023658064168748303,False,1.435619463589392e-15,482820969024000.0
Bi205,Bi205,0.0078302,Tl205,Tl-205,0.0,0.0,True,0.0,稳定
Po205,Po205,2e-08,Po205,Po205,36736711333.14834,4261035.455759096,False,0.00011598848402944198,5976.0
Po205,Po205,2e-08,Bi205,Bi-205,8188562624.125998,4290.858595017389,False,5.240063234511041e-07,1322784.0
Po205,Po205,2e-08,Pb205,Pb-205,5055827.88861762,7.258244921457516e-09,False,1.435619463589392e-15,482820969024000.0
Po205,Po205,2e-08,Tl205,Tl-205,0.0,0.0,True,0.0,稳定
Po205,Po205,2e-08,Pb201,Pb-201,3198410.3605698184,66.00479706153052,False,2.0636750641894285e-05,33588.0
Po205,Po205,2e-08,Tl201,Tl-201,82224.87607274791,0.21713367187582336,False,2.6407296945478617e-06,262483.2
Po205,Po205,2e-08,Hg201,Hg-201,0.0,0.0,True,0.0,稳定
Hg204,Hg204,9.17e-06,Hg204,Hg204,20604439800000.0,0.0,True,0.0,稳定
Tl204,Tl204,0.00026131,Tl204,Tl204,587141750163199.8,3411787.1702723578,False,5.810840685957063e-09,119285180.5824
Tl204,Tl204,0.00026131,Pb204,Pb-204,5963140933.125,0.0,True,0.0,稳定
Tl204,Tl204,0.00026131,Hg204,Hg-204,178095867.20703125,0.0,True,0.0,稳定
Pb204,Pb204,0.015845,Pb204,Pb204,3.56027643e+16,0.0,True,0.0,稳定
Bi204,Bi204,0.0076923,Bi204,Bi204,1.6761074819979892e+16,287628534230.1286,False,1.7160506549810488e-05,40392.0
Bi204,Bi204,0.0076923,Pb204,Pb-204,471529699196288.0,0.0,True,0.0,稳定
Bi204,Bi204,0.0076923,Pb204m,Pb-204m,42321074906533.016,7275479600.627383,False,0.0001719115031150658,4032.0
Hg203,Hg203,2.73e-06,Hg203,Hg203,6132246211746.75,1055440.0363470584,False,1.7211312134292464e-07,4027276.8000000003
Hg203,Hg203,2.73e-06,Tl203,Tl-203,1899988253.25,0.0,True,0.0,稳定
Tl203,Tl203,0.014228,Tl203,Tl203,3.196946232e+16,0.0,True,0.0,稳定
Pb203,Pb203,0.013969,Pb203,Pb203,3.1178729788204404e+16,115728417085.60793,False,3.711774593504785e-06,186742.8
Pb203,Pb203,0.013969,Tl203,Tl-203,208775071795596.0,0.0,True,0.0,稳定
Bi203,Bi203,0.009036,Bi203,Bi203,1.971658369909855e+16,322810241905.3368,False,1.6372524106196744e-05,42336.0
Bi203,Bi203,0.009036,Pb203,Pb-203,584148597858778.4,2168227924.363657,False,3.711774593504785e-06,186742.8
Bi203,Bi203,0.009036,Tl203,Tl-203,2617543042648.7544,0.0,True,0.0,稳定
Au202,Au202,1e-08,Au202,Au202,259331935.6140038,6241500.0,False,0.02406761043610921,28.8
Au202,Au202,1e-08,Hg202,Hg-202,22210068064.385998,0.0,True,0.0,稳定
Hg202,Hg202,0.011246,Hg202,Hg202,2.5269087240000004e+16,0.0,True,0.0,稳定
Tl202,Tl202,0.011242,Tl202,Tl202,2.5230297094474144e+16,16550366902.619291,False,6.559719388418973e-07,1056672.0
Tl202,Tl202,0.011242,Hg202,Hg-202,29802385525856.0,0.0,True,0.0,稳定
Pb202,Pb202,0.011179,Pb202,Pb202,2.511854142119091e+16,10509.10865727508,False,4.183805293889085e-13,1656738619200.0
Pb202,Pb202,0.011179,Tl202,Tl-202,18711981.794783615,12.274534977498492,False,6.559719388418973e-07,1056672.0
Pb202,Pb202,0.011179,Hg202,Hg-202,0.0,0.0,True,0.0,稳定
Pb202,Pb202,0.011179,Hg198,Hg-198,8388090.90625,0.0,True,0.0,稳定
Bi202,Bi202,0.0066927,Bi202,Bi202,1.237710078353324e+16,1385522046449.0237,False,0.0001119423741214382,6192.0
Bi202,Bi202,0.0066927,Pb202,Pb-202,2660994062229682.0,1113.3081044563964,False,4.183805293889085e-13,1656738619200.0
Bi202,Bi202,0.0066927,Tl202,Tl-202,1364665.2967137222,0.8951821405555533,False,6.559719388418973e-07,1056672.0
Bi202,Bi202,0.0066927,Hg202,Hg-202,0.0,0.0,True,0.0,稳定
Bi202,Bi202,0.0066927,Hg198,Hg-198,0.0,0.0,True,0.0,稳定
Au201,Au201,1e-08,Au201,Au201,11209857953.719584,4980821.432755261,False,0.0004443251157435547,1560.0
Au201,Au201,1e-08,Hg201,Hg-201,11259542046.280416,0.0,True,0.0,稳定
Hg201,Hg201,0.0086374,Hg201,Hg201,1.9407719556e+16,0.0,True,0.0,稳定
Tl201,Tl201,0.0086332,Tl201,Tl201,1.9306367787919464e+16,50982898711.42124,False,2.6407296945478617e-06,262483.2
Tl201,Tl201,0.0086332,Hg201,Hg-201,91914620080536.0,0.0,True,0.0,稳定
Pb201,Pb201,0.0084973,Pb201,Pb201,1.8400936638387544e+16,379735540983.7002,False,2.0636750641894285e-05,33588.0
Pb201,Pb201,0.0084973,Tl201,Tl-201,689785548934299.4,1821537181.9408014,False,2.6407296945478617e-06,262483.2
Pb201,Pb201,0.0084973,Hg201,Hg-201,2201074678155.7417,0.0,True,0.0,稳定
Bi201,Bi201,0.0059997,Bi201,Bi201,1.1188751274468896e+16,1196828919735.2793,False,0.00010696715749381872,6480.0
Bi201,Bi201,0.0059997,Pb201,Pb-201,1225390114928284.8,25288070240.817192,False,2.0636750641894285e-05,33588.0
Bi201,Bi201,0.0059997,Tl201,Tl-201,31423534309537.027,82981060.15883796,False,2.6407296945478617e-06,262483.2
Bi201,Bi201,0.0059997,Hg201,Hg-201,0.0,0.0,True,0.0,稳定
Bi201,Bi201,0.0059997,Pb201m,Pb-201m,46610261572984.42,529635596630.7494,False,0.011363068533769595,61.0
Au200,Au200,1e-08,Au200,Au200,15075866352.504303,3598414.0002537547,False,0.00023868704564736408,2904.0
Au200,Au200,1e-08,Hg200,Hg-200,7393533647.495697,0.0,True,0.0,稳定
Hg200,Hg200,0.0048661,Hg200,Hg200,1.0933834734e+16,0.0,True,0.0,稳定
Tl200,Tl200,0.0048585,Tl200,Tl200,1.0773072614580094e+16,79473445176.28513,False,7.377045344401291e-06,93960.0
Tl200,Tl200,0.0048585,Hg200,Hg-200,143685375419906.0,0.0,True,0.0,稳定
Pb200,Pb200,0.0047735,Pb200,Pb200,1.0554715049971146e+16,94521588869.52354,False,8.955389929715056e-06,77400.0
Pb200,Pb200,0.0047735,Tl200,Tl-200,169544784635012.84,1250739564.159241,False,7.377045344401291e-06,93960.0
Pb200,Pb200,0.0047735,Hg200,Hg-200,1508255393968.0012,0.0,True,0.0,稳定
Bi200,Bi200,0.0029978,Bi200,Bi200,4014792383590859.5,1274195064660.9646,False,0.0003173750826739676,2184.0
Bi200,Bi200,0.0029978,Pb200,Pb-200,2689552791304913.0,24085993982.689037,False,8.955389929715056e-06,77400.0
Bi200,Bi200,0.0029978,Tl200,Tl-200,31312177623601.047,230991354.16125238,False,7.377045344401291e-06,93960.0
Bi200,Bi200,0.0029978,Hg200,Hg-200,0.0,0.0,True,0.0,稳定
Au199,Au199,9e-08,Au199,Au199,201297138330.71597,514467.5700591759,False,2.5557619662428812e-06,271209.6
Au199,Au199,9e-08,Hg199,Hg-199,927461669.2840271,0.0,True,0.0,稳定
Hg199,Hg199,0.0023384,Hg199,Hg199,5254244496000000.0,0.0,True,0.0,稳定
Tl199,Tl199,0.0023301,Tl199,Tl199,4998490790192180.0,129705368309.24538,False,2.5948906130575968e-05,26712.0
Tl199,Tl199,0.0023301,Hg199,Hg-199,237104103807820.0,0.0,True,0.0,稳定
Pb199,Pb199,0.0022421,Pb199,Pb199,4034226784621222.5,517835726203.6322,False,0.00012836058899258246,5400.0
Pb199,Pb199,0.0022421,Tl199,Tl-199,971979774113793.1,25221811919.297253,False,2.5948906130575968e-05,26712.0
Pb199,Pb199,0.0022421,Hg199,Hg-199,31657615264993.953,0.0,True,0.0,稳定
Au198,Au198,4e-08,Au198,Au198,89397756486.84743,266104.4729383303,False,2.9766347993026056e-06,232862.688
Au198,Au198,4e-08,Hg198,Hg-198,479843513.15257263,0.0,True,0.0,稳定
Hg198,Hg198,0.00087208,Hg198,Hg198,1959511435200000.0,0.0,True,0.0,稳定
Tl198,Tl198,0.00074951,Tl198,Tl198,1578626231977557.8,57349073472.390686,False,3.6328468582806354e-05,19080.0
Tl198,Tl198,0.00074951,Hg198,Hg-198,105477767422442.25,0.0,True,0.0,稳定
Pb198,Pb198,0.00067271,Pb198,Pb198,1312843986337489.8,105323392088.5313,False,8.022536812036404e-05,8640.0
Pb198,Pb198,0.00067271,Tl198,Tl-198,190115090577888.9,6906590095.176222,False,3.6328468582806354e-05,19080.0
Pb198,Pb198,0.00067271,Hg198,Hg-198,8579930484623.765,0.0,True,0.0,稳定
Pt197,Pt197,1e-08,Pt197,Pt197,22082419127.359333,213748.0073575833,False,9.67955576446591e-06,71609.40000000001
Pt197,Pt197,1e-08,Au197,Au-197,386980872.64066696,0.0,True,0.0,稳定
Au197,Au197,0.0002169,Au197,Au197,487361285999999.94,0.0,True,0.0,稳定
Hg197,Hg197,0.00021671,Hg197,Hg197,484344903787115.8,1436036274.8460855,False,2.9649042730039064e-06,233784.0
Hg197,Hg197,0.00021671,Au197,Au-197,2589463612884.1875,0.0,True,0.0,稳定
Tl197,Tl197,0.00020694,Tl197,Tl197,412586552708279.25,27971753300.73269,False,6.77960857355189e-05,10224.0
Tl197,Tl197,0.00020694,Hg197,Hg-197,52205578486384.3,154784542.72892162,False,2.9649042730039064e-06,233784.0
Tl197,Tl197,0.00020694,Au197,Au-197,189632405335.30475,0.0,True,0.0,稳定
Pb197,Pb197,0.00012526,Pb197,Pb197,53840780439631.086,77749135751.82779,False,0.0014440566261665526,480.0
Pb197,Pb197,0.00012526,Tl197,Tl-197,205546364881402.62,13935238976.123825,False,6.77960857355189e-05,10224.0
Pb197,Pb197,0.00012526,Hg197,Hg-197,21994934801282.9,65212876.17676599,False,2.9649042730039064e-06,233784.0
Pb197,Pb197,0.00012526,Au197,Au-197,0.0,0.0,True,0.0,稳定
Bi197,Bi197,6.945e-05,Bi197,Bi197,34496848018352.477,42851958677.64508,False,0.001242199248315314,558.0
Bi197,Bi197,6.945e-05,Pb197,Pb-197,16036834521116.545,23158097152.95486,False,0.0014440566261665526,480.0
Bi197,Bi197,6.945e-05,Tl197,Tl-197,19794891761500.203,1342016178.9879847,False,6.77960857355189e-05,10224.0
Bi197,Bi197,6.945e-05,Hg197,Hg-197,0.0,0.0,False,2.9649042730039064e-06,233784.0
Bi197,Bi197,6.945e-05,Pb197m,Pb-197m,36694153777661.85,9858313656.596659,False,0.00026866169789145167,2580.0
Pt196,Pt196,1.8333e-07,Pt196,Pt196,411931510199.99994,0.0,True,0.0,稳定
Au196,Au196,1.8e-07,Au196,Au196,403506066835.7985,523555.2765761306,False,1.2975152534427308e-06,534211.2
Au196,Au196,1.8e-07,Pt196,Pt-196,875227576.3790283,0.0,True,0.0,稳定
Au196,Au196,1.8e-07,Hg196,Hg-196,67905587.82250595,0.0,True,0.0,稳定
Hg196,Hg196,7.5017e-05,Hg196,Hg196,168558697980000.0,0.0,True,0.0,稳定
Tl196,Tl196,6.603e-05,Tl196,Tl196,123622087862734.84,12936035878.168552,False,0.00010464178450482265,6624.0
Tl196,Tl196,6.603e-05,Hg196,Hg-196,24743360337265.156,0.0,True,0.0,稳定
Pb196,Pb196,2.312e-05,Pb196,Pb196,31198046574042.39,9740918027.82673,False,0.00031222845971168707,2220.0
Pb196,Pb196,2.312e-05,Tl196,Tl-196,18180609101738.934,1902451379.790583,False,0.00010464178450482265,6624.0
Pb196,Pb196,2.312e-05,Hg196,Hg-196,2570597124218.6484,0.0,True,0.0,稳定
Pt195,Pt195,2.796e-05,Pt195,Pt195,62824442400000.0,0.0,True,0.0,稳定
Au195,Au195,2.795e-05,Au195,Au195,62797100034476.25,2707133.0520248376,False,4.310920489224174e-08,16078867.200000001
Au195,Au195,2.795e-05,Pt195,Pt-195,4872965523.75,0.0,True,0.0,稳定
Hg195,Hg195,2.756e-05,Hg195,Hg195,59931503551465.0,1095846594.740327,False,1.8284984186977558e-05,37908.0
Hg195,Hg195,2.756e-05,Au195,Au-195,1994059129063.2039,85962.30356203078,False,4.310920489224174e-08,16078867.200000001
Hg195,Hg195,2.756e-05,Pt195,Pt-195,103719544.53700036,0.0,True,0.0,稳定
Tl195,Tl195,2.405e-05,Tl195,Tl195,40681246765388.43,6752416546.238598,False,0.00016598352024902905,4176.0
Tl195,Tl195,2.405e-05,Hg195,Hg-195,13010794791572.799,237902177.0239186,False,1.8284984186977558e-05,37908.0
Tl195,Tl195,2.405e-05,Au195,Au-195,77128912783.40201,3324.9661042955204,False,4.310920489224174e-08,16078867.200000001
Tl195,Tl195,2.405e-05,Pt195,Pt-195,0.0,0.0,True,0.0,稳定
Tl195,Tl195,2.405e-05,Hg195m,Hg-195m,45628324150.97296,211185.52509964054,False,4.628386622328694e-06,149760.0
Ir194,Ir194,1e-08,Ir194,Ir194,22070291525.595615,220406.29819477085,False,9.986560346933283e-06,69408.0
Ir194,Ir194,1e-08,Pt194,Pt-194,399108474.4043846,0.0,True,0.0,稳定
Pt194,Pt194,5.92e-06,Pt194,Pt194,13301884800000.0,0.0,True,0.0,稳定
Au194,Au194,5.9e-06,Au194,Au194,13136832555456.104,66527547.250734255,False,5.064199986556383e-06,136872.0
Au194,Au194,5.9e-06,Pt194,Pt-194,120113444543.89648,0.0,True,0.0,稳定
Hg194,Hg194,5.55e-06,Hg194,Hg194,12470515883199.19,622.5331919106764,False,4.992040407481294e-11,13885047475.2
Hg194,Hg194,5.55e-06,Au194,Au-194,1113781.0532667064,5.640409994980009,False,5.064199986556383e-06,136872.0
Hg194,Hg194,5.55e-06,Pt194,Pt-194,13214.235305786133,0.0,True,0.0,稳定
Tl194,Tl194,4e-06,Tl194,Tl194,5109254428326.561,1788618839.2717023,False,0.000350074333616134,1980.0
Tl194,Tl194,4e-06,Hg194,Hg-194,3878505319844.644,193.61655277295625,False,4.992040407481294e-11,13885047475.2
Tl194,Tl194,4e-06,Au194,Au-194,253316.89415180087,1.2828474119580546,False,5.064199986556383e-06,136872.0
Tl194,Tl194,4e-06,Pt194,Pt-194,0.0,0.0,True,0.0,稳定
