parent_nuclide,parent_original,production_rate,nuclide,original_nuclide,atom_number,activity_Bq,is_stable,decay_constant,half_life
Fe52,Fe52,1.7e-09,Fe52,Fe52,364815199746.9,8488439.984222123,False,2.3267780482039118e-05,29790.0
Fe52,Fe52,1.7e-09,Mn52m,Mn-52m,15503727520.693964,8488439.983521841,False,0.0005475096212953754,1266.0
Fe52,Fe52,1.7e-09,Cr52,Cr-52,6832003601159.588,0.0,True,0.0,稳定
Fe52,Fe52,1.7e-09,Mn52,Mn-52,71505582460.1665,102603.49983058314,False,1.4349019517146133e-06,483062.4
Fe53,Fe53,4e-10,Fe53,Fe53,1471276514.7167816,1997280.0000000002,False,0.0013575150422247264,510.59999999999997
Fe53,Fe53,4e-10,Mn53,Mn-53,1724178640380.9539,0.01023555285053802,False,5.93648048457235e-15,116760626496000.0
Fe53,Fe53,4e-10,Cr53,Cr-53,0.0,0.0,True,0.0,稳定
Fe55,Fe55,1e-10,Fe55,Fe55,429920272441.8737,3450.1970175048887,False,8.025201970375482e-09,86371306.68096001
Fe55,Fe55,1e-10,Mn55,Mn-55,1492207558.1262817,0.0,True,0.0,稳定
Fe62,Fe62,1e-10,Fe62,Fe62,48984921.171534054,499320.0,False,0.01019334089058743,68.0
Fe62,Fe62,1e-10,Co62,Co-62,64832983.903500944,499319.99999999994,False,0.007701635339554948,90.0
Fe62,Fe62,1e-10,Ni62,Ni-62,431298662094.9249,0.0,True,0.0,稳定
Co55,Co55,3.1e-09,Co55,Co55,1409180963181.783,15477749.437919136,False,1.0983507329656228e-05,63108.00000000001
Co55,Co55,3.1e-09,Fe55,Fe-55,11927062101572.45,95717.08227832995,False,8.025201970375482e-09,86371306.68096001
Co55,Co55,3.1e-09,Mn55,Mn-55,37543815245.866684,0.0,True,0.0,稳定
Co56,Co56,4.8e-09,Co56,Co56,19805714236155.67,2057387.9521977513,False,1.0387850332819375e-07,6672672.0
Co56,Co56,4.8e-09,Fe56,Fe-56,902084803844.3281,0.0,True,0.0,稳定
Co57,Co57,2.7e-09,Co57,Co57,11500833285566.408,339537.27240211266,False,2.952284099520278e-08,23478336.0
Co57,Co57,2.7e-09,Fe57,Fe-57,147303674433.59375,0.0,True,0.0,稳定
