nuclide,original_nuclide,total_atom_number,total_activity_Bq,total_activity_GBq,is_stable,decay_constant,half_life
Ag107,Ag-107,9.53613E+13,0,0,稳定,0,稳定
Ag108,Ag108,38413542043,187244995.5,0.187244996,不稳定,0.004874453,142.2
Ag109,Ag-109,1.66954E+14,0,0,稳定,0,稳定
Ag110,Ag110,68668935451,1934865000,1.934865,不稳定,0.028176715,24.6
Ag111,Ag-111,1.45754E+14,156955623.4,0.156955623,不稳定,1.08E-06,643680
Ag111m,Ag-111m,1.10575E+12,11827858323,11.82785832,不稳定,0.010696716,64.8
Ag112,Ag-112,5.66852E+13,3486968665,3.486968665,不稳定,6.15E-05,11268
Ag113,Ag113,5.08442E+13,1823014151,1.823014151,不稳定,3.59E-05,19332
Ag114,Ag-114,92866044853,13993442861,13.99344286,不稳定,0.15068417,4.6
Ag115,Ag115,1.12768E+13,6513707419,6.513707419,不稳定,0.000577623,1200
Ag116,Ag116,7.89125E+11,3401616880,3.40161688,不稳定,0.004310617,160.8
Ag117,Ag117,2.24887E+11,2117928195,2.117928195,不稳定,0.009417761,73.6
As71,As71,22350530337,65922.04132,6.59E-05,不稳定,2.95E-06,235008
As73,As73,67396079254,6733.344045,6.73E-06,不稳定,9.99E-08,6937920
As74,As74,3.8167E+11,172310.5274,0.000172311,不稳定,4.51E-07,1535328
As75,As-75,1.20939E+13,0,0,稳定,0,稳定
As76,As76,2.01756E+12,15017603.78,0.015017604,不稳定,7.44E-06,93121.92
As77,As-77,1.43442E+13,71126399.75,0.0711264,不稳定,4.96E-06,139788
As78,As-78,1.37446E+13,1750652197,1.750652197,不稳定,0.00012737,5442
As79,As79,3.279E+12,4204268084,4.204268084,不稳定,0.001282181,540.6
Au190,Au-190,43118528076,11638429.19,0.011638429,不稳定,0.000269917,2568
Au191,Au191,1.61514E+11,9779236.465,0.009779236,不稳定,6.05E-05,11448
Au192,Au192,5.66997E+11,22099215.32,0.022099215,不稳定,3.90E-05,17784
Au193,Au193,3.95157E+12,43107053.42,0.043107053,不稳定,1.09E-05,63540
Au193m,Au-193m,28156822.09,5004313.294,0.005004313,不稳定,0.177730046,3.9
Au194,Au194,1.31368E+13,66527554.17,0.066527554,不稳定,5.06E-06,136872
Au195,Au195,6.48683E+13,2796420.322,0.00279642,不稳定,4.31E-08,16078867.2
Au196,Au196,4.03506E+11,523555.2766,0.000523555,不稳定,1.30E-06,534211.2
Au197,Au-197,4.90141E+14,0,0,稳定,0,稳定
Au198,Au198,89397756487,266104.4729,0.000266104,不稳定,2.98E-06,232862.688
Au199,Au199,2.01297E+11,514467.5701,0.000514468,不稳定,2.56E-06,271209.6
Au200,Au200,15075866353,3598414,0.003598414,不稳定,0.000238687,2904
Au201,Au201,11209857954,4980821.433,0.004980821,不稳定,0.000444325,1560
Au202,Au202,259331935.6,6241500,0.0062415,不稳定,0.02406761,28.8
B10,B-10,44938753548,0,0,稳定,0,稳定
B11,B11,44938800000,0,0,稳定,0,稳定
Ba130,Ba-130,167810296.7,0,0,稳定,0,稳定
Ba132,Ba-132,52448423514,0,0,稳定,0,稳定
Ba133,Ba133,1.79755E+11,375.3140815,3.75E-07,不稳定,2.09E-09,331978862.4
Ba134,Ba-134,1.18741E+12,0,0,稳定,0,稳定
Ba135,Ba-135,1.43844E+12,0,0,稳定,0,稳定
Ba136,Ba-136,1.15747E+12,0,0,稳定,0,稳定
Ba137,Ba-137,1.51293E+12,0,0,稳定,0,稳定
Ba137m,Ba-137m,69823.88375,316.0803824,3.16E-07,不稳定,0.004526823,153.12
Ba138,Ba-138,5.19676E+11,0,0,稳定,0,稳定
Ba139,Ba-139,2.08762E+11,29035817.8,0.029035818,不稳定,0.000139086,4983.6
Ba140,Ba-140,1.78979E+11,112599.5433,0.0001126,不稳定,6.29E-07,1101772.8
Ba141,Ba141,35429984406,22403022.99,0.022403023,不稳定,0.000632318,1096.2
Be10,Be10,44938846452,0.000653696,6.54E-13,不稳定,1.45E-14,4.7651E+13
Be9,Be9,67408200000,0,0,稳定,0,稳定
Bi197,Bi197,3.44968E+13,42851958678,42.85195868,不稳定,0.001242199,558
Bi200,Bi200,4.01479E+15,1.2742E+12,1274.195065,不稳定,0.000317375,2184
Bi201,Bi201,1.12E+16,1.19683E+12,1196.82892,不稳定,0.000106967,6480
Bi202,Bi202,1.24E+16,1.38552E+12,1385.522046,不稳定,0.000111942,6192
Bi203,Bi203,1.97E+16,3.2281E+11,322.8102419,不稳定,1.64E-05,42336
Bi204,Bi204,1.68E+16,2.87629E+11,287.6285342,不稳定,1.72E-05,40392
Bi205,Bi205,1.76E+16,9210675748,9.210675748,不稳定,5.24E-07,1322784
Bi206,Bi206,1.08E+16,13845464487,13.84546449,不稳定,1.29E-06,539395.2
Bi207,Bi207,6.66217E+15,4447854.849,0.004447855,不稳定,6.68E-10,1038222868
Bi208,Bi208,1.00173E+15,59.79074665,5.98E-08,不稳定,5.97E-14,1.16129E+13
Bi209,Bi-209,6.33357E+13,0,0,稳定,0,稳定
Bi210,Bi210,44809596474,71710.87916,7.17E-05,不稳定,1.60E-06,433123.2
Br77,Br77,22333418332,75392.66598,7.54E-05,不稳定,3.38E-06,205329.6
Br78,Br78,20907553069,37389090.46,0.03738909,不稳定,0.001788305,387.6
Br79,Br-79,2.02524E+13,0,0,稳定,0,稳定
Br80,Br80,7.08742E+11,463105370.7,0.463105371,不稳定,0.000653419,1060.8
Br81,Br-81,4.17305E+13,0,0,稳定,0,稳定
Br82,Br82,9.5676E+12,52185672.23,0.052185672,不稳定,5.45E-06,127080
Br83,Br-83,3.7539E+13,3011582302,3.011582302,不稳定,8.02E-05,8640
Br84,Br-84,2.38066E+13,8648588591,8.648588591,不稳定,0.000363285,1908
Br85,Br85,1.87859E+12,7483554075,7.483554075,不稳定,0.003983604,174
C12,C12,22469400000,0,0,稳定,0,稳定
C13,C13,44938800000,0,0,稳定,0,稳定
C14,C14,67408199736,0.259757826,2.60E-10,不稳定,3.85E-12,1.79874E+11
Ca45,Ca-45,36433638832,1796.829217,1.80E-06,不稳定,4.93E-08,14054688
Cd108,Cd-108,1.27665E+12,0,0,稳定,0,稳定
Cd109,Cd109,67406090350,1172.01526,1.17E-06,不稳定,1.74E-08,39864960
Cd110,Cd-110,1.42012E+13,0,0,稳定,0,稳定
Cd111,Cd-111,6.98196E+13,0,0,稳定,0,稳定
Cd112,Cd-112,7.32654E+13,0,0,稳定,0,稳定
Cd113,Cd-113,-4.996E+13,-1.43E-10,-1.43E-19,不稳定,2.85E-24,2.43E+23
Cd113m,Cd-113m,58284448705,90.79550507,9.08E-08,不稳定,1.56E-09,444952657.7
Cd114,Cd-114,1.02631E+14,0,0,稳定,0,稳定
Cd115,Cd-115,5.72803E+13,206300161.4,0.206300161,不稳定,3.60E-06,192456
