nuclide,original_nuclide,total_atom_number,total_activity_Bq,total_activity_GBq,is_stable,decay_constant,half_life
Ac227,Ac-227,4.336961483115809e+17,437540247.4066606,0.43754024740666064,不稳定,1.0088635767461738e-09,687057394.61376
Ra225,Ra225,1.752462285921601e+16,9435700134.571484,9.435700134571483,不稳定,5.384252893984164e-07,1287360.0
Ac225,Ac-225,3501526661604780.0,2809112654.1051283,2.809112654105128,不稳定,8.022536812036404e-07,864000.0
Xe134,Xe-134,2361241829486626.5,0.0,0.0,稳定,0.0,稳定
Ra227,Ra227,1842207626623345.0,504313200000.0,504.3132,不稳定,0.0002737548106476877,2532.0
Te130,Te-130,1657079619340937.8,0.0,0.0,稳定,0.0,稳定
Ba138,Ba-138,1503301160445580.8,0.0,0.0,稳定,0.0,稳定
Cs137,Cs-137,1355959870838191.5,987288.4185436592,0.0009872884185436592,不稳定,7.28110351771224e-10,951980944.7479681
Cs135,Cs-135,1338585754477515.0,12.783481030875912,1.2783481030875912e-08,不稳定,9.549990344746825e-15,72580929984000.0
Zr94,Zr-94,1280051305669024.8,0.0,0.0,稳定,0.0,稳定
Ce142,Ce-142,988209058956082.0,0.0,0.0,稳定,0.0,稳定
Xe133,Xe-133,952997156155315.2,1458221393.6719475,1.4582213936719475,不稳定,1.5301424398314711e-06,452995.2
Sr89,Sr-89,858032772407962.4,136227973.53209046,0.13622797353209046,不稳定,1.5876779758631315e-07,4365792.0
Ba140,Ba-140,843283226167505.4,530526248.816,0.530526248816,不稳定,6.291198880204206e-07,1101772.8
I131,I-131,756097617045078.1,756270770.161849,0.7562707701618491,不稳定,1.000229008943908e-06,692988.48
Zr93,Zr-93,702170498442854.1,10.08049634322826,1.008049634322826e-08,不稳定,1.4356194635893918e-14,48282096902400.0
La139,La-139,697613268880414.0,0.0,0.0,稳定,0.0,稳定
Te128,Te-128,690109306413642.6,0.0,0.0,稳定,0.0,稳定
Xe132,Xe-132,623281294680459.8,0.0,0.0,稳定,0.0,稳定
Ru98,Ru-98,573822622511598.5,0.0,0.0,稳定,0.0,稳定
Ru102,Ru-102,524443153168136.94,0.0,0.0,稳定,0.0,稳定
Kr84,Kr-84,511593838053673.1,0.0,0.0,稳定,0.0,稳定
Ce141,Ce-141,497333119268375.1,122735119.26834719,0.1227351192683472,不稳定,2.4678653906842633e-07,2808691.2
Zr95,Zr-95,426891437387948.4,53485011.73144599,0.05348501173144599,不稳定,1.2528949294159802e-07,5532364.8
Te132,Te132,402410518246945.94,1007600872.7174689,1.0076008727174688,不稳定,2.503912862683022e-06,276825.60000000003
Sr88,Sr-88,389689154772553.9,0.0,0.0,稳定,0.0,稳定
Mo97,Mo-97,377792173319684.3,0.0,0.0,稳定,0.0,稳定
Ra224,Ra224,352198209529360.56,772000847.2903293,0.7720008472903294,不稳定,2.191949948643826e-06,316224.0
Pd108,Pd-108,324703675919142.0,0.0,0.0,稳定,0.0,稳定
I133,I-133,311186574907884.1,2880583560.703874,2.880583560703874,不稳定,9.256773244657388e-06,74880.0
Zr92,Zr-92,294554513848127.6,0.0,0.0,稳定,0.0,稳定
Ru96,Ru-96,294362469715159.8,0.0,0.0,稳定,0.0,稳定
Ru101,Ru-101,276360575492263.3,0.0,0.0,稳定,0.0,稳定
Te129m,Te-129m,258227103018300.6,61655846.423506945,0.061655846423506945,不稳定,2.387659765487025e-07,2903040.0
Sr90,Sr-90,257835388033473.84,196712.35055170438,0.00019671235055170437,不稳定,7.629377489724798e-10,908523901.8432001
Pd107,Pd-107,250444778994751.94,0.8463098475341395,8.463098475341395e-10,不稳定,3.3792273527565687e-15,205120019520000.0
Ru100,Ru-100,219694022683859.7,0.0,0.0,稳定,0.0,稳定
Pd100,Pd100,204004769200345.6,450863848.6889154,0.4508638486889154,不稳定,2.210065237475593e-06,313632.0
Ru104,Ru-104,193779682918369.78,0.0,0.0,稳定,0.0,稳定
Ru97,Ru97,167611038468108.25,463677836.6255338,0.4636778366255338,不稳定,2.766392004150484e-06,250560.0
Sb127,Sb-127,167473503323689.44,348977232.5857142,0.3489772325857142,不稳定,2.083775795334131e-06,332640.0
Th227,Th-227,164748464423435.72,70754851.20789523,0.07075485120789524,不稳定,4.294719920790366e-07,1613952.0
