nuclide,original_nuclide,total_atom_number,total_activity_Bq,total_activity_GBq,is_stable,decay_constant,half_life
Ac225,Ac-225,3.50069E+15,2808437549,2.808437549,不稳定,8.02E-07,864000
Ac227,Ac-227,4.34E+17,437435094.7,0.437435095,不稳定,1.01E-09,687057394.6
Ag101,Ag101,89214673210,92851200,0.0928512,不稳定,0.001040762,666
Ag102,Ag102,18395178914,16473600,0.0164736,不稳定,0.000895539,774
Ag103,Ag103,17034013455,2995200,0.0029952,不稳定,0.000175836,3942
Ag114,Ag-114,39754673.72,5990400,0.0059904,不稳定,0.15068417,4.6
Ag116,Ag116,463228372,1996800,0.0019968,不稳定,0.004310617,160.8
Ag117,Ag117,1166137096,10982400,0.0109824,不稳定,0.009417761,73.6
Ag99,Ag99,1.28598E+11,718848000,0.718848,不稳定,0.005589897,124
As68,As68,1419357083,6489600,0.0064896,不稳定,0.004572211,151.6
As69,As69,1974338089,1497600,0.0014976,不稳定,0.000758533,913.8
As70,As-70,9091721032,1996800,0.0019968,不稳定,0.000219628,3156
As71,As-71,1.55998E+11,460109.3816,0.000460109,不稳定,2.95E-06,235008
As77,As-77,2.36978E+12,11750686.25,0.011750686,不稳定,4.96E-06,139788
As78,As-78,5.83975E+11,74380800,0.0743808,不稳定,0.00012737,5442
As79,As79,5061374926,6489600,0.0064896,不稳定,0.001282181,540.6
Ba134,Ba-134,1976038112,0,0,稳定,0,稳定
Ba135,Ba-135,28551.42188,0,0,稳定,0,稳定
Ba136,Ba-136,9.12155E+12,0,0,稳定,0,稳定
Ba137,Ba-137,5203500249,0,0,稳定,0,稳定
Ba137m,Ba-137m,44833467.91,202953.1862,0.000202953,不稳定,0.004526823,153.12
Ba138,Ba-138,3.8258E+14,0,0,稳定,0,稳定
Ba139,Ba-139,5.8575E+12,814694400,0.8146944,不稳定,0.000139086,4983.6
Ba140,Ba-140,8.43081E+14,530398749.1,0.530398749,不稳定,6.29E-07,1101772.8
Ba141,Ba141,1.00263E+12,633984000,0.633984,不稳定,0.000632318,1096.2
Ba142,Ba142,9.75632E+11,1063296000,1.063296,不稳定,0.001089854,636
Br81,Br-81,9.04074E+12,0,0,稳定,0,稳定
Br83,Br-83,2.30854E+12,185203200,0.1852032,不稳定,8.02E-05,8640
Br84,Br-84,1.63521E+12,594048000,0.594048,不稳定,0.000363285,1908
Br85,Br85,27944942926,111321600,0.1113216,不稳定,0.003983604,174
Cd101,Cd101,763981121,6489600,0.0064896,不稳定,0.008494451,81.6
Cd103,Cd-103,8201562034,12979200,0.0129792,不稳定,0.001582528,438
