energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
9.3,0.4,0.0000041,0.0000018,462,9.3,774,0,(M3),,,1.2E7,,47,55,Ag,,9.4,0.07,2+,7.7,,5,m,462,30,IT,49,5,,,47,55,Ag,31-Dec-2008,D. DE FRENNE,2025-02-24
163,0.1,,,,2300.68,,2137.61,,,,,,47,55,Ag,,0,,5(+),12.9,,3,m,774,18,EC+B+,100,,5656,8,46,56,Pd,31-Dec-2008,D. DE FRENNE,2025-02-24
179.8,0.2,,,,2473.90,,2293.99,,,,,,47,55,Ag,,0,,5(+),12.9,,3,m,774,18,EC+B+,100,,5656,8,46,56,Pd,31-Dec-2008,D. DE FRENNE,2025-02-24
182.5,0.1,,,,2293.99,,2111.45,,,,,,47,55,Ag,,0,,5(+),12.9,,3,m,774,18,EC+B+,100,,5656,8,46,56,Pd,31-Dec-2008,D. DE FRENNE,2025-02-24
231.7,0.1,,,,2532.38,,2300.68,,,,,,47,55,Ag,,0,,5(+),12.9,,3,m,774,18,EC+B+,100,,5656,8,46,56,Pd,31-Dec-2008,D. DE FRENNE,2025-02-24
336.4,0.2,,,,2473.90,,2137.61,,,,,,47,55,Ag,,0,,5(+),12.9,,3,m,774,18,EC+B+,100,,5656,8,46,56,Pd,31-Dec-2008,D. DE FRENNE,2025-02-24
351.4,0.2,,,,1945.0,0.000000017,1593.6,,,,,,47,55,Ag,,9.4,0.07,2+,7.7,,5,m,462,30,EC+B+,51,5,5656,8,46,56,Pd,31-Dec-2008,D. DE FRENNE,2025-02-24
424.4,0.1,,,,3075.26,,2650.90,,,,,,47,55,Ag,,0,,5(+),12.9,,3,m,774,18,EC+B+,100,,5656,8,46,56,Pd,31-Dec-2008,D. DE FRENNE,2025-02-24
495,0.1,,,,2606.36,,2111.45,,,,,,47,55,Ag,,0,,5(+),12.9,,3,m,774,18,EC+B+,100,,5656,8,46,56,Pd,31-Dec-2008,D. DE FRENNE,2025-02-24
539.6,0.4,,,,2650.90,,2110.98,,,,,,47,55,Ag,,0,,5(+),12.9,,3,m,774,18,EC+B+,100,,5656,8,46,56,Pd,31-Dec-2008,D. DE FRENNE,2025-02-24
556.44,0.04,,,,556.45,,0,,,,,,47,55,Ag,,0,,5(+),12.9,,3,m,774,18,EC+B+,100,,5656,8,46,56,Pd,31-Dec-2008,D. DE FRENNE,2025-02-24
556.7,0.2,42.56,5.764173834991447,,556.7,,0,E2,,,0.00445,,47,55,Ag,,9.4,0.07,2+,7.7,,5,m,462,30,EC+B+,51,5,5656,8,46,56,Pd,31-Dec-2008,D. DE FRENNE,2025-02-24
577.1,0.1,,,,2111.45,,1534.26,,,,,,47,55,Ag,,0,,5(+),12.9,,3,m,774,18,EC+B+,100,,5656,8,46,56,Pd,31-Dec-2008,D. DE FRENNE,2025-02-24
603.32,0.06,,,,2137.61,,1534.26,,,,,,47,55,Ag,,0,,5(+),12.9,,3,m,774,18,EC+B+,100,,5656,8,46,56,Pd,31-Dec-2008,D. DE FRENNE,2025-02-24
634.1,0.1,,,,3166.36,,2532.38,,,,,,47,55,Ag,,0,,5(+),12.9,,3,m,774,18,EC+B+,100,,5656,8,46,56,Pd,31-Dec-2008,D. DE FRENNE,2025-02-24
660.5,0.1,,,,2798.18,,2137.61,,,,,,47,55,Ag,,0,,5(+),12.9,,3,m,774,18,EC+B+,100,,5656,8,46,56,Pd,31-Dec-2008,D. DE FRENNE,2025-02-24
719.33,0.05,,,,1275.77,,556.45,,,,,,47,55,Ag,,0,,5(+),12.9,,3,m,774,18,EC+B+,100,,5656,8,46,56,Pd,31-Dec-2008,D. DE FRENNE,2025-02-24
719.4,0.2,4.522,0.6916559838532448,,1276.1,,556.7,,,,,,47,55,Ag,,9.4,0.07,2+,7.7,,5,m,462,30,EC+B+,51,5,5656,8,46,56,Pd,31-Dec-2008,D. DE FRENNE,2025-02-24
835.11,0.07,,,,2110.98,,1275.77,,,,,,47,55,Ag,,0,,5(+),12.9,,3,m,774,18,EC+B+,100,,5656,8,46,56,Pd,31-Dec-2008,D. DE FRENNE,2025-02-24
836,0.5,,,,2111.45,,1275.77,,,,,,47,55,Ag,,0,,5(+),12.9,,3,m,774,18,EC+B+,100,,5656,8,46,56,Pd,31-Dec-2008,D. DE FRENNE,2025-02-24
854.3,0.1,,,,2798.18,,1943.87,,,,,,47,55,Ag,,0,,5(+),12.9,,3,m,774,18,EC+B+,100,,5656,8,46,56,Pd,31-Dec-2008,D. DE FRENNE,2025-02-24
861.9,0.1,,,,2137.61,,1275.77,,,,,,47,55,Ag,,0,,5(+),12.9,,3,m,774,18,EC+B+,100,,5656,8,46,56,Pd,31-Dec-2008,D. DE FRENNE,2025-02-24
865,0.2,,,,2976.05,,2110.98,,,,,,47,55,Ag,,0,,5(+),12.9,,3,m,774,18,EC+B+,100,,5656,8,46,56,Pd,31-Dec-2008,D. DE FRENNE,2025-02-24
891.6,0.1,,,,3002.70,,2110.98,,,,,,47,55,Ag,,0,,5(+),12.9,,3,m,774,18,EC+B+,100,,5656,8,46,56,Pd,31-Dec-2008,D. DE FRENNE,2025-02-24
937.7,0.2,,,,3075.26,,2137.61,,,,,,47,55,Ag,,0,,5(+),12.9,,3,m,774,18,EC+B+,100,,5656,8,46,56,Pd,31-Dec-2008,D. DE FRENNE,2025-02-24
946.4,0.1,,,,2480.65,,1534.26,,,,,,47,55,Ag,,0,,5(+),12.9,,3,m,774,18,EC+B+,100,,5656,8,46,56,Pd,31-Dec-2008,D. DE FRENNE,2025-02-24
963.3,0.5,,,,3075.26,,2111.45,,,,,,47,55,Ag,,0,,5(+),12.9,,3,m,774,18,EC+B+,100,,5656,8,46,56,Pd,31-Dec-2008,D. DE FRENNE,2025-02-24
964.2,0.1,,,,3075.26,,2110.98,,,,,,47,55,Ag,,0,,5(+),12.9,,3,m,774,18,EC+B+,100,,5656,8,46,56,Pd,31-Dec-2008,D. DE FRENNE,2025-02-24
977.7,0.3,2.66,0.37196236368751073,,1534.6,,556.7,,,,,,47,55,Ag,,9.4,0.07,2+,7.7,,5,m,462,30,EC+B+,51,5,5656,8,46,56,Pd,31-Dec-2008,D. DE FRENNE,2025-02-24
977.75,0.05,,,,1534.26,,556.45,E2+M1,2.8,2,,,47,55,Ag,,0,,5(+),12.9,,3,m,774,18,EC+B+,100,,5656,8,46,56,Pd,31-Dec-2008,D. DE FRENNE,2025-02-24
