energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
400.2,0.4,0.07,0.01,,5231.1,0.000000000000087,4830.85,[M1],,,1.43E-4,,13,17,Al,,0,,3+,3.62,,6,s,3.62,0.06,B-,100,,8568.8,19,14,16,Si,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
421,0.5,0.1,0.03,,5231.1,0.000000000000131,4810.22,[M1],,,1.28E-4,,13,17,Al,,0,,3+,3.62,,6,s,3.62,0.06,B-,100,,8568.8,19,14,16,Si,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
671,,0.0007,0.0004,0.000000000000016,5950.6,0.000000000000096,5278.73,,,,,,13,17,Al,,0,,3+,3.62,,6,s,3.62,0.06,B-,100,,8568.8,19,14,16,Si,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
719,,0.0005,0.0002,0.000000000000016,5950.6,,5231.1,,,,,,13,17,Al,,0,,3+,3.62,,6,s,3.62,0.06,B-,100,,8568.8,19,14,16,Si,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
783,,0.01,0.004,0.000000000000014,5614.03,0.000000000000087,4830.85,M1+E2,0.20,11,,,13,17,Al,,0,,3+,3.62,,6,s,3.62,0.06,B-,100,,8568.8,19,14,16,Si,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
804,,0.003,0.002,0.000000000000014,5614.03,0.000000000000131,4810.22,,,,,,13,17,Al,,0,,3+,3.62,,6,s,3.62,0.06,B-,100,,8568.8,19,14,16,Si,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
1039,,0.2,0.1,0.000000000000131,4810.22,0.000000000000042,3769.49,,,,,,13,17,Al,,0,,3+,3.62,,6,s,3.62,0.06,B-,100,,8568.8,19,14,16,Si,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
1120,,0.0025,0.001,0.000000000000016,5950.6,0.000000000000087,4830.85,,,,,,13,17,Al,,0,,3+,3.62,,6,s,3.62,0.06,B-,100,,8568.8,19,14,16,Si,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
1263.13,0.03,40.6,1.4,0.000000000000061,3498.49,0.000000000000236,2235.326,M1+E2,0.18,6,2.90E-5,,13,17,Al,,0,,3+,3.62,,6,s,3.62,0.06,B-,100,,8568.8,19,14,16,Si,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
1311.8,0.14,1.9,0.3,0.000000000000131,4810.22,0.000000000000061,3498.49,M1+E2,-0.17,6,3.58E-5,,13,17,Al,,0,,3+,3.62,,6,s,3.62,0.06,B-,100,,8568.8,19,14,16,Si,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
1332.48,0.16,0.93,0.09,0.000000000000087,4830.85,0.000000000000061,3498.49,M1+E2,0.7,5,4.4E-5,,13,17,Al,,0,,3+,3.62,,6,s,3.62,0.06,B-,100,,8568.8,19,14,16,Si,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
1534.12,0.04,0.16,,0.000000000000042,3769.49,0.000000000000236,2235.326,M1+E2,-0.09,4,8.40E-5,,13,17,Al,,0,,3+,3.62,,6,s,3.62,0.06,B-,100,,8568.8,19,14,16,Si,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
1732.3,0.8,1.87,0.12,,5231.1,0.000000000000061,3498.49,M1+E2,0.12,6,1.49E-4,,13,17,Al,,0,,3+,3.62,,6,s,3.62,0.06,B-,100,,8568.8,19,14,16,Si,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
1844.4,0.16,0.16,0.04,0.000000000000014,5614.03,0.000000000000042,3769.49,M1+E2,0.11,5,1.91E-4,,13,17,Al,,0,,3+,3.62,,6,s,3.62,0.06,B-,100,,8568.8,19,14,16,Si,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
2235.23,0.02,65,1,0.000000000000236,2235.326,,0,E2,,,4.36E-4,,13,17,Al,,0,,3+,3.62,,6,s,3.62,0.06,B-,100,,8568.8,19,14,16,Si,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
2452.6,1.3,0.007,0.003,0.000000000000016,5950.6,0.000000000000061,3498.49,(E2),,,5.40E-4,,13,17,Al,,0,,3+,3.62,,6,s,3.62,0.06,B-,100,,8568.8,19,14,16,Si,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
2574.8,0.5,0.96,0.07,0.000000000000131,4810.22,0.000000000000236,2235.326,M1+E2,-0.52,11,5.13E-4,,13,17,Al,,0,,3+,3.62,,6,s,3.62,0.06,B-,100,,8568.8,19,14,16,Si,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
2595.39,0.04,5.79,0.15,0.000000000000087,4830.85,0.000000000000236,2235.326,M1+E2,0.72,10,5.36E-4,,13,17,Al,,0,,3+,3.62,,6,s,3.62,0.06,B-,100,,8568.8,19,14,16,Si,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
2995,0.8,0.23,0.03,,5231.1,0.000000000000236,2235.326,,,,,,13,17,Al,,0,,3+,3.62,,6,s,3.62,0.06,B-,100,,8568.8,19,14,16,Si,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
3043.2,0.1,0.16,,0.000000000000096,5278.73,0.000000000000236,2235.326,(E2),,,8.07E-4,,13,17,Al,,0,,3+,3.62,,6,s,3.62,0.06,B-,100,,8568.8,19,14,16,Si,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
3378.68,0.25,0.12,0.04,0.000000000000014,5614.03,0.000000000000236,2235.326,(M1+E2),-0.29,4,8.19E-4,,13,17,Al,,0,,3+,3.62,,6,s,3.62,0.06,B-,100,,8568.8,19,14,16,Si,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
3498.33,0.05,33,1,0.000000000000061,3498.49,,0,E2,,,9.94E-4,,13,17,Al,,0,,3+,3.62,,6,s,3.62,0.06,B-,100,,8568.8,19,14,16,Si,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
3716,,0.14,0.05,0.000000000000016,5950.6,0.000000000000236,2235.326,(E2),,,1.07E-3,,13,17,Al,,0,,3+,3.62,,6,s,3.62,0.06,B-,100,,8568.8,19,14,16,Si,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
3769.22,0.05,0.14,,0.000000000000042,3769.49,,0,M1,,,9.49E-4,,13,17,Al,,0,,3+,3.62,,6,s,3.62,0.06,B-,100,,8568.8,19,14,16,Si,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
4810,0.3,2.13,0.17,0.000000000000131,4810.22,,0,E2,,,1.43E-3,,13,17,Al,,0,,3+,3.62,,6,s,3.62,0.06,B-,100,,8568.8,19,14,16,Si,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
0.118,,0.0000012,0.0000003,,,,,,,,,,13,17,Al,,0,,3+,3.62,,6,s,3.62,0.06,B-,100,,8568.8,19,14,16,Si,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
1.74,,0.0000364,0.0000012,,,,,,,,,,13,17,Al,,0,,3+,3.62,,6,s,3.62,0.06,B-,100,,8568.8,19,14,16,Si,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
1.74,,0.0000183,0.0000006,,,,,,,,,,13,17,Al,,0,,3+,3.62,,6,s,3.62,0.06,B-,100,,8568.8,19,14,16,Si,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
1.836,,0.00000159,0.00000017,,,,,,,,,,13,17,Al,,0,,3+,3.62,,6,s,3.62,0.06,B-,100,,8568.8,19,14,16,Si,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24
1.836,,0.00000159,0.00000017,,,,,,,,,,13,17,Al,,0,,3+,3.62,,6,s,3.62,0.06,B-,100,,8568.8,19,14,16,Si,31-May-2024,M. S. Basunia and  A. Chakraborty,2025-02-24

