energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
58.03,0.05,0.525,0.12500110249513802,,285.41,0.0000263,227.38,(M1+E2),0.49,19,7.E1,,95,152,Am,,0,,(5/2),23.0,,13,m,1380,78,B-,100,,1620,100,96,151,Cm,31-Mar-2014,C. D. NESARAJA,2025-02-24
61.67,0.05,0.0825,0.022500151249491635,,61.67,492288045203635.2,0.0,M1+E2,0.26,14,38,,95,152,Am,,0,,(5/2),23.0,,13,m,1380,78,B-,100,,1620,100,96,151,Cm,31-Mar-2014,C. D. NESARAJA,2025-02-24
165.7,0.05,0.1025,0.010000525298703064,0.0000263,227.38,,61.67,E3,,,30.4,,95,152,Am,,0,,(5/2),23.0,,13,m,1380,78,B-,100,,1620,100,96,151,Cm,31-Mar-2014,C. D. NESARAJA,2025-02-24
226,2,5.75,0.7500220413427862,0.0000263,227.38,492288045203635.2,0.0,M2+E3,0.56,17,10.4,,95,152,Am,,0,,(5/2),23.0,,13,m,1380,78,B-,100,,1620,100,96,151,Cm,31-Mar-2014,C. D. NESARAJA,2025-02-24
285,2,25,2.500124996875156,,285.41,492288045203635.2,0.0,[E1],,,0.0486,,95,152,Am,,0,,(5/2),23.0,,13,m,1380,78,B-,100,,1620,100,96,151,Cm,31-Mar-2014,C. D. NESARAJA,2025-02-24
18.579,,42.883036448875,,,,,,,,,,,95,152,Am,,0,,(5/2),23.0,,13,m,1380,78,B-,100,,1620,100,96,151,Cm,31-Mar-2014,C. D. NESARAJA,2025-02-24
104.606,,10.101113758089932,,,,,,,,,,,95,152,Am,,0,,(5/2),23.0,,13,m,1380,78,B-,100,,1620,100,96,151,Cm,31-Mar-2014,C. D. NESARAJA,2025-02-24
109.286,,15.81511469874735,,,,,,,,,,,95,152,Am,,0,,(5/2),23.0,,13,m,1380,78,B-,100,,1620,100,96,151,Cm,31-Mar-2014,C. D. NESARAJA,2025-02-24
123.28,,5.923161681333372,,,,,,,,,,,95,152,Am,,0,,(5/2),23.0,,13,m,1380,78,B-,100,,1620,100,96,151,Cm,31-Mar-2014,C. D. NESARAJA,2025-02-24
124.855,,8.00811459316272,,,,,,,,,,,95,152,Am,,0,,(5/2),23.0,,13,m,1380,78,B-,100,,1620,100,96,151,Cm,31-Mar-2014,C. D. NESARAJA,2025-02-24
126.917,,2.084952911829347,,,,,,,,,,,95,152,Am,,0,,(5/2),23.0,,13,m,1380,78,B-,100,,1620,100,96,151,Cm,31-Mar-2014,C. D. NESARAJA,2025-02-24

