energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
360,,70,12,,360.0,17.5,0.0,(M1 E2),,,0.0011,,18,29,Ar,,0,,(3/2)-,1.23,,3,s,1.23,0.03,B-,100,,10344.7,18,19,28,K,20-Feb-2007,T. W. BURROWS,2025-02-24
1660,,37.1,7.259449014904644,,2020.0,,360.0,(M2),,,9.12E-5,,18,29,Ar,,0,,(3/2)-,1.23,,3,s,1.23,0.03,B-,100,,10344.7,18,19,28,K,20-Feb-2007,T. W. BURROWS,2025-02-24
1742,,28.7,5.66095398320813,,3762.1,,2020.0,,,,,,18,29,Ar,,0,,(3/2)-,1.23,,3,s,1.23,0.03,B-,100,,10344.7,18,19,28,K,20-Feb-2007,T. W. BURROWS,2025-02-24
2020,,4.9,1.0934349546269315,,2020.0,17.5,0.0,[E3],,,0.000206,,18,29,Ar,,0,,(3/2)-,1.23,,3,s,1.23,0.03,B-,100,,10344.7,18,19,28,K,20-Feb-2007,T. W. BURROWS,2025-02-24
3207,,2.1,0.7871467461661771,,,,,,,,,,18,29,Ar,,0,,(3/2)-,1.23,,3,s,1.23,0.03,B-,100,,10344.7,18,19,28,K,20-Feb-2007,T. W. BURROWS,2025-02-24
3316,,0.7,0.7102112361825881,,,,,,,,,,18,29,Ar,,0,,(3/2)-,1.23,,3,s,1.23,0.03,B-,100,,10344.7,18,19,28,K,20-Feb-2007,T. W. BURROWS,2025-02-24
3357,,0.7,0.7102112361825881,,3717.6,,360.0,,,,,,18,29,Ar,,0,,(3/2)-,1.23,,3,s,1.23,0.03,B-,100,,10344.7,18,19,28,K,20-Feb-2007,T. W. BURROWS,2025-02-24
3402,,2.8,1.48,,3762.1,,360.0,,,,,,18,29,Ar,,0,,(3/2)-,1.23,,3,s,1.23,0.03,B-,100,,10344.7,18,19,28,K,20-Feb-2007,T. W. BURROWS,2025-02-24
3718,,9.8,2.186869909253863,,3717.6,17.5,0.0,,,,,,18,29,Ar,,0,,(3/2)-,1.23,,3,s,1.23,0.03,B-,100,,10344.7,18,19,28,K,20-Feb-2007,T. W. BURROWS,2025-02-24
3822,,4.2,1.0041912168506553,,5842.4,,2020.0,,,,,,18,29,Ar,,0,,(3/2)-,1.23,,3,s,1.23,0.03,B-,100,,10344.7,18,19,28,K,20-Feb-2007,T. W. BURROWS,2025-02-24
4010,,2.1,0.7871467461661771,,,,,,,,,,18,29,Ar,,0,,(3/2)-,1.23,,3,s,1.23,0.03,B-,100,,10344.7,18,19,28,K,20-Feb-2007,T. W. BURROWS,2025-02-24
0.311,,0.0002256847675166,0.0001384214456656588,,,,,,,,,,18,29,Ar,,0,,(3/2)-,1.23,,3,s,1.23,0.03,B-,100,,10344.7,18,19,28,K,20-Feb-2007,T. W. BURROWS,2025-02-24
3.311,,0.0030584382277809873,0.0018705134568199216,,,,,,,,,,18,29,Ar,,0,,(3/2)-,1.23,,3,s,1.23,0.03,B-,100,,10344.7,18,19,28,K,20-Feb-2007,T. W. BURROWS,2025-02-24
3.314,,0.006050322903622131,0.003700202371520212,,,,,,,,,,18,29,Ar,,0,,(3/2)-,1.23,,3,s,1.23,0.03,B-,100,,10344.7,18,19,28,K,20-Feb-2007,T. W. BURROWS,2025-02-24
3.591,,0.0011158232385968818,0.000682752754851651,,,,,,,,,,18,29,Ar,,0,,(3/2)-,1.23,,3,s,1.23,0.03,B-,100,,10344.7,18,19,28,K,20-Feb-2007,T. W. BURROWS,2025-02-24
3.591,,0.0011158232385968818,0.000682752754851651,,,,,,,,,,18,29,Ar,,0,,(3/2)-,1.23,,3,s,1.23,0.03,B-,100,,10344.7,18,19,28,K,20-Feb-2007,T. W. BURROWS,2025-02-24

