energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
18.2,0.5,0.156,0,,18.26,,0,E2,,,364,,33,34,As,,0,,(5/2-),42.5,,12,s,42.5,1.2,EC+B+,100,,6086,4,32,35,Ge,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-02-24
104.4,0.3,4.52,0,,122.67,,18.26,(M1+E2),4,GE,0.614,,33,34,As,,0,,(5/2-),42.5,,12,s,42.5,1.2,EC+B+,100,,6086,4,32,35,Ge,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-02-24
120.8,0.3,9.3,0,,243.62,,122.67,(M1+E2),5,GE,0.361,,33,34,As,,0,,(5/2-),42.5,,12,s,42.5,1.2,EC+B+,100,,6086,4,32,35,Ge,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-02-24
122.7,0.3,19.2,0,,122.67,,0,(M1(+E2)),0.9,9,0.17,,33,34,As,,0,,(5/2-),42.5,,12,s,42.5,1.2,EC+B+,100,,6086,4,32,35,Ge,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-02-24
225.4,0.3,1.5,0,,243.62,,18.26,,,,,,33,34,As,,0,,(5/2-),42.5,,12,s,42.5,1.2,EC+B+,100,,6086,4,32,35,Ge,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-02-24
243.6,0.3,7.8,0,,243.62,,0,,,,,,33,34,As,,0,,(5/2-),42.5,,12,s,42.5,1.2,EC+B+,100,,6086,4,32,35,Ge,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-02-24
248,0.3,1.5,0,,1900.9,,1652.9,,,,,,33,34,As,,0,,(5/2-),42.5,,12,s,42.5,1.2,EC+B+,100,,6086,4,32,35,Ge,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-02-24
589,0.3,2,0,,711.6,,122.67,(M1+E2),-1.1,15,,,33,34,As,,0,,(5/2-),42.5,,12,s,42.5,1.2,EC+B+,100,,6086,4,32,35,Ge,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-02-24
633,0.3,2.5,0,,1652.9,,1020.0,,,,,,33,34,As,,0,,(5/2-),42.5,,12,s,42.5,1.2,EC+B+,100,,6086,4,32,35,Ge,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-02-24
685.5,0.3,2.2,0,,808.15,,122.67,,,,,,33,34,As,,0,,(5/2-),42.5,,12,s,42.5,1.2,EC+B+,100,,6086,4,32,35,Ge,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-02-24
693.1,0.5,4.8,0,,711.6,,18.26,,,,,,33,34,As,,0,,(5/2-),42.5,,12,s,42.5,1.2,EC+B+,100,,6086,4,32,35,Ge,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-02-24
776.4,0.3,1,0,,1020.0,,243.62,,,,,,33,34,As,,0,,(5/2-),42.5,,12,s,42.5,1.2,EC+B+,100,,6086,4,32,35,Ge,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-02-24
789.9,0.3,4.8,0,,808.15,,18.26,,,,,,33,34,As,,0,,(5/2-),42.5,,12,s,42.5,1.2,EC+B+,100,,6086,4,32,35,Ge,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-02-24
808.1,0.3,6.2,0,,808.15,,0,,,,,,33,34,As,,0,,(5/2-),42.5,,12,s,42.5,1.2,EC+B+,100,,6086,4,32,35,Ge,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-02-24
897.4,0.3,3.1,0,,1020.0,,122.67,(M1+E2),-1.0,16,,,33,34,As,,0,,(5/2-),42.5,,12,s,42.5,1.2,EC+B+,100,,6086,4,32,35,Ge,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-02-24
1049.6,1,0.29,0,,1293.9,,243.62,,,,,,33,34,As,,0,,(5/2-),42.5,,12,s,42.5,1.2,EC+B+,100,,6086,4,32,35,Ge,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-02-24
1151.4,0.5,0.58,0,,1274.1,,122.67,,,,,,33,34,As,,0,,(5/2-),42.5,,12,s,42.5,1.2,EC+B+,100,,6086,4,32,35,Ge,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-02-24
1171.3,0.5,1.5,0,,1293.9,,122.67,,,,,,33,34,As,,0,,(5/2-),42.5,,12,s,42.5,1.2,EC+B+,100,,6086,4,32,35,Ge,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-02-24
1274.3,1,1.3,0,,1274.1,,0,,,,,,33,34,As,,0,,(5/2-),42.5,,12,s,42.5,1.2,EC+B+,100,,6086,4,32,35,Ge,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-02-24
1294,0.5,1.4,0,,1293.9,,0,,,,,,33,34,As,,0,,(5/2-),42.5,,12,s,42.5,1.2,EC+B+,100,,6086,4,32,35,Ge,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-02-24
1385.2,1,0.33,0,,2096.8,,711.6,,,,,,33,34,As,,0,,(5/2-),42.5,,12,s,42.5,1.2,EC+B+,100,,6086,4,32,35,Ge,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-02-24
1576,1,0.71,0,,1698.7,,122.67,,,,,,33,34,As,,0,,(5/2-),42.5,,12,s,42.5,1.2,EC+B+,100,,6086,4,32,35,Ge,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-02-24
1657,0.5,0.38,0,,1900.9,,243.62,,,,,,33,34,As,,0,,(5/2-),42.5,,12,s,42.5,1.2,EC+B+,100,,6086,4,32,35,Ge,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-02-24
2128.4,1,0.38,0,,2251.1,,122.67,,,,,,33,34,As,,0,,(5/2-),42.5,,12,s,42.5,1.2,EC+B+,100,,6086,4,32,35,Ge,1-Apr-2005,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,2025-02-24
