energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
4.02,0.03,,,0.00000038,1528.22,0.000000004,1524.17,E2,,,,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
123.3,0.4,0.062,0.019,,,,,,,,,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
163.5,0.4,0.083,0.024,,1583.21,,1420.20,[M1 E2],,,1.9,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
172.7,0.7,0.12,0.03,,2507.29,,2335.35,,,,,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
177.595,0.017,48.6,2.1,0.000000004,1524.17,,1346.57,E2,,,0.736,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
187.5,0.25,0.0976,0.001,,,,,,,,,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
205.4,0.03,6.3,0.3,,2574.63,,2369.22,M1(+E2),0.26,LE,1.47,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
213.65,0.15,0.36,0.06,,2507.29,,2293.60,M1+E2,0.6,3,1.09,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
236.66,0.1,0.55,0.05,,1583.21,,1346.57,M1(+E2),0.39,LE,0.96,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
252.35,0.12,0.79,0.06,,2293.60,,2041.24,[M1 E2],,,0.5,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
254.5,0.5,0.29,0.1,,2414.55,,2160.09,,,,,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
262.6,0.12,0.38,0.1,,2555.89,,2293.60,M1(+E2),0.94,LE,0.62,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
294.07,0.05,1.06,0.06,,2335.35,,2041.24,M1,,,0.558,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
310,1,0.244,0.0003,,,,,,,,,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
327.8,0.5,0.29,0.04,,2369.22,,2041.24,,,,,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
333.67,0.03,2.1,0.12,,3535.29,,3201.62,M1(+E2),0.45,LE,0.370,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
373.2,0.15,0.45,0.06,,2414.55,,2041.24,,,,,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
390.3,0.4,0.38,0.05,,3535.29,,3144.74,M1(+E2),0.65,LE,0.23,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
395.74,0.05,1.23,0.09,,2555.89,,2160.09,M1+E2,0.43,15,0.218,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
400.7,0.4,0.3,0.12,,2926.67,,2526.39,,,,,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
451.4,0.2,0.61,0.06,,3564.54,,3112.94,M1(+E2),0.61,LE,0.157,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
485.1,0.25,0.51,0.03,,2526.39,,2041.24,M1,,,0.144,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
517.055,0.02,6.1,0.6,,2041.24,0.000000004,1524.17,M1(+E2),0.37,5,0.111,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
524.5,1,0.2342,0.0003,,,,,,,,,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
538,0.3,0.38,0.04,,3112.94,,2574.63,M1+E2,1.0,3,0.068,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
566.24,0.09,0.56,0.06,,2149.24,,1583.21,M1+E2,0.7,2,0.073,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
574.5,1,0.16,0.03,,1995.48,,1420.20,,,,,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
576.5,0.2,0.54,0.06,,1263.03,,686.528,M1(+E2),0.48,LE,0.085,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
605,1,0.13,0.03,,3112.94,,2507.29,,,,,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
621.5,1,0.18,0.04,,,,,,,,,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
626.63,0.09,0.44,0.03,,3553.44,,2926.67,M1(+E2),0.35,LE,0.071,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
631.83,0.04,3.22,0.14,,2160.09,0.00000038,1528.22,M1(+E2),0.42,11,0.064,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
637.46,0.09,0.52,0.04,,3144.74,,2507.29,M1+E2,1.3,12,0.038,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
660.04,0.017,89,4,,1346.57,,686.528,E2,,,0.0173,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
669.45,0.12,0.93,0.24,,3553.44,,2884.24,M1(+E2),0.93,LE,0.052,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
686.527,0.02,97.6,0.09,,686.528,,0,E2,,,0.0159,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
694.33,0.04,3.75,0.22,,3201.62,,2507.29,M1+E2,1.32,21,0.030,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
697.94,0.12,1.38,0.08,,4251.40,,3553.44,E2,,,0.0154,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
704.5,0.6,0.19,0.07,,,,,,,,,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
710.5,0.6,0.38,0.05,,2293.60,,1583.21,,,,,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
712.4,0.6,0.26,0.04,,,,,,,,,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
716.7,1,0.13,0.02,,4251.40,,3535.29,,,,,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
729.5,0.5,0.19,0.04,,3144.74,,2414.55,,,,,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
733.68,0.05,1.4,0.07,,1420.20,,686.528,M1+E2,0.71,17,0.037,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
747.7,0.3,0.42,0.05,,,,,,,,,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
755.89,0.04,1.5,0.09,,3682.53,,2926.67,M1(+E2),0.65,LE,0.040,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
765.5,1,0.13,0.05,,2293.60,0.00000038,1528.22,,,,,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
769.34,0.05,2.08,0.12,,2293.60,0.000000004,1524.17,M1(+E2),0.6,LE,0.039,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
798.68,0.25,0.59,0.06,,3682.53,,2884.24,M1(+E2),0.6,LE,0.036,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
802.4,0.5,0.65,0.04,,2149.24,,1346.57,M1(+E2),0.3,LE,0.038,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
807.137,0.025,5.86,0.24,,2335.35,0.00000038,1528.22,M1(+E2),0.27,LE,0.037,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
811.18,0.09,1.21,0.15,,2335.35,0.000000004,1524.17,M1+E2,0.90,24,0.026,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
832.8,0.5,0.143,0.017,,3201.62,,2369.22,,,,,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
841.2,0.3,0.85,0.05,,2369.22,0.00000038,1528.22,E1,,,,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
845.044,0.02,19.7,0.9,,2369.22,0.000000004,1524.17,E1,,,,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
852.9,0.5,0.31,0.05,,,,,,,,,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
863.7,0.5,0.39,0.03,,,,,,,,,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
886.32,0.05,2.44,0.14,,2414.55,0.00000038,1528.22,M1+E2,0.6,3,0.025,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
896.66,0.04,5.37,0.22,,1583.21,,686.528,E2,,,0.0092,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
921.1,0.4,0.26,0.07,,,,,,,,,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
923.96,0.2,0.43,0.03,,3808.03,,2884.24,,,,,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
934.05,0.15,0.96,0.05,,2280.62,,1346.57,M1+E2,0.6,4,0.022,,85,123,At,,0,,6+,1.63,,3,h,5868,108,EC+B+,99.45,0.06,4999,9,84,124,Po,1-Jun-2007,M. J. MARTIN,2025-02-24
