energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
77.351,0.002,0.29778,0.056758861863148734,0.00000000191,77.3510,,0.0,M1+E2,-0.35,1,4.24,,79,118,Au,,409.15,0.08,11/2-,7.73,,6,s,7.73,0.06,IT,100,,,,79,118,Au,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-02-24
130.2,0.1,3.1196,0.21383472589829744,7.73,409.15,0.0000000000186,279.00,E3,,,30.3,,79,118,Au,,409.15,0.08,11/2-,7.73,,6,s,7.73,0.06,IT,100,,,,79,118,Au,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-02-24
201.6,0.3,1.1344,0.21285039346921583,0.0000000000186,279.00,0.00000000191,77.3510,E2,,,0.368,,79,118,Au,,409.15,0.08,11/2-,7.73,,6,s,7.73,0.06,IT,100,,,,79,118,Au,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-02-24
279.01,0.05,70.9,0.5,0.0000000000186,279.00,,0.0,M1+E2,-0.40,4,0.380,,79,118,Au,,409.15,0.08,11/2-,7.73,,6,s,7.73,0.06,IT,100,,,,79,118,Au,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-02-24
409.1,0.1,0.10635,0.04254661091085869,7.73,409.15,,0.0,(M4),,,3.97,,79,118,Au,,409.15,0.08,11/2-,7.73,,6,s,7.73,0.06,IT,100,,,,79,118,Au,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-02-24
11.419,,31.87873924826528,2.0760830553750784,,,,,,,,,,79,118,Au,,409.15,0.08,11/2-,7.73,,6,s,7.73,0.06,IT,100,,,,79,118,Au,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-02-24
66.991,,7.1068552063009545,0.16803426755418946,,,,,,,,,,79,118,Au,,409.15,0.08,11/2-,7.73,,6,s,7.73,0.06,IT,100,,,,79,118,Au,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-02-24
68.806,,12.098834195268905,0.28139177817003225,,,,,,,,,,79,118,Au,,409.15,0.08,11/2-,7.73,,6,s,7.73,0.06,IT,100,,,,79,118,Au,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-02-24
78.048,,4.08251271996132,0.11303525219760621,,,,,,,,,,79,118,Au,,409.15,0.08,11/2-,7.73,,6,s,7.73,0.06,IT,100,,,,79,118,Au,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-02-24
78.983,,5.2623588960301415,0.14426547852255173,,,,,,,,,,79,118,Au,,409.15,0.08,11/2-,7.73,,6,s,7.73,0.06,IT,100,,,,79,118,Au,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-02-24
80.133,,1.1798461760688215,0.03852035717691502,,,,,,,,,,79,118,Au,,409.15,0.08,11/2-,7.73,,6,s,7.73,0.06,IT,100,,,,79,118,Au,1-Jan-2002,HUANG XIAOLONG and  ZHOU CHUNMEI,2025-02-24

