energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
169.3,0.004,0.009,,,3853.807,,3684.507,[E1],,,,,5,8,B,,0,,3/2-,17.33,,17,ms,0.01733,0.00017,B-,100,,13436.9,10,6,7,C,1-JUL-1990,F. AJZENBERG-SELOVE and  J.H. KELLEY AND C.D. NESARAJA,2025-02-24
595.013,0.011,0.057,0.007,,3684.507,,3089.443,[E1],,,,,5,8,B,,0,,3/2-,17.33,,17,ms,0.01733,0.00017,B-,100,,13436.9,10,6,7,C,1-JUL-1990,F. AJZENBERG-SELOVE and  J.H. KELLEY AND C.D. NESARAJA,2025-02-24
764.316,0.01,0.3,,,3853.807,,3089.443,[E2],,,,,5,8,B,,0,,3/2-,17.33,,17,ms,0.01733,0.00017,B-,100,,13436.9,10,6,7,C,1-JUL-1990,F. AJZENBERG-SELOVE and  J.H. KELLEY AND C.D. NESARAJA,2025-02-24
3089.049,0.02,0.7,,,3089.443,,0,[E1],,,,,5,8,B,,0,,3/2-,17.33,,17,ms,0.01733,0.00017,B-,100,,13436.9,10,6,7,C,1-JUL-1990,F. AJZENBERG-SELOVE and  J.H. KELLEY AND C.D. NESARAJA,2025-02-24
3683.921,0.023,7.6,0.8,,3684.507,,0,M1+E2,0.094,9,,,5,8,B,,0,,3/2-,17.33,,17,ms,0.01733,0.00017,B-,100,,13436.9,10,6,7,C,1-JUL-1990,F. AJZENBERG-SELOVE and  J.H. KELLEY AND C.D. NESARAJA,2025-02-24
3853.17,0.022,0.5,,,3853.807,,0,[M2+E3],-0.12,3,,,5,8,B,,0,,3/2-,17.33,,17,ms,0.01733,0.00017,B-,100,,13436.9,10,6,7,C,1-JUL-1990,F. AJZENBERG-SELOVE and  J.H. KELLEY AND C.D. NESARAJA,2025-02-24
4439,,0.001,0.00013,,4439.82,,0.0,,,,,,5,8,B,,0,,3/2-,17.33,,17,ms,0.01733,0.00017,B-N,0.286,,8490.6,10,6,6,C,1-Jan-2017,J.H. KELLEY and  J.E. Purcell and C.G. SHEU,2025-02-24
7545,3,0.094,0.02,,7547,,0,[E2+M3],0.0093,,,,5,8,B,,0,,3/2-,17.33,,17,ms,0.01733,0.00017,B-,100,,13436.9,10,6,7,C,1-JUL-1990,F. AJZENBERG-SELOVE and  J.H. KELLEY AND C.D. NESARAJA,2025-02-24
8857,20,0.16,0.03,,8860,,0,[M1],,,,,5,8,B,,0,,3/2-,17.33,,17,ms,0.01733,0.00017,B-,100,,13436.9,10,6,7,C,1-JUL-1990,F. AJZENBERG-SELOVE and  J.H. KELLEY AND C.D. NESARAJA,2025-02-24
9893,5,0.022,0.007,,9897,,0,[M1+E2],0.139,15,,,5,8,B,,0,,3/2-,17.33,,17,ms,0.01733,0.00017,B-,100,,13436.9,10,6,7,C,1-JUL-1990,F. AJZENBERG-SELOVE and  J.H. KELLEY AND C.D. NESARAJA,2025-02-24

