energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
15.7,,,,,15.6,4.06,0.0,[M1],,,36.6,,56,91,Ba,,0,,(5/2-),0.894,,7,s,0.894,0.007,B-,100,,6414,22,57,90,La,9-Mar-2022,N. Nica and B. Singh,2025-02-24
46.6,,0.16,,0.0000000014,120.9,0.000000003,74.5,[M1+E2],,,22,,56,91,Ba,,0,,(5/2-),0.894,,7,s,0.894,0.007,B-,100,,6414,22,57,90,La,9-Mar-2022,N. Nica and B. Singh,2025-02-24
46.6,,0.94,,0.0000000024,167.5,0.0000000014,120.9,(E1),,,1.86,,56,91,Ba,,0,,(5/2-),0.894,,7,s,0.894,0.007,B-,100,,6414,22,57,90,La,9-Mar-2022,N. Nica and B. Singh,2025-02-24
61.3,,0.11,,,379.2,,317.7,E1,,,0.897,,56,91,Ba,,0,,(5/2-),0.894,,7,s,0.894,0.007,B-,100,,6414,22,57,90,La,9-Mar-2022,N. Nica and B. Singh,2025-02-24
61.8,,,,0.0000000102,229.3,0.0000000024,167.5,E2,,,11.50,,56,91,Ba,,0,,(5/2-),0.894,,7,s,0.894,0.007,B-,100,,6414,22,57,90,La,9-Mar-2022,N. Nica and B. Singh,2025-02-24
74.3,,3.5,,0.000000003,74.5,4.06,0.0,M1(+E2),,,4.2,,56,91,Ba,,0,,(5/2-),0.894,,7,s,0.894,0.007,B-,100,,6414,22,57,90,La,9-Mar-2022,N. Nica and B. Singh,2025-02-24
90.9,,0.32,,,211.7,0.0000000014,120.9,[M1+E2],,,2.11,,56,91,Ba,,0,,(5/2-),0.894,,7,s,0.894,0.007,B-,100,,6414,22,57,90,La,9-Mar-2022,N. Nica and B. Singh,2025-02-24
93,,1.1,,0.0000000024,167.5,0.000000003,74.5,E1,,,0.287,,56,91,Ba,,0,,(5/2-),0.894,,7,s,0.894,0.007,B-,100,,6414,22,57,90,La,9-Mar-2022,N. Nica and B. Singh,2025-02-24
97.4,,1.2,,0.0000000003,265.0,0.0000000024,167.5,M1,,,1.166,,56,91,Ba,,0,,(5/2-),0.894,,7,s,0.894,0.007,B-,100,,6414,22,57,90,La,9-Mar-2022,N. Nica and B. Singh,2025-02-24
97.4,,0.16,,,476.9,,379.2,,,,1.2,,56,91,Ba,,0,,(5/2-),0.894,,7,s,0.894,0.007,B-,100,,6414,22,57,90,La,9-Mar-2022,N. Nica and B. Singh,2025-02-24
