energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
477.6,,0.39,0.05,,477.612,,0.0,,,,,,4,7,Be,,0,,1/2+,13.76,,7,s,13.76,0.07,B-A,3.1,,,,3,4,Li,23-Aug-2001,HU and  TILLEY and  KELLEY and  GODWIN et al.,2025-02-24
692.31,0.1,,,,7977.84,,7285.5,,,,,,4,7,Be,,0,,1/2+,13.76,,7,s,13.76,0.07,B-,100,,11509.46,24,5,6,B,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-02-24
1771.31,0.3,,,,6791.80,,5020.3,,,,,,4,7,Be,,0,,1/2+,13.76,,7,s,13.76,0.07,B-,100,,11509.46,24,5,6,B,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-02-24
2124.473,0.027,,,,2124.693,,0,,,,,,4,7,Be,,0,,1/2+,13.76,,7,s,13.76,0.07,B-,100,,11509.46,24,5,6,B,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-02-24
2895.3,0.4,,,,5020.31,,2124.69,,,,,,4,7,Be,,0,,1/2+,13.76,,7,s,13.76,0.07,B-,100,,11509.46,24,5,6,B,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-02-24
4443.9,0.5,,,,4444.89,,0,,,,,,4,7,Be,,0,,1/2+,13.76,,7,s,13.76,0.07,B-,100,,11509.46,24,5,6,B,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-02-24
4665.9,0.4,,,,6791.80,,2124.69,,,,,,4,7,Be,,0,,1/2+,13.76,,7,s,13.76,0.07,B-,100,,11509.46,24,5,6,B,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-02-24
5018.98,0.4,,,,5020.31,,0,,,,,,4,7,Be,,0,,1/2+,13.76,,7,s,13.76,0.07,B-,100,,11509.46,24,5,6,B,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-02-24
5851.47,0.42,,,,7977.84,,2124.69,,,,,,4,7,Be,,0,,1/2+,13.76,,7,s,13.76,0.07,B-,100,,11509.46,24,5,6,B,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-02-24
6789.81,0.5,,,,6791.80,,0,,,,,,4,7,Be,,0,,1/2+,13.76,,7,s,13.76,0.07,B-,100,,11509.46,24,5,6,B,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-02-24
7282.92,,,,,7285.51,,0,,,,,,4,7,Be,,0,,1/2+,13.76,,7,s,13.76,0.07,B-,100,,11509.46,24,5,6,B,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-02-24
7974.73,,,,,7977.84,,0,,,,,,4,7,Be,,0,,1/2+,13.76,,7,s,13.76,0.07,B-,100,,11509.46,24,5,6,B,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2025-02-24

